time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004346237,,7635071085,7667396576,89299951,,,451259520,420987986,26746812,68996283,3482850,62768473,3826937,537906526,0,6585126618,421631813,28349
10.009122006,,18648189767,18661104391,197326373,,,1046052899,908889201,21401734,153491174,2142917,149094093,4085628,494907132,0,16074915915,1037831734,2519
15.014124617,,18733504962,18749511839,199105778,,,1050365666,912511704,23035844,153242585,2336281,147957663,4023056,489409101,0,16114209336,1049148925,1170
20.019116952,,18627056401,18616637572,197666895,,,1046412319,910703914,21098791,153177529,2042322,147635019,3860126,512542400,0,15985460511,1049965697,1182
25.024123208,,18703280182,18720412293,200067383,,,1053345512,920487683,22370026,155919585,2315362,149055464,4101468,497765784,0,16118489707,1058762375,1553
30.030129486,,18698338817,18702854438,200995423,,,1053790708,932652447,24839961,157077965,2530465,150168034,3875835,514132873,0,16077464453,1058729066,1760
35.03518093,,18649817475,18657765235,199162119,,,1048035623,928161934,23311600,155653189,2303696,148613317,3959104,519353721,0,16019676582,1043577621,1889
40.040124609,,18716230280,18726073354,200130785,,,1052062217,923741618,22809507,156394052,2317917,150364277,4135840,463106996,0,16057083826,1043596550,1988
45.046131699,,18655124598,18641586965,198280580,,,1047668960,918172264,22582170,155030508,2245160,149892147,4066979,469602349,0,16035042511,1036072270,1671
50.053119296,,18722767622,18751775936,200062597,,,1052467662,922476597,21427578,155713592,2165056,150687868,3986468,477220471,0,16132071586,1057424584,1181
55.061122196,,18774144492,18768098192,199770297,,,1052221337,918007386,23369410,155645301,2396523,149894686,4132345,482395602,0,16149218243,1049685234,1903
60.066123978,,18733875741,18798923205,200629426,,,1053581024,925206712,21543815,155733662,2062374,150606977,3907376,520882893,0,16094600847,1052735396,1179
65.000918865,,11582168386,11556587385,128398614,,,666946719,595850056,26023624,99401851,2970569,92286321,3803798,562785169,0,9894049863,633726532,13866
