time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004935707,,13082361577,13076447444,64020132,,,711878978,255693287,22772829,41728962,3003708,33983292,4062569,501916456,0,8377364324,317459764,27644
10.009930738,,24046246312,24054675893,146593203,,,1177272711,550037448,19986312,93379026,2256810,80730991,3067001,435855761,0,16969701968,857989027,2008
15.017929369,,23908394548,23963638975,148739817,,,1184387388,595342586,22565906,99716751,2664887,81182786,3520827,559102639,0,16724093082,861524997,1621
20.02342065,,23933034394,24015775053,146154459,,,1171585547,566850571,21777491,95880948,2387926,82064971,3229429,467506088,0,16762920758,855325173,1714
25.03093886,,23762132951,23762321345,146667847,,,1164568216,612391456,21445646,101313812,2334816,85992147,3410772,527118243,0,16693463957,849488924,2013
30.039943809,,23432261291,23492008352,147303461,,,1162527861,619316770,22047190,102458087,2378604,84084832,3351516,500808819,0,16484642712,843374666,1825
35.04593434,,23139058074,23099580948,144060758,,,1144137623,633935148,22555706,103563101,2401359,83074612,3210591,527310848,0,16251105524,826632769,1849
40.052937102,,23343484959,23257291193,141577287,,,1138672653,614312593,21975691,101601891,2418571,85441852,3281368,551692874,0,16280249077,823459640,1848
45.057934379,,23079432367,23030457044,143473600,,,1131923930,632295031,22379310,104217158,2446683,83811583,3387468,529006537,0,16151333311,816221806,2772
50.064975298,,23103823912,23032940027,140972855,,,1130323626,635836488,21960669,103885109,2425013,84700660,3356960,549393012,0,16165875192,824630569,2252
55.069934287,,22669471724,22747044118,141907455,,,1131647887,665061519,23566553,108019650,2700207,85965402,3320368,546816500,0,15943401938,811802277,2385
60.074931902,,22501596927,22494749012,136948885,,,1114104837,632993414,21947944,103171243,2518806,84829716,3191608,548041259,0,15779778846,796876089,1115
65.000965705,,13367041826,13342354517,105770817,,,704090833,496556550,39565867,80439842,5990257,59973626,5355040,1269421254,0,9754339158,549969916,26271
