time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004634161,,7769474541,7804189074,65010010,,,754818669,2703293489,321722549,1868242158,189947370,46575431,7731241,22605684679,0,5053344031,2642622322,28139
10.009615018,,14261949118,14332474920,139670711,,,1239771183,2191908320,369275008,1369694982,234580955,104369039,13648986,28744924570,0,11308906464,2308365163,2227
15.014770817,,14547323087,14624260355,141783302,,,1254135101,2135045390,367858595,1315635449,237787874,104508078,13235411,28825221048,0,11480519940,2313120057,1566
20.019804162,,14712494001,14729255450,142862918,,,1260168854,2134860116,368412635,1323454349,239196931,104369545,12909642,27775128846,0,11690114317,2347173671,2350
25.024614285,,14553762109,14598833849,141818362,,,1256495704,2155442369,370986059,1344153391,238405648,103080923,12984378,28788607245,0,11339435865,2346859971,1697
30.029600363,,14420195293,14455382520,141309157,,,1247157021,2171537068,368837107,1319143673,236950636,105177502,13159902,28542280516,0,11432250549,2261383183,1317
35.035601434,,14862181134,14930928196,143875828,,,1259710244,2146636685,360500936,1318905493,233869099,103419588,12709910,27882870016,0,11656432877,2329859425,1404
40.043600662,,14448999458,14501283201,141543495,,,1243911510,2157012694,359822091,1319593158,230004953,105426453,12754656,27966304991,0,11585001583,2346286749,1072
45.050585526,,14590010849,14645995694,142594084,,,1265275003,2185832175,376131632,1348937168,244599168,105327970,13096835,29190471966,0,11475838768,2298776318,1424
50.057604168,,14520730092,14582182145,143852224,,,1251680135,2209485019,369435410,1360740186,233599556,109071721,13121117,28419263554,0,11463756924,2293766746,1525
55.067625361,,14627107830,14637371016,141114462,,,1259083147,2196115450,370966754,1386813462,237232475,104100203,13384211,29374264332,0,11464097858,2357787232,1915
60.074241239,,14571642468,14610319756,144748286,,,1255677732,2111565289,366714212,1301477118,238165159,105304972,12797158,27983616635,0,11619847248,2279108105,1111
65.00118135,,9906890413,9930314804,90933673,,,906547078,2373339935,317590275,1572697692,194786692,67994839,9528731,23630834710,0,7285846317,2358285164,14868
