time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004787829,,10934297726,10939441222,75594823,,,580894975,888175352,250538033,63798320,4596470,117898244,74285718,1597986359,0,9786120310,385320726,28182
10.009803168,,20135861680,20118696965,166113240,,,1110099387,1317922097,273330051,142628578,4698521,252572590,140546441,1529716877,0,17330490901,977189883,3407
15.015791951,,18598517649,18600241083,155266915,,,1064762550,1262508384,281249699,143622844,4661833,300361703,188545610,1581502193,0,16012172644,874749870,1540
20.041788561,,20109947634,20117016427,167504972,,,1110522130,1321071788,269957357,143570016,4478449,246948292,135746549,1592251932,0,17406812045,979601615,3093
25.058795856,,20127555954,20150338924,168206584,,,1112760676,1346623480,271809686,146680676,4468670,251081275,137631829,1568656928,0,17345593334,966902751,2043
30.067783561,,20178232233,20223550389,169792402,,,1120613462,1371726465,274380740,149158613,4443798,254624944,141418279,1505782126,0,17312135518,975640300,2608
35.073793502,,20146273139,20161955548,169451140,,,1117229534,1370401864,276215503,149374692,4812163,256582101,140776396,1639358654,0,17339057619,969748810,2152
40.080790207,,20239131373,20191037813,168247850,,,1116681670,1361320556,275417980,147960861,4452951,257789763,143468623,1535227559,0,17354332977,957910133,2029
45.091791933,,19794465940,19821200927,164445932,,,1100498639,1331814870,281001099,145270825,4687561,271332409,157488676,1602279109,0,17045333837,934728459,2532
50.096787661,,20212650833,20195617838,167497164,,,1112360285,1339590218,276917943,144709317,4641071,256406059,142746783,1562901387,0,17350263674,967165981,2009
55.10179945,,20208989925,20209539537,166468668,,,1109309644,1360143121,278071610,144142370,4472727,254724251,141368595,1593194531,0,17314668793,967570258,1203
60.18383009,,19213781612,19232376284,175756806,,,1065136398,1155401398,183606230,145119189,6237589,192069152,84675744,1808292491,0,16235096359,991196339,9655
65.001029668,,10325734743,10353869377,108170299,,,577001677,521889262,23687175,83003996,2848173,66490548,2976490,503988822,0,8502110586,581680683,13863
