time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004203544,,8755001290,8780326686,105127832,,,531704395,456230327,35145337,80044627,4260298,71095454,4879736,702387555,0,7481083445,520332700,27701
10.010312272,,23096772126,23156324791,248006083,,,1332431119,959748397,33136473,180567186,3293975,176973802,7082235,739173318,0,19835031450,1435480516,1767
15.015209246,,23173599286,23261228948,250128001,,,1328513737,930101189,33602327,173215646,3414339,173779268,7075133,735133997,0,19946872656,1440782798,2408
20.024211272,,23258975062,23266858413,252308842,,,1330066246,993160018,33667708,183632598,3354336,179079938,7221223,801776867,0,19866320546,1435971861,1645
25.029196828,,23304191950,23343152761,251177669,,,1335213859,972248107,35069515,181170187,3635839,177825583,7045663,785418030,0,20000226979,1442708084,1984
30.034206735,,23334922882,23366648463,251187120,,,1336921861,986560654,32503878,183797867,3262519,181774761,6766625,731811034,0,19976438967,1429920844,1241
35.040206783,,23129666288,23173936585,249610176,,,1325827922,960772620,34806607,180319687,3583505,176001189,6962691,808987372,0,19749943455,1416424737,2129
40.051203005,,23228266351,23247814936,249671638,,,1327009686,945241039,33311266,177974526,3298275,174427658,6869713,720185310,0,19871141129,1427072215,1585
45.056246867,,23087798874,23100670895,251614741,,,1323136064,988216929,35524229,184319411,3521293,178526104,6944037,836914806,0,19784729257,1426265076,2332
50.062205995,,23325076766,23374392373,253276725,,,1338455876,1040967103,33855907,191733557,3321933,186350456,7322317,872056939,0,19850131742,1434689152,2159
55.068194738,,23199385070,23228436710,252090215,,,1335407558,996506278,33360067,186446840,3307402,181465734,7040653,787385929,0,19934043927,1441276808,1888
60.073202419,,23410325442,23435943981,251713916,,,1340209125,954482922,32647622,180642201,3241507,176547536,6756341,725442283,0,19927096130,1446666273,1153
65.078198145,,23332884223,23342816425,253637914,,,1343904068,984408107,35030610,184685681,3565696,180647291,6953069,748702978,0,19937380313,1427569074,1448
70.083211064,,24278285573,24273922823,253509593,,,1377748344,890816224,29541613,170917642,2890903,178864556,6161205,571874501,0,20676901231,1499763375,1125
75.088207616,,23517764470,23461201055,253154854,,,1342577760,955141938,36462218,181428504,3889210,178376089,7063597,902047071,0,20078095386,1443333339,1757
80.094205979,,20661776641,20706105938,227043355,,,1337567253,894832037,30601994,167863490,3034294,163364753,6183796,628161149,0,17716639437,1269893706,1408
85.099207892,,22958575675,22997770365,247154067,,,1332063565,927493557,33010674,174323296,3342628,173107384,6878384,784348220,0,19656098585,1401011531,1222
90.104205058,,23270201454,23273102246,251193553,,,1337534314,980119746,34780122,181997142,3468708,179512045,6827174,706233508,0,19773487853,1414139384,1213
95.110201279,,23456528318,23487975919,250321732,,,1342349729,906478588,33664783,171907501,3486476,173576197,6882858,818509217,0,19993902966,1444268442,2884
100.115200808,,23203322171,23266378832,250716719,,,1337872161,948979716,33393926,178480482,3338663,177023404,6519104,711446582,0,19921672644,1438061067,1631
105.000953091,,14629000975,14598925277,161352375,,,851798562,607113697,31705444,112482305,3554530,107770338,5245246,719243123,0,12482112694,888394393,9688
