time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004999766,,14014248205,14054126705,99284086,,,686686529,395221123,28463479,72317736,3328740,66274990,4576063,680350439,0,9882442859,496865860,28258
10.010998107,,25159708742,25136820925,220800401,,,1363306905,811648897,31573269,158102688,3380098,154062031,6717266,741121603,0,19698128452,1252055879,2502
15.016002763,,24942763300,24928052053,220452848,,,1360063236,852916748,31744141,163799494,3545538,157022646,6617203,818473605,0,19478792394,1231697398,3644
20.021213176,,25036822072,24989728169,221257856,,,1354243998,832548483,32985008,161214137,3566354,155524413,6588304,763685057,0,19577014024,1233277757,2199
25.026001063,,24979110882,24965505705,219236844,,,1346152182,787224825,30685205,152963378,3310454,149315540,6416169,768926240,0,19671637487,1237780677,1155
30.031006201,,24686968872,24675105498,218920927,,,1337145192,813771432,32078879,157078831,3416211,150799644,6526806,742864248,0,19447985069,1223280008,1321
35.036005791,,24672656214,24639757339,217125941,,,1336222468,814468941,30401140,157199127,3141861,150029955,6130629,731544312,0,19398156108,1227594024,1349
40.04225518,,24517050730,24493576016,217326929,,,1331327191,809131005,33633657,154413031,3595754,145811581,6441920,857039660,0,19260162246,1229895977,1496
45.048001327,,24489196407,24485752300,218564604,,,1329321465,860402126,31877269,162039256,3335782,151678749,6580928,775229183,0,19177150572,1226505085,1390
50.054998094,,24741518895,24699622890,219874511,,,1336775405,822648014,31666045,157247994,3385878,149303697,6802593,798666638,0,19397937936,1228112401,1392
55.061015118,,24656412418,24648962588,219217489,,,1336080052,854827536,32212928,161459239,3376158,149907927,6555112,746980970,0,19268118194,1241552612,1233
60.066995643,,24553932565,24520190548,217256613,,,1326565268,822798579,33720263,154593997,3632054,148842989,6604652,766159700,0,19294989675,1230681774,1987
65.072000421,,24795068888,24730676608,218133702,,,1328509468,814898407,31703396,152706069,3429624,148603313,6243733,688777372,0,19353866768,1235423797,2014
70.077000107,,24770507758,24674434360,216264411,,,1325459922,789607374,33629969,149149948,3654230,143934169,6420126,823684812,0,19381660783,1248425526,1789
75.085009197,,24528035250,24492135801,218088104,,,1326807153,819698923,32649309,152622520,3492310,146908213,6849833,840318726,0,19300675957,1244341685,2983
80.091002186,,24829738888,24790207903,218073350,,,1334804755,801087421,32431770,150655245,3452279,142897392,6312262,763874318,0,19336078960,1247369621,1828
85.096002673,,24615245730,24571790707,217835457,,,1327919618,823378938,32252417,155386984,3473269,147420212,6790411,818161472,0,19266048632,1257412087,1125
90.102101086,,16349037871,16320443044,148023511,,,1342545063,560614670,24899687,107110510,2904152,98298562,4667680,502841920,0,12796781952,822572151,1217
95.108997809,,23515995060,23443733515,206108869,,,1314960086,778840984,30330216,143107273,3235495,141830488,6436866,790440565,0,18341113779,1178252936,1296
100.116995228,,25148444992,24983860556,213629808,,,1335276741,793059170,31626052,145993586,3509405,147381208,6665517,779811665,0,19481102586,1261793000,1447
105.00103907,,16368146824,16220668237,134784460,,,896112927,516340700,28266998,92326190,3387420,90433737,4925712,655340356,0,12326613902,768259484,9869
