time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004716555,,5319789769,5334864839,50430080,,,917809377,1655592715,473799861,1153706773,350626051,32183092,8175519,36507220388,0,3635396643,1764257294,26818
10.012963158,,12479698022,12487425713,129080729,,,1425076854,1551266937,479403807,949008591,361297369,90454070,17087965,43917033214,0,10045875892,1792625708,2213
15.020684471,,11733798348,11784055575,123718877,,,1419179585,1482133566,485015990,896814976,368463227,85235916,16118727,44270698448,0,9451372261,1726346683,2013
20.025706912,,10643330092,10682352211,110465628,,,1436896253,1452004420,502343280,902957575,393700999,75035189,15504935,49092422479,0,8482867205,1682876336,1547
25.030700398,,10653120105,10704746659,111930720,,,1432561079,1471181789,503397301,908068002,392746222,76505374,15195495,49036900688,0,8507104533,1667139866,2491
30.035683053,,11482556433,11584865500,119733648,,,1427405798,1482797385,493303961,915076164,379963809,81238588,16389176,46152805343,0,9157858122,1731364462,1846
35.040700702,,10904173746,10902900873,110914909,,,1415692169,1443529834,497855585,908499504,386307900,77894489,15811353,47636163750,0,8689821959,1705026511,1214
40.046687182,,11598183236,11614541706,118246019,,,1421668522,1447028958,481591490,907508397,368546299,78607263,16167513,46037634335,0,9182495273,1728084450,2024
45.051693681,,10108982750,10141257226,104842855,,,1430393934,1401468091,493956792,874446514,389454303,73330409,15605070,50000496857,0,8059018479,1613915558,1729
50.059688147,,12477184141,12474227416,127675679,,,1407095083,1506215811,500966705,934932079,380029804,90495575,16586711,43299573971,0,9831563721,1766954895,1436
55.064683196,,10919054875,10912370810,113712124,,,1425168435,1408207921,495015646,856513660,383512213,77518437,15285079,46975746322,0,8721878993,1667982222,4031
60.071673026,,12439942650,12478093998,128411201,,,1410778683,1510865816,488458864,921632769,369715493,89469475,16784706,42825138274,0,9964863920,1785681931,1257
65.080698175,,12154757651,12195128563,126701634,,,1403141926,1479019633,487014864,901590338,366320580,90032181,16675470,42612621059,0,9776251378,1768011287,1183
70.086690445,,12222431984,12231114229,127563071,,,1413146057,1404515479,465481462,839172644,351351957,88116165,16626525,42658896747,0,9977079512,1719735945,1459
75.095712091,,10605060930,10628492860,108985044,,,1426801242,1434068408,484984971,903190562,377254844,76749732,15710723,48030471982,0,8458874726,1664968137,1539
80.100728939,,11444289043,11491404953,116754026,,,1415059853,1478116446,503122474,940833548,386986521,80538604,15967331,46558510417,0,9067707543,1754075091,1709
85.106684382,,10969947555,10975513619,110934349,,,1424912479,1444059431,494677053,918599297,384305536,76572068,15769730,48310420143,0,8756158796,1725435114,2411
90.113680119,,10224605577,10263764305,105941343,,,1433998018,1379335894,488769277,859405226,381822559,69893442,15524567,50221418006,0,8181341236,1616920028,3003
95.119185122,,10450203821,10445670624,107136888,,,1435266593,1447910620,512718898,910351070,403125787,73629755,15404865,49548841860,0,8196235575,1687854687,1366
100.124700657,,12537469449,12546305985,129819993,,,1414737383,1499504298,473637067,909268914,357309852,90005246,16711840,42883188954,0,10137166628,1771086472,2395
105.00212204,,8306951224,8290526896,81485580,,,1086333582,1663329152,455352826,1121231752,339563757,56222781,11993908,37257185682,0,6278091340,1833486101,14311
