time,task-clock,branches,branch-instructions,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,bus-cycles,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cycle_activity.stalls_l3_miss,mem-loads,mem-stores,dtlb_load_misses.stlb_hit,page-faults
5.004506858,,8036853854,8047129841,29678077,,,1059410329,928917693,528934340,36471747,11043880,204613368,188791415,12932364415,0,7672923092,93309064,28212
10.010466831,,13802715849,13826432605,96101963,,,1433725590,1165820552,476980002,88424664,12727212,384825677,325620811,12139275255,0,12686871826,446064214,3215
15.019441314,,14173650221,14176415927,101893490,,,1415056867,1135001175,477777333,87756746,11985804,387677401,331020663,10730989341,0,12990458874,488000358,2172
20.024463768,,14682614881,14734265062,111121643,,,1434285956,1148167879,473006024,93457151,12168497,404789741,345197812,10161293586,0,13498874796,534182848,2342
25.029455735,,13810789795,13847518304,94906236,,,1445875055,1171207449,474705775,88985211,12562991,394170453,334820340,12136998235,0,12663997169,447860860,1276
30.034467176,,12583846871,12602342931,77600858,,,1437366965,1151002371,479830172,79821514,13753307,372114740,319126080,14476229045,0,11539652481,361718565,2053
35.040712823,,13709361700,13720823008,93237018,,,1434375144,1168195501,478015306,87777940,12518974,383949306,328366438,11920020294,0,12581740097,445930788,1583
40.046457136,,13421572169,13453910968,90232860,,,1425297009,1164989961,476719529,87030628,13175751,389686525,333743639,12713256083,0,12344167382,424522944,1565
45.051456213,,13803753166,13862887249,98113473,,,1445859399,1187562563,478180844,92949113,12517395,392616628,328710789,11880181891,0,12739191570,461810839,2093
50.056451327,,11422532773,11446812380,66086043,,,1434457485,1181238565,478800596,79030866,14810588,364407174,311742010,16805435851,0,10580890579,295003780,2376
55.062458768,,12485413087,12511324093,76668768,,,1420166048,1143137663,479207763,78935964,13446775,377973731,324387993,13716894298,0,11557605753,363730566,1105
60.068456421,,12040955900,12044671469,75533108,,,1440321143,1178098222,478480753,82390577,15161537,375407773,321864392,16291674174,0,11068618762,331897032,9606
65.07945641,,11445162012,11440629991,63800839,,,1415784107,1135217787,481756927,73680977,14273126,355372243,306278449,16078339196,0,10642684304,295903937,1168
70.087451159,,13729669853,13758483623,94729384,,,1436246935,1167806133,479327562,88508297,12895565,385263902,328806847,12489358315,0,12617290369,444878623,2965
75.096459627,,13723234756,13747707836,95240084,,,1440135437,1185030533,476813073,89802645,12484763,392802857,332846156,12069647334,0,12559062140,439419206,6071
80.101636342,,11898559305,11912262224,72086820,,,1423736678,1179720922,478679260,81105587,14089170,366993004,314370258,15383877260,0,10991974086,320658729,1835
85.107456017,,11561010334,11570052312,65375286,,,1420808921,1145295416,480427686,75583244,13980251,358024679,308562001,15488884498,0,10739784134,305607877,1094
90.112484686,,13327361990,13355097351,91553901,,,1425821539,1188485026,475484499,89568032,12767855,389719499,331374483,12558982735,0,12331913293,426037302,1192
95.118656661,,13107821701,13118729415,87375326,,,1413531875,1186776755,474440712,88244720,12851582,395931801,338764812,12507373929,0,12131212204,402320365,1465
100.124434563,,18365935326,18379869402,186517233,,,1364271985,1085845156,246876353,144679776,14284802,258456401,145317898,9688079993,0,15814432639,893682904,35290
105.005107537,,17902354431,17937109374,188926428,,,1020932706,732899761,31945435,131252867,3495488,137287009,6167040,659934133,0,15138943505,1047441762,9732
