Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
1replicas_scenario0_100rps,1,Baseline0,100,95.02,87.05,65.0,95.0,128.0,327.0,1240.0
1replicas_scenario0_500rps,1,Baseline0,500,495.0,92.98,67.0,102.0,158.0,345.0,2610.0
1replicas_scenario0_900rps,1,Baseline0,900,894.99,115.47,57.0,93.0,127.0,1830.0,4830.0
1replicas_scenario0_1300rps,1,Baseline0,1300,1262.59,565.81,393.0,746.0,1210.0,2310.0,4240.0
1replicas_scenario0_1700rps,1,Baseline0,1700,1692.89,78.96,65.0,83.0,117.0,272.0,2330.0
1replicas_scenario0_2100rps,1,Baseline0,2100,2092.14,88.83,83.0,105.0,133.0,198.0,1480.0
1replicas_scenario0_2500rps,1,Baseline0,2500,2490.96,75.47,66.0,80.0,103.0,218.0,2190.0
1replicas_scenario1_100rps,1,Baseline1,100,94.52,436.88,364.0,519.0,810.0,1590.0,2210.0
1replicas_scenario1_500rps,1,Baseline1,500,495.0,159.32,67.0,105.0,206.0,2460.0,6880.0
1replicas_scenario1_900rps,1,Baseline1,900,872.56,509.07,364.0,631.0,1070.0,2010.0,8580.0
1replicas_scenario1_1300rps,1,Baseline1,1300,1293.82,73.81,65.0,84.0,105.0,201.0,2120.0
1replicas_scenario1_1700rps,1,Baseline1,1700,1652.56,534.8,410.0,736.0,1040.0,1840.0,4510.0
1replicas_scenario1_2100rps,1,Baseline1,2100,2042.56,432.08,345.0,531.0,860.0,1540.0,5250.0
1replicas_scenario1_2500rps,1,Baseline1,2500,2432.49,526.52,466.0,638.0,920.0,1740.0,3050.0
1replicas_scenario2_100rps,1,1_iBench_CPU_pod,100,95.02,154.58,90.0,116.0,195.0,2280.0,3750.0
1replicas_scenario2_500rps,1,1_iBench_CPU_pod,500,495.01,129.08,72.0,112.0,195.0,1250.0,4080.0
1replicas_scenario2_900rps,1,1_iBench_CPU_pod,900,894.99,100.96,58.0,91.0,123.0,1150.0,4110.0
1replicas_scenario2_1300rps,1,1_iBench_CPU_pod,1300,1262.65,779.61,594.0,970.0,1530.0,3330.0,5220.0
