System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-06-19,19:25:31.936,1.02,0.30,0.85,52.56,25.89,2.04,40.89,2.49,89.74,0.00,100.00,0.00
2025-06-19,19:25:36.937,1.02,0.35,0.99,52.54,25.70,2.05,40.96,2.55,91.39,0.00,100.00,0.00
2025-06-19,19:25:41.937,1.06,0.30,0.89,52.80,25.88,2.12,42.33,2.47,92.39,0.00,100.00,0.00
2025-06-19,19:25:46.937,1.08,0.31,0.88,52.97,25.93,2.16,43.25,2.44,93.43,0.00,100.00,0.00
2025-06-19,19:25:51.937,1.07,0.30,0.87,52.74,25.84,2.15,42.91,2.48,92.09,0.00,100.00,0.00
2025-06-19,19:25:56.938,1.04,0.33,0.96,52.58,25.75,2.08,41.64,2.52,91.09,0.00,100.00,0.00
2025-06-19,19:26:01.939,1.04,0.32,0.92,52.75,25.86,2.09,41.76,2.50,92.12,0.00,100.00,0.00
2025-06-19,19:26:06.939,1.07,0.30,0.86,52.96,25.97,2.14,42.87,2.46,93.17,0.00,100.00,0.00
2025-06-19,19:26:11.940,1.05,0.33,0.89,52.91,25.83,2.09,41.86,2.47,93.37,0.00,100.00,0.00
2025-06-19,19:26:16.940,1.03,0.36,1.03,52.38,25.59,2.07,41.34,2.58,90.16,0.00,100.00,0.00
2025-06-19,19:26:21.940,1.01,0.26,0.69,52.58,26.09,2.03,40.53,2.42,89.75,0.00,100.00,0.00
