System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-06-21,04:35:23.973,0.40,72.35,0.00,0.40,72.35,0.00,0.81,0.01,0.07,0.33,76.06,0.00,1.61,32.30,0.69,0.01,0.05,0.27,76.49,0.00,1.38,27.64,0.97,0.01,0.06,0.33,74.18,0.00,1.94,38.88,1.01,0.02,0.10,0.51,62.84,0.00,2.02,40.45,1.01,0.01,0.10,0.47,75.92,0.00,2.03,40.51,1.02,0.01,0.10,0.48,76.28,0.00,2.03,40.62,1.31,0.02,0.07,0.72,73.80,0.00,2.63,52.60,0.35,0.00,0.02,0.12,63.23,0.00,0.69,13.80
2025-06-21,04:35:28.979,0.53,74.56,0.00,0.53,74.56,0.00,0.81,0.02,0.07,0.32,81.16,0.00,1.62,32.34,0.89,0.01,0.06,0.32,79.96,0.00,1.78,35.57,0.85,0.02,0.08,0.36,69.41,0.00,1.70,34.08,0.71,0.02,0.13,0.76,68.08,0.00,1.43,28.52,1.04,0.02,0.15,0.70,80.77,0.00,2.07,41.49,0.93,0.02,0.14,0.70,79.57,0.00,1.86,37.24,1.26,0.01,0.03,0.40,69.37,0.00,2.51,50.23,1.00,0.03,0.12,0.71,68.13,0.00,1.99,39.87
2025-06-21,04:35:33.977,0.54,73.64,0.00,0.54,73.64,0.00,0.66,0.01,0.05,0.28,79.46,0.00,1.32,26.50,0.65,0.01,0.05,0.26,79.15,0.00,1.30,25.96,0.81,0.01,0.06,0.31,69.04,0.00,1.62,32.38,0.71,0.02,0.12,0.76,67.49,0.00,1.43,28.53,1.03,0.01,0.14,0.73,79.01,0.00,2.05,41.00,0.98,0.01,0.13,0.70,78.71,0.00,1.97,39.34,1.14,0.01,0.03,0.38,68.96,0.00,2.28,45.51,1.02,0.04,0.14,0.92,67.32,0.00,2.05,40.90
2025-06-21,04:35:38.978,0.57,74.13,0.00,0.57,74.13,0.00,0.83,0.02,0.07,0.38,78.34,0.00,1.66,33.24,0.64,0.02,0.08,0.36,78.73,0.00,1.29,25.77,0.79,0.02,0.08,0.41,69.44,0.00,1.59,31.79,0.71,0.02,0.14,0.83,70.33,0.00,1.41,28.25,0.99,0.02,0.16,0.77,77.95,0.00,1.99,39.74,0.98,0.01,0.14,0.69,78.39,0.00,1.96,39.11,1.03,0.01,0.03,0.35,69.50,0.00,2.06,41.14,1.00,0.04,0.13,0.82,70.34,0.00,1.99,39.86
2025-06-21,04:35:43.980,0.50,74.62,0.00,0.50,74.62,0.00,0.82,0.01,0.06,0.35,80.86,0.00,1.65,32.94,0.76,0.02,0.07,0.34,80.48,0.00,1.53,30.58,0.74,0.02,0.09,0.34,68.41,0.00,1.47,29.50,0.72,0.01,0.12,0.67,69.04,0.00,1.44,28.85,1.03,0.01,0.13,0.61,80.60,0.00,2.07,41.33,0.95,0.01,0.12,0.53,80.28,0.00,1.91,38.17,1.16,0.00,0.02,0.36,68.39,0.00,2.31,46.28,1.00,0.04,0.12,0.79,68.92,0.00,2.00,40.04
2025-06-21,04:35:48.979,0.54,74.85,0.00,0.54,74.85,0.00,1.09,0.02,0.06,0.33,80.63,0.00,2.18,43.69,0.81,0.02,0.07,0.38,79.31,0.00,1.63,32.53,0.70,0.01,0.07,0.31,71.08,0.00,1.40,28.06,0.70,0.02,0.12,0.74,68.80,0.00,1.39,27.86,1.00,0.01,0.14,0.69,80.28,0.00,1.99,39.85,0.99,0.01,0.13,0.63,79.05,0.00,1.98,39.58,1.12,0.00,0.02,0.37,71.02,0.00,2.24,44.75,1.02,0.04,0.15,0.89,68.64,0.00,2.04,40.90
2025-06-21,04:35:53.978,0.52,76.27,0.00,0.52,76.27,0.00,0.67,0.01,0.07,0.33,80.68,0.00,1.35,26.95,0.91,0.02,0.07,0.39,81.04,0.00,1.82,36.34,0.60,0.02,0.08,0.32,73.30,0.00,1.20,24.08,0.88,0.01,0.14,0.72,70.37,0.00,1.76,35.18,1.03,0.02,0.15,0.71,80.30,0.00,2.06,41.14,0.84,0.01,0.11,0.57,80.86,0.00,1.67,33.49,1.34,0.03,0.09,0.66,72.96,0.00,2.68,53.54,1.06,0.01,0.05,0.45,70.65,0.00,2.13,42.60
2025-06-21,04:35:58.979,0.52,74.36,0.00,0.52,74.36,0.00,0.99,0.02,0.07,0.37,80.83,0.00,1.98,39.54,1.31,0.01,0.06,0.37,78.03,0.00,2.61,52.24,0.73,0.01,0.07,0.33,69.69,0.00,1.45,29.05,0.71,0.02,0.12,0.71,69.21,0.00,1.43,28.54,1.00,0.01,0.14,0.65,80.55,0.00,2.00,39.95,0.97,0.01,0.12,0.55,77.85,0.00,1.94,38.74,1.18,0.01,0.03,0.36,69.66,0.00,2.36,47.19,1.02,0.03,0.13,0.84,69.08,0.00,2.05,40.95
2025-06-21,04:36:03.980,0.60,74.87,0.00,0.60,74.87,0.00,0.80,0.02,0.08,0.42,79.99,0.00,1.59,31.85,0.97,0.02,0.07,0.37,79.59,0.00,1.95,38.98,0.71,0.02,0.08,0.37,70.38,0.00,1.43,28.55,0.71,0.02,0.14,0.86,69.91,0.00,1.43,28.56,0.99,0.02,0.16,0.81,79.59,0.00,1.99,39.80,0.98,0.02,0.15,0.81,79.15,0.00,1.95,39.06,1.21,0.01,0.03,0.41,70.34,0.00,2.43,48.57,1.00,0.04,0.13,0.78,69.99,0.00,2.00,39.99
2025-06-21,04:36:08.979,0.53,74.23,0.00,0.53,74.23,0.00,0.90,0.02,0.07,0.38,78.04,0.00,1.79,35.89,0.67,0.01,0.07,0.33,78.99,0.00,1.33,26.61,0.82,0.01,0.07,0.35,70.91,0.00,1.64,32.78,0.72,0.02,0.13,0.72,69.32,0.00,1.44,28.71,1.03,0.02,0.16,0.69,77.73,0.00,2.06,41.18,0.97,0.01,0.11,0.53,78.79,0.00,1.94,38.89,1.09,0.00,0.03,0.35,70.91,0.00,2.17,43.42,1.00,0.04,0.14,0.85,69.19,0.00,2.00,39.95
