Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
1replicas_scenario0_500rps,1,Baseline0,500,488.37,492.19,400.0,634.0,980.0,1470.0,2190.0
1replicas_scenario0_1000rps,1,Baseline0,1000,996.64,100.4,67.0,95.0,159.0,617.0,1170.0
1replicas_scenario0_1500rps,1,Baseline0,1500,1471.67,564.81,483.0,698.0,1000.0,1730.0,4140.0
1replicas_scenario0_2000rps,1,Baseline0,2000,1994.94,79.23,72.0,92.0,114.0,191.0,1960.0
1replicas_scenario0_2500rps,1,Baseline0,2500,2454.98,453.4,389.0,563.0,759.0,1500.0,2650.0
1replicas_scenario1_500rps,1,Baseline1,500,496.67,98.31,73.0,111.0,179.0,344.0,1210.0
1replicas_scenario1_1000rps,1,Baseline1,1000,980.0,471.37,374.0,578.0,920.0,1600.0,2830.0
1replicas_scenario1_1500rps,1,Baseline1,1500,1495.45,75.54,67.0,86.0,107.0,174.0,2040.0
1replicas_scenario1_2000rps,1,Baseline1,2000,1963.3,577.77,447.0,786.0,1140.0,1800.0,3880.0
1replicas_scenario1_2500rps,1,Baseline1,2500,2493.95,69.06,63.0,75.0,92.0,173.0,2020.0
1replicas_scenario2_500rps,1,Baseline2,500,496.67,88.68,66.0,102.0,139.0,318.0,3210.0
1replicas_scenario2_1000rps,1,Baseline2,1000,996.66,77.2,64.0,79.0,103.0,274.0,1960.0
1replicas_scenario2_1500rps,1,Baseline2,1500,1495.54,72.77,64.0,79.0,100.0,188.0,1850.0
1replicas_scenario2_2000rps,1,Baseline2,2000,1994.96,81.63,74.0,94.0,118.0,212.0,1580.0
1replicas_scenario2_2500rps,1,Baseline2,2500,2493.99,75.48,68.0,82.0,104.0,180.0,1930.0
1replicas_scenario3_500rps,1,Baseline3,500,488.39,582.56,459.0,806.0,1130.0,1880.0,4060.0
1replicas_scenario3_1000rps,1,Baseline3,1000,996.65,71.25,64.0,76.0,96.0,163.0,1720.0
1replicas_scenario3_1500rps,1,Baseline3,1500,1495.41,89.48,69.0,98.0,149.0,311.0,1820.0
1replicas_scenario3_2000rps,1,Baseline3,2000,1963.29,383.07,292.0,465.0,759.0,1380.0,4040.0
1replicas_scenario3_2500rps,1,Baseline3,2500,2493.96,77.22,68.0,82.0,105.0,203.0,1680.0
1replicas_scenario4_500rps,1,Baseline4,500,488.38,484.85,390.0,595.0,970.0,1550.0,2680.0
1replicas_scenario4_1000rps,1,Baseline4,1000,996.65,80.4,65.0,87.0,117.0,275.0,2880.0
1replicas_scenario4_1500rps,1,Baseline4,1500,1495.55,74.97,67.0,85.0,104.0,177.0,1930.0
1replicas_scenario4_2000rps,1,Baseline4,2000,1994.96,80.81,78.0,94.0,115.0,154.0,1890.0
1replicas_scenario4_2500rps,1,Baseline4,2500,2455.0,649.09,527.0,900.0,1250.0,1960.0,3830.0
1replicas_scenario5_500rps,1,1_iBench_CPU_pod,500,488.38,515.37,394.0,638.0,1090.0,1800.0,2830.0
1replicas_scenario5_1000rps,1,1_iBench_CPU_pod,1000,996.65,73.44,65.0,80.0,101.0,209.0,2320.0
1replicas_scenario5_1500rps,1,1_iBench_CPU_pod,1500,1495.46,80.49,67.0,90.0,120.0,239.0,1860.0
1replicas_scenario5_2000rps,1,1_iBench_CPU_pod,2000,1963.28,342.1,274.0,431.0,673.0,1140.0,4810.0
1replicas_scenario5_2500rps,1,1_iBench_CPU_pod,2500,2455.0,487.99,421.0,598.0,870.0,1670.0,3510.0
1replicas_scenario6_500rps,1,2_iBench_CPU_pods,500,488.37,442.11,338.0,515.0,940.0,1710.0,2850.0
1replicas_scenario6_1000rps,1,2_iBench_CPU_pods,1000,996.65,74.23,64.0,77.0,100.0,218.0,1630.0
1replicas_scenario6_1500rps,1,2_iBench_CPU_pods,1500,1471.66,404.7,345.0,520.0,711.0,1320.0,3300.0
1replicas_scenario6_2000rps,1,2_iBench_CPU_pods,2000,1994.97,91.01,80.0,99.0,136.0,301.0,2570.0
1replicas_scenario6_2500rps,1,2_iBench_CPU_pods,2500,2454.99,303.54,234.0,363.0,572.0,1160.0,2590.0
1replicas_scenario7_500rps,1,3_iBench_CPU_pods,500,488.39,488.69,387.0,592.0,1000.0,1720.0,3520.0
1replicas_scenario7_1000rps,1,3_iBench_CPU_pods,1000,996.66,88.62,67.0,91.0,140.0,429.0,2360.0
1replicas_scenario7_1500rps,1,3_iBench_CPU_pods,1500,1471.68,511.92,402.0,655.0,980.0,1740.0,2990.0
1replicas_scenario7_2000rps,1,3_iBench_CPU_pods,2000,1963.28,571.01,475.0,713.0,1060.0,1820.0,3430.0
1replicas_scenario7_2500rps,1,3_iBench_CPU_pods,2500,2493.99,73.59,64.0,77.0,101.0,230.0,2020.0
1replicas_scenario8_500rps,1,4_iBench_CPU_pods,500,488.37,635.39,503.0,880.0,1230.0,1890.0,3690.0
1replicas_scenario8_1000rps,1,4_iBench_CPU_pods,1000,996.65,78.21,66.0,85.0,113.0,260.0,2230.0
1replicas_scenario8_1500rps,1,4_iBench_CPU_pods,1500,1471.67,436.59,365.0,567.0,771.0,1440.0,2890.0
1replicas_scenario8_2000rps,1,4_iBench_CPU_pods,2000,1963.27,594.92,499.0,729.0,1130.0,1940.0,3460.0
1replicas_scenario8_2500rps,1,4_iBench_CPU_pods,2500,2454.96,533.27,459.0,649.0,960.0,1770.0,3600.0
1replicas_scenario9_500rps,1,1_stress-ng_l3_pod,500,488.37,551.31,427.0,744.0,1140.0,1650.0,2500.0
1replicas_scenario9_1000rps,1,1_stress-ng_l3_pod,1000,996.65,72.36,65.0,78.0,99.0,197.0,1390.0
1replicas_scenario9_1500rps,1,1_stress-ng_l3_pod,1500,1495.52,79.09,68.0,89.0,114.0,228.0,1830.0
1replicas_scenario9_2000rps,1,1_stress-ng_l3_pod,2000,1963.27,366.54,277.0,429.0,722.0,1360.0,2850.0
1replicas_scenario9_2500rps,1,1_stress-ng_l3_pod,2500,2454.98,568.24,463.0,732.0,1060.0,1780.0,3080.0
1replicas_scenario10_500rps,1,2_stress-ng_l3_pods,500,488.37,391.35,309.0,470.0,835.0,1300.0,5140.0
1replicas_scenario10_1000rps,1,2_stress-ng_l3_pods,1000,979.99,442.96,358.0,558.0,835.0,1540.0,3170.0
1replicas_scenario10_1500rps,1,2_stress-ng_l3_pods,1500,1471.66,363.52,294.0,466.0,712.0,1200.0,3800.0
1replicas_scenario10_2000rps,1,2_stress-ng_l3_pods,2000,1994.97,80.24,74.0,93.0,117.0,167.0,3030.0
1replicas_scenario10_2500rps,1,2_stress-ng_l3_pods,2500,2454.94,481.94,391.0,596.0,880.0,1580.0,3620.0
1replicas_scenario11_500rps,1,3_stress-ng_l3_pods,500,496.67,88.51,65.0,97.0,145.0,347.0,1080.0
1replicas_scenario11_1000rps,1,3_stress-ng_l3_pods,1000,996.65,75.96,66.0,81.0,104.0,240.0,1580.0
1replicas_scenario11_1500rps,1,3_stress-ng_l3_pods,1500,1495.55,78.55,65.0,84.0,112.0,259.0,2200.0
1replicas_scenario11_2000rps,1,3_stress-ng_l3_pods,2000,1963.29,538.45,455.0,671.0,980.0,1730.0,3730.0
1replicas_scenario11_2500rps,1,3_stress-ng_l3_pods,2500,2493.96,76.3,68.0,81.0,102.0,199.0,2030.0
1replicas_scenario12_500rps,1,4_stress-ng_l3_pods,500,488.37,405.25,295.0,486.0,920.0,1540.0,3350.0
1replicas_scenario12_1000rps,1,4_stress-ng_l3_pods,1000,996.66,86.01,66.0,89.0,120.0,438.0,1450.0
1replicas_scenario12_1500rps,1,4_stress-ng_l3_pods,1500,1495.38,84.99,67.0,93.0,131.0,295.0,2010.0
1replicas_scenario12_2000rps,1,4_stress-ng_l3_pods,2000,1994.96,84.98,78.0,96.0,124.0,217.0,2480.0
1replicas_scenario12_2500rps,1,4_stress-ng_l3_pods,2500,2493.94,77.82,68.0,81.0,105.0,232.0,3160.0
1replicas_scenario13_500rps,1,1_iBench_memBW_pod,500,488.38,555.3,442.0,789.0,1120.0,1510.0,2330.0
