Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
1replicas_scenario0_1500rps,1,Baseline0,1500,1495.56,58.54,49.0,64.0,83.0,179.0,1900.0
1replicas_scenario1_1500rps,1,Baseline1,1500,1495.52,62.02,48.0,63.0,89.0,251.0,2220.0
1replicas_scenario2_1500rps,1,Baseline2,1500,1495.54,55.96,47.0,62.0,80.0,157.0,1420.0
1replicas_scenario5_1500rps,1,1_iBench_CPU_pod,1500,1471.68,595.98,538.0,804.0,1030.0,1690.0,3510.0
1replicas_scenario6_1500rps,1,2_iBench_CPU_pods,1500,1495.54,118.71,53.0,79.0,132.0,2060.0,5110.0
1replicas_scenario7_1500rps,1,3_iBench_CPU_pods,1500,1495.51,147.63,62.0,94.0,160.0,2400.0,4810.0
1replicas_scenario8_1500rps,1,4_iBench_CPU_pods,1500,1495.54,207.77,60.0,93.0,247.0,3190.0,6960.0
1replicas_scenario9_1500rps,1,1_stress-ng_l3_pod,1500,1472.0,420.93,356.0,530.0,767.0,1160.0,4050.0
1replicas_scenario10_1500rps,1,2_stress-ng_l3_pods,1500,1495.53,231.96,169.0,284.0,414.0,950.0,4270.0
1replicas_scenario11_1500rps,1,3_stress-ng_l3_pods,1500,1495.5,1370.0,1040.0,1820.0,3070.0,6540.0,49500.0
1replicas_scenario12_1500rps,1,4_stress-ng_l3_pods,1500,1473.24,6870.0,4910.0,8960.0,14980.0,31420.0,66240.0
1replicas_scenario13_1500rps,1,1_iBench_memBW_pod,1500,1495.55,83.51,65.0,87.0,131.0,322.0,3170.0
1replicas_scenario14_1500rps,1,2_iBench_memBW_pods,1500,1495.53,128.72,92.0,152.0,221.0,535.0,4720.0
1replicas_scenario15_1500rps,1,3_iBench_memBW_pods,1500,1471.66,1190.0,676.0,1640.0,2990.0,5250.0,8980.0
1replicas_scenario16_1500rps,1,4_iBench_memBW_pods,1500,1495.35,480.32,137.0,264.0,1520.0,4330.0,8730.0
2replicas_scenario0_1500rps,2,Baseline0,1500,1495.54,66.5,52.0,62.0,90.0,329.0,2000.0
2replicas_scenario1_1500rps,2,Baseline1,1500,1495.46,60.33,52.0,61.0,85.0,173.0,1870.0
2replicas_scenario2_1500rps,2,Baseline2,1500,1495.43,56.99,48.0,56.0,76.0,189.0,3200.0
2replicas_scenario5_1500rps,2,1_iBench_CPU_pod,1500,1495.54,72.47,50.0,65.0,98.0,239.0,4790.0
2replicas_scenario6_1500rps,2,2_iBench_CPU_pods,1500,1495.55,103.28,54.0,74.0,111.0,1490.0,4170.0
2replicas_scenario7_1500rps,2,3_iBench_CPU_pods,1500,1471.77,685.96,533.0,850.0,1280.0,3200.0,7260.0
2replicas_scenario8_1500rps,2,4_iBench_CPU_pods,1500,1495.56,136.84,56.0,86.0,139.0,2350.0,4820.0
2replicas_scenario9_1500rps,2,1_stress-ng_l3_pod,1500,1495.4,91.63,74.0,94.0,136.0,372.0,2950.0
2replicas_scenario10_1500rps,2,2_stress-ng_l3_pods,1500,1471.67,1950.0,1840.0,2650.0,3400.0,4910.0,8490.0
2replicas_scenario11_1500rps,2,3_stress-ng_l3_pods,1500,1495.44,777.22,454.0,1180.0,1740.0,3140.0,32220.0
2replicas_scenario12_1500rps,2,4_stress-ng_l3_pods,1500,1495.46,1030.0,605.0,1470.0,2420.0,4860.0,14320.0
2replicas_scenario13_1500rps,2,1_iBench_memBW_pod,1500,1495.44,82.87,69.0,88.0,130.0,255.0,3150.0
2replicas_scenario14_1500rps,2,2_iBench_memBW_pods,1500,1495.52,161.25,120.0,195.0,307.0,654.0,2540.0
2replicas_scenario15_1500rps,2,3_iBench_memBW_pods,1500,1471.67,1000.0,562.0,1190.0,2560.0,4870.0,8390.0
2replicas_scenario16_1500rps,2,4_iBench_memBW_pods,1500,1495.38,465.02,145.0,277.0,1450.0,4160.0,12390.0
3replicas_scenario0_1500rps,3,Baseline0,1500,1471.85,457.98,396.0,620.0,837.0,1400.0,5520.0
3replicas_scenario1_1500rps,3,Baseline1,1500,1495.5,59.56,53.0,64.0,83.0,135.0,2540.0
3replicas_scenario2_1500rps,3,Baseline2,1500,1495.38,68.2,54.0,73.0,106.0,217.0,2700.0
3replicas_scenario5_1500rps,3,1_iBench_CPU_pod,1500,1471.66,631.82,525.0,842.0,1170.0,2110.0,4690.0
3replicas_scenario6_1500rps,3,2_iBench_CPU_pods,1500,1495.38,108.69,56.0,84.0,129.0,1500.0,4870.0
3replicas_scenario7_1500rps,3,3_iBench_CPU_pods,1500,1495.54,159.52,91.0,121.0,197.0,2320.0,5250.0
3replicas_scenario8_1500rps,3,4_iBench_CPU_pods,1500,1495.52,162.68,89.0,125.0,213.0,2210.0,5690.0
3replicas_scenario9_1500rps,3,1_stress-ng_l3_pod,1500,1471.79,676.9,617.0,890.0,1180.0,1750.0,3400.0
3replicas_scenario10_1500rps,3,2_stress-ng_l3_pods,1500,1495.47,335.34,247.0,410.0,654.0,1360.0,7340.0
3replicas_scenario11_1500rps,3,3_stress-ng_l3_pods,1500,1495.47,661.83,366.0,970.0,1540.0,2640.0,29260.0
3replicas_scenario12_1500rps,3,4_stress-ng_l3_pods,1500,1471.61,2720.0,2350.0,3670.0,5320.0,9170.0,20720.0
3replicas_scenario13_1500rps,3,1_iBench_memBW_pod,1500,1495.53,76.75,68.0,84.0,107.0,195.0,3260.0
3replicas_scenario14_1500rps,3,2_iBench_memBW_pods,1500,1495.53,156.15,117.0,179.0,284.0,627.0,3980.0
3replicas_scenario15_1500rps,3,3_iBench_memBW_pods,1500,1471.67,900.0,514.0,1070.0,2230.0,4680.0,15360.0
3replicas_scenario16_1500rps,3,4_iBench_memBW_pods,1500,1471.68,1130.0,562.0,1430.0,3010.0,5980.0,11850.0
4replicas_scenario0_1500rps,4,Baseline0,1500,1495.39,61.56,53.0,62.0,84.0,174.0,2120.0
4replicas_scenario1_1500rps,4,Baseline1,1500,1471.69,476.3,411.0,639.0,880.0,1390.0,5000.0
4replicas_scenario2_1500rps,4,Baseline2,1500,1495.54,63.45,54.0,63.0,84.0,202.0,2130.0
4replicas_scenario5_1500rps,4,1_iBench_CPU_pod,1500,1495.4,84.36,55.0,68.0,105.0,510.0,3980.0
4replicas_scenario6_1500rps,4,2_iBench_CPU_pods,1500,1471.66,603.03,470.0,786.0,1190.0,2330.0,6370.0
4replicas_scenario7_1500rps,4,3_iBench_CPU_pods,1500,1471.7,793.52,668.0,1050.0,1430.0,3190.0,7780.0
4replicas_scenario8_1500rps,4,4_iBench_CPU_pods,1500,1495.37,151.3,80.0,122.0,219.0,1730.0,5680.0
4replicas_scenario9_1500rps,4,1_stress-ng_l3_pod,1500,1495.4,102.84,77.0,101.0,157.0,465.0,2830.0
4replicas_scenario10_1500rps,4,2_stress-ng_l3_pods,1500,1495.5,358.14,263.0,426.0,702.0,1540.0,3570.0
4replicas_scenario11_1500rps,4,3_stress-ng_l3_pods,1500,1495.38,695.56,379.0,980.0,1580.0,3120.0,31920.0
4replicas_scenario12_1500rps,4,4_stress-ng_l3_pods,1500,1471.65,2300.0,1950.0,3080.0,4490.0,7990.0,15540.0
4replicas_scenario13_1500rps,4,1_iBench_memBW_pod,1500,1471.8,566.27,478.0,778.0,1060.0,1580.0,3650.0
4replicas_scenario14_1500rps,4,2_iBench_memBW_pods,1500,1495.37,225.51,142.0,242.0,424.0,1410.0,9450.0
4replicas_scenario15_1500rps,4,3_iBench_memBW_pods,1500,1495.52,243.22,136.0,207.0,326.0,2430.0,13920.0
4replicas_scenario16_1500rps,4,4_iBench_memBW_pods,1500,1495.53,403.94,136.0,245.0,1130.0,3920.0,24800.0
5replicas_scenario0_1500rps,5,Baseline0,1500,1495.39,62.42,54.0,62.0,83.0,196.0,2550.0
5replicas_scenario1_1500rps,5,Baseline1,1500,1471.69,497.0,413.0,669.0,930.0,1490.0,4410.0
5replicas_scenario2_1500rps,5,Baseline2,1500,1495.41,64.83,56.0,64.0,91.0,204.0,1700.0
5replicas_scenario5_1500rps,5,1_iBench_CPU_pod,1500,1495.41,81.11,56.0,77.0,119.0,363.0,3660.0
