System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-13,22:19:22.529,0.59,92.32,0.00,0.59,92.32,0.00,1.94,0.01,0.03,1.55,94.43,0.00,3.89,77.74,1.81,0.01,0.03,0.73,92.45,0.00,3.63,72.51,1.73,0.01,0.04,1.17,92.21,0.00,3.45,69.08,0.72,0.00,0.03,0.12,89.01,0.00,1.43,28.68,0.62,0.01,0.12,0.35,95.63,0.00,1.23,24.68,0.59,0.00,0.02,0.09,93.09,0.00,1.18,23.66,0.67,0.01,0.11,0.37,93.01,0.00,1.34,26.88,0.67,0.01,0.09,0.38,88.75,0.00,1.35,26.98
2025-07-13,22:19:27.530,0.63,98.43,0.00,0.63,98.43,0.00,1.69,0.01,0.03,1.49,95.84,0.00,3.38,67.57,1.90,0.01,0.04,0.81,98.12,0.00,3.80,76.06,1.91,0.01,0.04,1.20,98.78,0.00,3.83,76.59,0.59,0.01,0.03,0.13,99.86,0.00,1.17,23.45,0.79,0.01,0.09,0.35,96.99,0.00,1.58,31.61,0.84,0.00,0.04,0.14,98.78,0.00,1.67,33.42,0.66,0.01,0.15,0.43,99.55,0.00,1.32,26.44,0.67,0.01,0.11,0.49,99.50,0.00,1.34,26.88
2025-07-13,22:19:32.530,0.61,98.80,0.00,0.61,98.80,0.00,1.80,0.01,0.02,2.08,95.92,0.00,3.61,72.13,1.32,0.01,0.03,0.22,99.46,0.00,2.63,52.67,2.01,0.01,0.03,1.27,98.67,0.00,4.02,80.37,0.84,0.00,0.02,0.11,99.89,0.00,1.68,33.58,0.64,0.01,0.10,0.31,97.68,0.00,1.28,25.55,0.77,0.00,0.01,0.09,99.59,0.00,1.55,30.94,0.69,0.01,0.12,0.38,99.57,0.00,1.38,27.55,0.74,0.01,0.09,0.40,99.60,0.00,1.48,29.53
2025-07-13,22:19:37.531,0.62,98.77,0.00,0.62,98.77,0.00,1.80,0.01,0.03,2.11,96.28,0.00,3.60,71.92,1.80,0.01,0.03,0.58,98.66,0.00,3.60,72.05,1.89,0.01,0.03,0.81,99.16,0.00,3.78,75.57,0.67,0.00,0.03,0.12,99.84,0.00,1.34,26.77,0.63,0.01,0.10,0.31,98.08,0.00,1.26,25.11,0.64,0.00,0.03,0.12,99.11,0.00,1.28,25.67,0.71,0.01,0.13,0.43,99.54,0.00,1.42,28.42,0.74,0.01,0.11,0.45,99.51,0.00,1.49,29.79
2025-07-13,22:19:42.531,0.66,98.79,0.00,0.66,98.79,0.00,1.75,0.01,0.04,1.99,96.25,0.00,3.50,70.06,1.92,0.01,0.04,1.06,98.57,0.00,3.83,76.67,1.69,0.02,0.05,0.63,99.33,0.00,3.38,67.69,0.90,0.00,0.02,0.12,99.84,0.00,1.79,35.89,0.59,0.01,0.14,0.45,97.79,0.00,1.18,23.65,0.61,0.00,0.03,0.12,99.51,0.00,1.22,24.33,0.70,0.01,0.12,0.45,99.52,0.00,1.41,28.16,0.72,0.01,0.10,0.43,99.53,0.00,1.44,28.74
2025-07-13,22:19:47.531,0.62,98.82,0.00,0.62,98.82,0.00,1.79,0.01,0.03,2.03,96.89,0.00,3.58,71.64,1.39,0.01,0.04,0.26,98.81,0.00,2.77,55.41,1.98,0.02,0.04,1.26,98.55,0.00,3.96,79.19,0.73,0.00,0.03,0.13,99.85,0.00,1.46,29.16,0.68,0.01,0.09,0.29,98.63,0.00,1.36,27.22,0.96,0.00,0.02,0.13,98.94,0.00,1.91,38.28,0.69,0.01,0.14,0.42,99.39,0.00,1.37,27.46,0.79,0.01,0.12,0.46,99.52,0.00,1.58,31.52
2025-07-13,22:19:52.532,0.62,98.88,0.00,0.62,98.88,0.00,1.82,0.01,0.03,2.08,96.16,0.00,3.63,72.60,1.20,0.02,0.05,0.31,99.55,0.00,2.39,47.89,2.00,0.01,0.04,1.10,98.82,0.00,4.00,79.97,0.65,0.00,0.02,0.11,99.89,0.00,1.30,26.00,0.61,0.01,0.12,0.35,97.90,0.00,1.21,24.26,0.96,0.00,0.02,0.12,99.74,0.00,1.91,38.27,0.70,0.01,0.14,0.41,99.51,0.00,1.41,28.16,0.61,0.01,0.10,0.50,99.50,0.00,1.21,24.21
2025-07-13,22:19:57.531,0.62,99.00,0.00,0.62,99.00,0.00,1.92,0.02,0.04,1.53,97.73,0.00,3.83,76.61,1.52,0.01,0.02,0.84,98.70,0.00,3.03,60.68,2.00,0.01,0.03,1.08,98.65,0.00,3.99,79.88,0.80,0.00,0.02,0.11,99.86,0.00,1.60,32.04,0.65,0.01,0.14,0.42,98.84,0.00,1.30,26.09,0.84,0.00,0.02,0.12,99.43,0.00,1.67,33.49,0.69,0.01,0.15,0.44,99.29,0.00,1.38,27.70,0.74,0.01,0.10,0.46,99.51,0.00,1.49,29.77
2025-07-13,22:20:02.531,0.61,98.87,0.00,0.61,98.87,0.00,1.86,0.01,0.03,1.93,97.16,0.00,3.73,74.52,1.66,0.01,0.03,0.49,98.42,0.00,3.32,66.44,1.96,0.01,0.03,0.92,98.97,0.00,3.93,78.59,1.08,0.00,0.03,0.15,99.85,0.00,2.16,43.22,0.66,0.01,0.14,0.39,98.70,0.00,1.31,26.21,0.77,0.00,0.01,0.09,98.82,0.00,1.54,30.87,0.72,0.01,0.15,0.44,99.45,0.00,1.44,28.78,0.70,0.01,0.10,0.44,99.56,0.00,1.41,28.10
2025-07-13,22:20:07.532,0.58,98.91,0.00,0.58,98.91,0.00,1.84,0.01,0.03,2.00,97.40,0.00,3.68,73.57,2.02,0.01,0.03,1.10,97.47,0.00,4.04,80.76,0.86,0.01,0.03,0.16,99.84,0.00,1.72,34.33,0.64,0.00,0.02,0.10,99.90,0.00,1.27,25.40,0.62,0.01,0.13,0.38,99.02,0.00,1.23,24.65,0.71,0.00,0.02,0.08,98.49,0.00,1.41,28.28,0.84,0.01,0.09,0.41,99.59,0.00,1.68,33.60,0.70,0.01,0.10,0.43,99.57,0.00,1.39,27.88
