System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-13,22:39:24.850,2.22,0.17,0.69,28.57,15.26,4.43,88.67,1.11,92.96,0.00,99.80,0.00
2025-07-13,22:39:29.851,2.56,0.15,0.73,28.72,15.38,5.12,102.39,1.17,98.28,0.00,100.00,0.00
2025-07-13,22:39:34.852,2.20,0.15,0.68,28.58,15.24,4.41,88.17,1.12,98.29,0.00,100.00,0.00
2025-07-13,22:39:39.850,2.12,0.17,0.71,28.79,15.18,4.24,84.90,1.11,98.27,0.00,100.00,0.00
2025-07-13,22:39:44.851,2.32,0.19,0.80,28.94,15.39,4.64,92.89,1.18,98.28,0.00,100.00,0.00
2025-07-13,22:39:49.851,2.30,0.15,0.66,28.54,15.24,4.61,92.10,1.13,98.19,0.00,100.00,0.00
2025-07-13,22:39:54.852,2.26,0.15,0.65,28.66,15.23,4.51,90.30,1.15,98.21,0.00,100.00,0.00
2025-07-13,22:39:59.851,2.43,0.15,0.73,28.48,15.24,4.86,97.28,1.14,98.33,0.00,100.00,0.00
2025-07-13,22:40:04.852,2.14,0.16,0.68,28.73,15.21,4.28,85.61,1.04,98.31,0.00,100.00,0.00
2025-07-13,22:40:09.851,2.12,0.16,0.69,28.65,15.20,4.24,84.90,1.07,98.10,0.00,100.00,0.00
2025-07-13,22:40:14.852,2.25,0.15,0.65,28.57,15.22,4.49,89.87,1.11,97.87,0.00,100.00,0.00
2025-07-13,22:40:19.851,2.13,0.16,0.69,28.54,15.20,4.27,85.37,1.14,98.35,0.00,100.00,0.00
2025-07-13,22:40:24.851,2.08,0.18,0.77,28.47,15.21,4.17,83.39,1.06,98.56,0.00,100.00,0.00
2025-07-13,22:40:29.852,2.26,0.15,0.69,28.39,15.12,4.53,90.53,1.06,98.27,0.00,100.00,0.00
2025-07-13,22:40:34.852,2.38,0.16,0.70,28.62,15.22,4.75,95.05,1.09,98.31,0.00,100.00,0.00
2025-07-13,22:40:39.853,2.14,0.16,0.72,28.49,15.20,4.27,85.46,1.14,98.38,0.00,100.00,0.00
2025-07-13,22:40:44.852,2.17,0.17,0.69,28.71,15.29,4.34,86.78,1.13,98.00,0.00,100.00,0.00
2025-07-13,22:40:49.852,2.17,0.16,0.68,28.45,15.17,4.34,86.82,1.10,98.36,0.00,100.00,0.00
2025-07-13,22:40:54.853,2.12,0.18,0.78,28.67,15.27,4.23,84.69,1.10,98.23,0.00,100.00,0.00
2025-07-13,22:40:59.853,2.13,0.16,0.73,28.53,15.19,4.26,85.14,1.14,98.09,0.00,100.00,0.00
2025-07-13,22:41:04.854,2.08,0.17,0.74,28.69,15.23,4.16,83.15,1.06,98.26,0.00,100.00,0.00
2025-07-13,22:41:09.853,2.08,0.18,0.76,28.69,15.27,4.16,83.28,1.20,98.18,0.00,100.00,0.00
2025-07-13,22:41:14.853,2.12,0.16,0.70,28.53,15.18,4.24,84.86,1.18,98.13,0.00,100.00,0.00
2025-07-13,22:41:19.854,2.14,0.16,0.71,28.13,14.99,4.28,85.60,1.17,98.40,0.00,100.00,0.00
2025-07-13,22:41:24.853,2.05,0.19,0.82,28.62,15.20,4.11,82.15,1.10,98.42,0.00,100.00,0.00
2025-07-13,22:41:29.853,2.11,0.16,0.72,28.47,15.14,4.22,84.33,1.06,98.13,0.00,100.00,0.00
2025-07-13,22:41:34.854,2.27,0.17,0.75,28.69,15.25,4.54,90.73,1.12,98.16,0.00,100.00,0.00
2025-07-13,22:41:39.854,2.07,0.18,0.75,27.80,14.72,4.14,82.79,1.16,98.19,0.00,100.00,0.00
2025-07-13,22:41:44.855,2.11,0.16,0.72,28.09,14.90,4.22,84.47,1.18,98.04,0.00,100.00,0.00
2025-07-13,22:41:49.854,2.09,0.17,0.74,28.11,15.02,4.17,83.46,1.05,98.67,0.00,100.00,0.00
2025-07-13,22:41:54.854,2.17,0.18,0.80,28.37,15.12,4.35,86.94,1.11,98.36,0.00,100.00,0.00
2025-07-13,22:41:59.855,2.10,0.16,0.72,28.07,14.98,4.19,83.86,1.13,98.29,0.00,100.00,0.00
2025-07-13,22:42:04.855,2.08,0.18,0.79,28.73,15.27,4.15,83.06,1.19,98.30,0.00,100.00,0.00
2025-07-13,22:42:09.856,2.14,0.16,0.73,28.45,15.12,4.28,85.58,1.17,98.02,0.00,100.00,0.00
2025-07-13,22:42:14.855,2.13,0.16,0.71,28.57,15.19,4.25,85.06,1.16,98.07,0.00,100.00,0.00
2025-07-13,22:42:19.856,2.08,0.16,0.73,28.07,14.98,4.16,83.24,1.07,98.36,0.00,100.00,0.00
2025-07-13,22:42:24.855,2.36,0.12,0.49,27.44,14.73,4.72,94.46,1.10,79.28,0.00,99.26,0.02
