System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-06-25,21:07:50.818,8.43,85.49,0.00,8.43,85.49,0.00,0.36,0.04,0.20,0.88,99.12,0.00,0.72,14.42,0.29,0.08,0.38,1.65,98.35,0.00,0.58,11.61,0.37,0.05,0.26,1.59,74.10,0.00,0.73,14.67,1.06,0.17,0.42,12.29,87.71,0.00,2.13,42.56,1.07,0.36,1.03,24.60,75.40,0.00,2.14,42.86,1.06,0.37,1.12,24.70,75.30,0.00,2.12,42.44,0.52,0.02,0.09,0.60,75.09,0.00,1.05,20.95,0.45,0.05,0.33,1.17,98.83,0.00,0.90,17.96
2025-06-25,21:07:55.819,8.46,88.56,0.00,8.46,88.56,0.00,0.34,0.04,0.19,0.87,99.13,0.00,0.67,13.46,0.31,0.09,0.45,1.90,98.10,0.00,0.61,12.22,0.46,0.05,0.20,1.58,86.48,0.00,0.91,18.21,1.07,0.18,0.59,12.30,87.70,0.00,2.15,42.98,1.07,0.37,1.13,24.60,75.40,0.00,2.13,42.67,1.06,0.37,1.17,24.68,75.32,0.00,2.13,42.55,0.72,0.04,0.17,1.07,86.99,0.00,1.44,28.80,0.42,0.02,0.18,0.64,99.36,0.00,0.84,16.85
2025-06-25,21:08:00.819,8.47,85.31,0.00,8.47,85.31,0.00,0.40,0.04,0.20,0.84,99.16,0.00,0.80,15.90,0.25,0.07,0.37,1.54,98.46,0.00,0.50,9.94,0.48,0.05,0.26,1.65,73.49,0.00,0.96,19.16,1.06,0.18,0.51,12.31,87.69,0.00,2.13,42.50,1.06,0.39,1.27,24.60,75.40,0.00,2.11,42.27,1.08,0.37,1.15,24.67,75.33,0.00,2.15,43.06,0.60,0.02,0.10,0.63,74.51,0.00,1.20,24.05,0.48,0.06,0.42,1.54,98.46,0.00,0.96,19.26
2025-06-25,21:08:05.819,8.48,85.66,0.00,8.48,85.66,0.00,0.30,0.04,0.21,0.86,99.14,0.00,0.60,12.00,0.34,0.07,0.37,1.63,98.37,0.00,0.68,13.68,0.41,0.05,0.25,1.60,74.97,0.00,0.81,16.23,1.08,0.17,0.47,12.31,87.69,0.00,2.17,43.30,1.07,0.39,1.37,24.60,75.40,0.00,2.14,42.72,1.07,0.38,1.22,24.66,75.34,0.00,2.13,42.63,0.61,0.03,0.12,0.75,75.82,0.00,1.21,24.20,0.47,0.05,0.40,1.41,98.59,0.00,0.94,18.87
2025-06-25,21:08:10.819,8.51,84.59,0.00,8.51,84.59,0.00,0.29,0.04,0.21,0.84,99.16,0.00,0.58,11.60,0.31,0.08,0.39,1.70,98.30,0.00,0.61,12.28,0.47,0.06,0.28,1.72,70.66,0.00,0.95,19.00,1.05,0.18,0.46,12.30,87.70,0.00,2.11,42.19,1.06,0.39,1.33,24.60,75.40,0.00,2.12,42.44,1.07,0.37,1.21,24.65,75.35,0.00,2.13,42.66,0.48,0.02,0.07,0.46,71.92,0.00,0.95,19.10,0.47,0.08,0.50,1.79,98.21,0.00,0.94,18.73
2025-06-25,21:08:15.820,8.49,86.90,0.00,8.49,86.90,0.00,0.27,0.04,0.20,0.86,99.14,0.00,0.55,10.95,0.33,0.07,0.37,1.67,98.33,0.00,0.67,13.38,0.41,0.07,0.25,1.77,79.78,0.00,0.81,16.23,1.06,0.18,0.54,12.30,87.70,0.00,2.13,42.60,1.06,0.39,1.20,24.62,75.38,0.00,2.13,42.53,1.07,0.36,1.20,24.68,75.32,0.00,2.13,42.70,0.65,0.03,0.14,0.86,80.69,0.00,1.30,26.04,0.46,0.04,0.32,1.13,98.87,0.00,0.93,18.52
2025-06-25,21:08:20.820,8.49,85.45,0.00,8.49,85.45,0.00,0.35,0.04,0.21,0.88,99.12,0.00,0.71,14.10,0.30,0.08,0.38,1.66,98.34,0.00,0.60,12.00,0.41,0.06,0.29,1.77,73.99,0.00,0.81,16.30,1.06,0.17,0.48,12.30,87.70,0.00,2.13,42.54,1.06,0.39,1.26,24.58,75.42,0.00,2.13,42.54,1.07,0.36,1.25,24.69,75.31,0.00,2.13,42.61,0.57,0.02,0.08,0.53,75.23,0.00,1.14,22.75,0.48,0.06,0.43,1.53,98.47,0.00,0.95,19.06
2025-06-25,21:08:25.820,8.43,89.65,0.00,8.43,89.65,0.00,0.29,0.04,0.19,0.75,99.25,0.00,0.57,11.47,0.36,0.07,0.36,1.68,98.32,0.00,0.71,14.22,0.39,0.06,0.20,1.61,90.70,0.00,0.79,15.73,1.09,0.17,0.52,12.29,87.71,0.00,2.17,43.45,1.07,0.37,1.21,24.61,75.39,0.00,2.14,42.81,1.05,0.39,1.36,24.70,75.30,0.00,2.10,42.02,0.74,0.04,0.19,1.21,91.11,0.00,1.48,29.52,0.39,0.02,0.17,0.58,99.42,0.00,0.78,15.60
2025-06-25,21:08:30.821,8.44,90.87,0.00,8.44,90.87,0.00,0.27,0.05,0.21,0.96,99.04,0.00,0.55,10.95,0.34,0.07,0.38,1.66,98.34,0.00,0.68,13.56,0.40,0.06,0.17,1.55,95.67,0.00,0.80,16.02,1.08,0.17,0.61,12.31,87.69,0.00,2.16,43.14,1.08,0.35,1.09,24.61,75.39,0.00,2.16,43.15,1.06,0.38,1.26,24.68,75.32,0.00,2.11,42.26,0.78,0.05,0.23,1.45,95.77,0.00,1.55,31.04,0.30,0.01,0.10,0.27,99.73,0.00,0.59,11.85
2025-06-25,21:08:35.820,8.41,91.19,0.00,8.41,91.19,0.00,0.29,0.04,0.19,0.82,99.18,0.00,0.57,11.44,0.24,0.07,0.36,1.44,98.56,0.00,0.49,9.80,0.56,0.06,0.17,1.73,96.65,0.00,1.13,22.53,1.10,0.18,0.58,12.30,87.70,0.00,2.21,44.12,1.09,0.37,1.16,24.59,75.41,0.00,2.18,43.61,1.06,0.38,1.33,24.68,75.32,0.00,2.13,42.59,0.78,0.05,0.23,1.46,96.92,0.00,1.56,31.14,0.22,0.01,0.08,0.23,99.77,0.00,0.44,8.87
