System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-06-25,21:14:28.080,2.17,0.72,2.67,27.81,42.62,4.35,86.97,7.43,80.76,0.00,100.00,0.00
2025-06-25,21:14:33.080,2.01,0.88,3.21,27.60,41.53,4.02,80.45,7.41,81.50,0.00,100.00,0.00
2025-06-25,21:14:38.081,2.07,0.81,2.99,26.98,40.85,4.13,82.63,7.36,83.02,0.00,100.00,0.00
2025-06-25,21:14:43.082,1.92,0.92,3.17,27.10,40.71,3.84,76.77,7.12,82.32,0.00,100.00,0.00
2025-06-25,21:14:48.081,1.92,0.93,3.21,27.07,40.64,3.84,76.81,7.27,81.51,0.00,100.00,0.00
2025-06-25,21:14:53.081,1.96,0.94,3.19,27.51,41.22,3.93,78.53,7.35,81.64,0.00,100.00,0.00
2025-06-25,21:14:58.081,2.03,0.90,3.29,27.08,40.58,4.05,81.03,7.44,81.64,0.00,100.00,0.00
2025-06-25,21:15:03.081,1.98,0.85,3.05,26.99,40.70,3.97,79.39,7.23,83.09,0.00,100.00,0.00
2025-06-25,21:15:08.081,2.02,0.82,2.95,26.78,40.40,4.03,80.67,7.15,83.84,0.00,100.00,0.00
2025-06-25,21:15:13.081,1.90,0.95,3.12,27.26,40.90,3.79,75.88,7.15,83.20,0.00,100.00,0.00
2025-06-25,21:15:18.081,1.96,1.00,3.42,27.19,40.12,3.93,78.54,7.55,81.53,0.00,100.00,0.00
2025-06-25,21:15:23.081,1.94,0.91,3.24,26.83,40.26,3.89,77.70,7.25,81.25,0.00,100.00,0.00
2025-06-25,21:15:28.081,2.00,0.79,2.34,25.18,37.09,4.01,80.12,6.29,79.60,0.00,99.48,0.03
