Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario0_100rps,1,Baseline0,0,100,100.00554601200987,0.306,0.315,0.0,0.492,0.547,0.602,1.431,0
1replicas_scenario0_500rps,1,Baseline0,0,500,500.00569729547317,0.088,0.085,0.0,0.102,0.111,0.159,1.748,0
1replicas_scenario0_1000rps,1,Baseline0,0,1000,1000.0024847228404,0.087,0.084,0.0,0.1,0.107,0.141,3.408,0
1replicas_scenario0_2000rps,1,Baseline0,0,2000,2000.0026682776383,0.087,0.084,0.0,0.108,0.117,0.149,3.755,0
1replicas_scenario0_3000rps,1,Baseline0,0,3000,3000.006337680055,0.093,0.087,0.0,0.119,0.134,0.175,3.346,0
1replicas_scenario0_4000rps,1,Baseline0,0,4000,3999.983766820787,0.101,0.092,0.0,0.14,0.16,0.217,3.617,0
1replicas_scenario0_5000rps,1,Baseline0,0,5000,4999.975158318218,0.101,0.088,0.0,0.144,0.172,0.29,3.48,0
1replicas_scenario0_6000rps,1,Baseline0,0,6000,6000.025620006397,0.108,0.091,0.0,0.162,0.195,0.391,3.965,0
1replicas_scenario0_7000rps,1,Baseline0,0,7000,7000.011516164645,0.116,0.099,0.0,0.166,0.199,0.523,4.844,0
1replicas_scenario0_8000rps,1,Baseline0,0,8000,7999.954367917487,0.128,0.108,0.0,0.178,0.221,0.61,24.819,0
1replicas_scenario0_9000rps,1,Baseline0,0,9000,8999.960917290036,0.134,0.116,0.0,0.191,0.233,0.632,6.619,0
1replicas_scenario0_10000rps,1,Baseline0,0,10000,9999.942179998348,0.151,0.128,0.0,0.216,0.259,0.889,4.41,0
1replicas_scenario0_12000rps,1,Baseline0,0,12000,11999.975903082126,0.153,0.126,0.0,0.236,0.289,0.833,5.008,0
1replicas_scenario0_15000rps,1,Baseline0,0,15000,4154.125993796037,7317.404,0.243,0.0,32156.424,55288.164,66222.528,102790.568,346
2replicas_scenario0_100rps,2,Baseline0,0,100,100.00542585216053,0.302,0.312,0.0,0.494,0.546,0.599,1.329,0
2replicas_scenario0_500rps,2,Baseline0,0,500,500.00522967414287,0.088,0.085,0.0,0.102,0.112,0.16,2.444,0
2replicas_scenario0_1000rps,2,Baseline0,0,1000,1000.0034868399358,0.087,0.084,0.0,0.1,0.108,0.141,3.586,0
2replicas_scenario0_2000rps,2,Baseline0,0,2000,2000.0118191920685,0.091,0.085,0.0,0.111,0.135,0.214,3.44,0
2replicas_scenario0_3000rps,2,Baseline0,0,3000,3000.0058181050545,0.091,0.086,0.0,0.115,0.128,0.171,3.275,0
2replicas_scenario0_4000rps,2,Baseline0,0,4000,3999.9995340203345,0.097,0.089,0.0,0.131,0.147,0.212,3.11,0
2replicas_scenario0_5000rps,2,Baseline0,0,5000,4999.978331160568,0.097,0.086,0.0,0.133,0.156,0.278,2.689,0
2replicas_scenario0_6000rps,2,Baseline0,0,6000,5999.994745346286,0.107,0.091,0.0,0.154,0.184,0.429,5.419,0
2replicas_scenario0_7000rps,2,Baseline0,0,7000,6999.970572065893,0.114,0.098,0.0,0.157,0.184,0.529,3.075,0
2replicas_scenario0_8000rps,2,Baseline0,0,8000,7999.956165213097,0.119,0.106,0.0,0.165,0.195,0.506,3.917,0
2replicas_scenario0_9000rps,2,Baseline0,0,9000,8999.954723660765,0.138,0.12,0.0,0.192,0.225,0.716,4.121,0
2replicas_scenario0_10000rps,2,Baseline0,0,10000,9999.943047737901,0.141,0.123,0.0,0.202,0.242,0.678,4.092,0
2replicas_scenario0_12000rps,2,Baseline0,0,12000,11999.96832302406,0.169,0.125,0.0,0.269,0.335,1.108,4.767,0
2replicas_scenario0_15000rps,2,Baseline0,0,15000,15000.147431058085,0.146,0.085,0.0,0.274,0.35,0.968,28.632,0
3replicas_scenario0_100rps,3,Baseline0,0,100,100.00528345802343,0.301,0.311,0.0,0.484,0.538,0.595,1.469,0
3replicas_scenario0_500rps,3,Baseline0,0,500,500.0054056834422,0.088,0.085,0.0,0.102,0.111,0.161,2.761,0
3replicas_scenario0_1000rps,3,Baseline0,0,1000,1000.0045030536107,0.087,0.084,0.0,0.101,0.108,0.141,2.831,0
3replicas_scenario0_2000rps,3,Baseline0,0,2000,2000.0019603796993,0.086,0.083,0.0,0.104,0.112,0.144,2.795,0
3replicas_scenario0_3000rps,3,Baseline0,0,3000,3000.0036838737233,0.091,0.085,0.0,0.114,0.128,0.18,3.376,0
3replicas_scenario0_4000rps,3,Baseline0,0,4000,3999.9839513975876,0.097,0.088,0.0,0.129,0.147,0.218,3.761,0
3replicas_scenario0_5000rps,3,Baseline0,0,5000,4999.974980486307,0.098,0.086,0.0,0.134,0.156,0.28,4.712,0
3replicas_scenario0_6000rps,3,Baseline0,0,6000,5999.9956347082325,0.102,0.089,0.0,0.145,0.17,0.347,4.144,0
3replicas_scenario0_7000rps,3,Baseline0,0,7000,6999.973241061433,0.113,0.098,0.0,0.16,0.188,0.454,3.087,0
3replicas_scenario0_8000rps,3,Baseline0,0,8000,7999.956799698839,0.128,0.112,0.0,0.175,0.206,0.658,3.243,0
3replicas_scenario0_9000rps,3,Baseline0,0,9000,8999.95613403537,0.142,0.123,0.0,0.197,0.232,0.788,7.625,0
3replicas_scenario0_10000rps,3,Baseline0,0,10000,9999.938873182256,0.153,0.128,0.0,0.221,0.269,0.831,4.463,0
3replicas_scenario0_12000rps,3,Baseline0,0,12000,11999.974688618235,0.158,0.125,0.0,0.251,0.309,0.901,5.38,0
3replicas_scenario0_15000rps,3,Baseline0,0,15000,15000.14870815386,0.156,0.086,0.0,0.299,0.416,1.29,14.754,0
4replicas_scenario0_100rps,4,Baseline0,0,100,100.00554098089657,0.308,0.317,0.0,0.505,0.55,0.602,1.978,0
4replicas_scenario0_500rps,4,Baseline0,0,500,500.00308070787025,0.088,0.085,0.0,0.102,0.111,0.159,2.518,0
