System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-06-30,21:54:07.907,0.47,91.98,0.00,0.47,91.98,0.00,0.68,0.02,0.05,0.25,93.36,0.00,1.37,27.33,0.92,0.01,0.04,0.26,92.69,0.00,1.84,36.70,0.76,0.02,0.09,0.44,92.99,0.00,1.52,30.36,0.72,0.01,0.11,0.50,89.30,0.00,1.43,28.65,0.85,0.01,0.10,0.57,93.04,0.00,1.69,33.89,0.55,0.00,0.07,0.54,92.40,0.00,1.09,21.84,0.84,0.01,0.13,0.58,92.85,0.00,1.68,33.59,0.74,0.01,0.14,0.60,89.19,0.00,1.47,29.50
2025-06-30,21:54:12.908,0.44,98.94,0.00,0.44,98.94,0.00,1.21,0.01,0.03,0.19,98.41,0.00,2.42,48.34,0.84,0.01,0.03,0.19,98.80,0.00,1.67,33.41,0.72,0.01,0.07,0.33,99.64,0.00,1.45,28.98,0.75,0.01,0.10,0.54,99.42,0.00,1.50,30.07,0.84,0.00,0.10,0.51,98.09,0.00,1.69,33.79,0.86,0.01,0.09,0.51,98.48,0.00,1.72,34.41,0.89,0.01,0.14,0.62,99.34,0.00,1.78,35.52,0.75,0.00,0.15,0.65,99.31,0.00,1.50,29.97
2025-06-30,21:54:17.907,0.46,98.97,0.00,0.46,98.97,0.00,1.05,0.01,0.03,0.20,98.50,0.00,2.11,42.18,0.99,0.01,0.03,0.18,98.94,0.00,1.97,39.43,0.89,0.02,0.08,0.38,99.58,0.00,1.77,35.50,0.74,0.01,0.15,0.62,99.32,0.00,1.47,29.42,0.89,0.01,0.11,0.57,98.13,0.00,1.78,35.56,0.85,0.00,0.06,0.43,98.69,0.00,1.71,34.13,0.89,0.00,0.13,0.62,99.34,0.00,1.79,35.75,0.71,0.01,0.17,0.66,99.28,0.00,1.43,28.51
2025-06-30,21:54:22.907,0.48,99.03,0.00,0.48,99.03,0.00,0.81,0.01,0.05,0.24,98.34,0.00,1.62,32.34,0.82,0.01,0.05,0.22,99.28,0.00,1.65,32.95,0.76,0.03,0.10,0.45,99.51,0.00,1.52,30.38,0.78,0.01,0.15,0.65,99.35,0.00,1.55,31.06,0.88,0.01,0.09,0.46,98.12,0.00,1.76,35.19,0.96,0.01,0.11,0.55,98.95,0.00,1.91,38.26,0.89,0.01,0.14,0.62,99.34,0.00,1.79,35.77,0.74,0.01,0.16,0.67,99.33,0.00,1.48,29.57
2025-06-30,21:54:27.908,0.50,98.75,0.00,0.50,98.75,0.00,0.79,0.01,0.04,0.23,98.64,0.00,1.59,31.71,0.92,0.01,0.04,0.21,97.93,0.00,1.84,36.80,1.01,0.03,0.11,0.49,99.50,0.00,2.03,40.59,0.76,0.01,0.10,0.55,99.45,0.00,1.51,30.24,0.83,0.01,0.10,0.54,98.33,0.00,1.66,33.28,0.65,0.01,0.12,0.68,97.47,0.00,1.30,26.02,0.85,0.01,0.14,0.63,99.35,0.00,1.71,34.12,0.75,0.01,0.15,0.67,99.33,0.00,1.50,29.99
2025-06-30,21:54:32.908,0.47,99.31,0.00,0.47,99.31,0.00,0.81,0.01,0.04,0.19,99.51,0.00,1.63,32.53,1.03,0.01,0.05,0.22,99.40,0.00,2.06,41.16,0.86,0.01,0.09,0.41,99.54,0.00,1.72,34.33,0.70,0.01,0.10,0.50,99.35,0.00,1.40,27.92,0.90,0.01,0.11,0.59,99.11,0.00,1.80,36.05,0.91,0.01,0.10,0.56,99.06,0.00,1.82,36.33,0.88,0.01,0.14,0.65,99.30,0.00,1.76,35.19,0.78,0.00,0.15,0.66,99.18,0.00,1.55,31.04
2025-06-30,21:54:37.908,0.46,99.21,0.00,0.46,99.21,0.00,0.81,0.01,0.05,0.19,99.39,0.00,1.61,32.26,0.77,0.01,0.04,0.19,98.90,0.00,1.55,30.93,1.08,0.02,0.08,0.40,99.59,0.00,2.16,43.11,0.79,0.01,0.09,0.51,99.49,0.00,1.58,31.50,0.84,0.01,0.12,0.61,98.98,0.00,1.69,33.77,0.84,0.00,0.07,0.46,98.64,0.00,1.69,33.78,0.86,0.01,0.14,0.63,99.36,0.00,1.72,34.43,0.77,0.00,0.15,0.69,99.31,0.00,1.54,30.78
2025-06-30,21:54:42.909,0.45,98.91,0.00,0.45,98.91,0.00,1.14,0.01,0.03,0.21,98.90,0.00,2.27,45.44,0.86,0.01,0.03,0.18,98.15,0.00,1.71,34.23,0.86,0.02,0.07,0.37,99.63,0.00,1.72,34.38,0.77,0.00,0.16,0.72,99.28,0.00,1.55,30.98,0.86,0.00,0.06,0.40,98.70,0.00,1.71,34.30,0.80,0.01,0.07,0.41,97.91,0.00,1.59,31.83,0.95,0.00,0.13,0.63,99.37,0.00,1.89,37.83,0.70,0.01,0.18,0.69,99.31,0.00,1.40,27.98
2025-06-30,21:54:47.909,0.46,98.83,0.00,0.46,98.83,0.00,0.79,0.01,0.04,0.18,99.23,0.00,1.59,31.73,0.99,0.01,0.04,0.22,97.55,0.00,1.98,39.66,1.05,0.02,0.09,0.44,99.56,0.00,2.10,41.95,0.76,0.01,0.10,0.56,99.42,0.00,1.53,30.56,0.94,0.01,0.10,0.58,98.83,0.00,1.88,37.60,0.76,0.00,0.09,0.46,97.31,0.00,1.53,30.59,0.88,0.01,0.14,0.62,99.38,0.00,1.75,35.00,0.73,0.01,0.16,0.65,99.33,0.00,1.46,29.14
2025-06-30,21:54:52.910,0.45,98.84,0.00,0.45,98.84,0.00,0.74,0.01,0.04,0.17,97.35,0.00,1.48,29.67,0.81,0.01,0.04,0.16,99.51,0.00,1.62,32.39,1.02,0.02,0.08,0.40,99.55,0.00,2.04,40.80,0.75,0.00,0.07,0.46,99.53,0.00,1.50,29.97,0.84,0.00,0.07,0.42,97.10,0.00,1.69,33.72,0.76,0.00,0.12,0.70,98.98,0.00,1.51,30.22,0.87,0.00,0.14,0.62,99.34,0.00,1.73,34.67,0.76,0.00,0.15,0.65,99.34,0.00,1.53,30.57
2025-06-30,21:54:57.910,0.47,98.78,0.00,0.47,98.78,0.00,0.85,0.01,0.04,0.21,97.87,0.00,1.70,34.05,1.09,0.01,0.03,0.20,98.82,0.00,2.18,43.54,0.98,0.02,0.08,0.40,99.56,0.00,1.97,39.35,0.75,0.01,0.11,0.56,99.41,0.00,1.50,30.00,0.84,0.01,0.13,0.59,97.49,0.00,1.67,33.46,0.91,0.01,0.09,0.53,98.49,0.00,1.82,36.42,0.90,0.01,0.14,0.63,99.33,0.00,1.79,35.90,0.76,0.01,0.16,0.69,99.27,0.00,1.53,30.51
2025-06-30,21:55:02.910,0.47,98.85,0.00,0.47,98.85,0.00,1.45,0.01,0.04,0.25,99.08,0.00,2.90,57.91,1.03,0.01,0.04,0.22,97.79,0.00,2.05,41.09,0.87,0.02,0.08,0.40,99.56,0.00,1.73,34.60,0.75,0.01,0.14,0.65,99.35,0.00,1.51,30.20,0.82,0.01,0.09,0.51,98.82,0.00,1.63,32.64,0.89,0.00,0.08,0.47,97.53,0.00,1.79,35.73,0.91,0.00,0.13,0.61,99.35,0.00,1.83,36.58,0.74,0.00,0.16,0.66,99.34,0.00,1.47,29.46
2025-06-30,21:55:07.911,0.49,98.60,0.00,0.49,98.60,0.00,1.10,0.01,0.06,0.25,97.90,0.00,2.21,44.14,0.84,0.01,0.06,0.25,98.01,0.00,1.69,33.72,0.89,0.02,0.09,0.42,99.56,0.00,1.78,35.53,0.74,0.01,0.14,0.62,99.32,0.00,1.48,29.64,0.81,0.01,0.10,0.52,97.63,0.00,1.62,32.35,0.80,0.01,0.10,0.51,97.75,0.00,1.59,31.81,0.91,0.01,0.14,0.63,99.35,0.00,1.81,36.21,0.73,0.01,0.17,0.68,99.25,0.00,1.46,29.24
2025-06-30,21:55:12.910,0.48,98.99,0.00,0.48,98.99,0.00,0.92,0.01,0.04,0.20,98.92,0.00,1.83,36.65,0.91,0.01,0.04,0.21,98.58,0.00,1.83,36.56,0.87,0.02,0.10,0.44,99.55,0.00,1.73,34.60,0.74,0.01,0.15,0.63,99.35,0.00,1.48,29.64,0.93,0.01,0.09,0.49,98.63,0.00,1.86,37.10,0.70,0.01,0.09,0.58,98.20,0.00,1.39,27.81,0.88,0.01,0.14,0.63,99.36,0.00,1.77,35.39,0.75,0.00,0.16,0.66,99.32,0.00,1.49,29.89
2025-06-30,21:55:17.910,0.49,98.88,0.00,0.49,98.88,0.00,0.97,0.01,0.04,0.20,99.51,0.00,1.94,38.79,1.22,0.01,0.04,0.24,97.52,0.00,2.45,48.96,1.10,0.02,0.08,0.40,99.60,0.00,2.19,43.87,0.81,0.01,0.15,0.67,99.33,0.00,1.62,32.44,0.89,0.01,0.11,0.56,99.15,0.00,1.77,35.44,0.89,0.01,0.10,0.52,97.24,0.00,1.79,35.76,0.89,0.01,0.14,0.64,99.36,0.00,1.78,35.52,0.73,0.01,0.17,0.67,99.33,0.00,1.45,29.05
2025-06-30,21:55:22.911,0.44,98.91,0.00,0.44,98.91,0.00,0.70,0.01,0.04,0.18,98.54,0.00,1.40,28.10,0.84,0.01,0.04,0.18,98.64,0.00,1.68,33.64,0.98,0.02,0.08,0.39,99.48,0.00,1.96,39.19,0.75,0.00,0.07,0.45,99.55,0.00,1.50,30.04,0.86,0.00,0.08,0.47,98.25,0.00,1.71,34.30,0.85,0.00,0.11,0.58,98.23,0.00,1.69,33.82,0.87,0.00,0.14,0.62,99.24,0.00,1.74,34.78,0.77,0.01,0.15,0.65,99.35,0.00,1.53,30.68
2025-06-30,21:55:27.910,0.49,98.67,0.00,0.49,98.67,0.00,0.75,0.01,0.04,0.21,98.17,0.00,1.51,30.11,1.12,0.01,0.05,0.23,98.06,0.00,2.23,44.64,1.16,0.03,0.11,0.49,99.51,0.00,2.31,46.23,0.77,0.01,0.17,0.72,99.28,0.00,1.55,30.97,0.95,0.01,0.08,0.47,97.91,0.00,1.90,38.02,0.80,0.01,0.10,0.51,97.77,0.00,1.60,31.93,0.92,0.01,0.14,0.63,99.37,0.00,1.83,36.63,0.71,0.00,0.17,0.67,99.33,0.00,1.43,28.58
2025-06-30,21:55:32.910,0.49,99.06,0.00,0.49,99.06,0.00,0.85,0.01,0.05,0.22,98.76,0.00,1.70,33.98,0.86,0.01,0.03,0.19,99.02,0.00,1.73,34.59,1.11,0.02,0.09,0.47,99.53,0.00,2.23,44.54,0.84,0.01,0.14,0.65,99.35,0.00,1.68,33.53,0.90,0.01,0.11,0.56,98.42,0.00,1.80,35.92,0.87,0.01,0.08,0.46,98.74,0.00,1.75,34.97,0.87,0.01,0.15,0.66,99.34,0.00,1.75,34.99,0.75,0.01,0.16,0.68,99.32,0.00,1.49,29.81
