System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-06-30,22:01:52.418,0.84,0.10,1.75,1.00,0.19,1.69,33.75,0.81,92.01,0.00,98.82,0.06
2025-06-30,22:01:57.419,0.84,0.12,2.18,1.05,0.21,1.68,33.64,0.95,99.05,0.00,100.00,0.00
2025-06-30,22:02:02.418,0.82,0.12,2.14,0.98,0.20,1.63,32.69,0.94,99.06,0.00,100.00,0.00
2025-06-30,22:02:07.418,0.85,0.10,2.06,1.05,0.21,1.71,34.15,0.91,99.09,0.00,100.00,0.00
2025-06-30,22:02:12.419,0.87,0.10,2.05,0.98,0.20,1.73,34.65,0.92,99.08,0.00,100.00,0.00
2025-06-30,22:02:17.418,0.83,0.11,2.14,0.99,0.20,1.66,33.20,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:02:22.419,0.84,0.10,2.06,0.94,0.20,1.67,33.47,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:02:27.419,0.86,0.11,2.12,1.04,0.21,1.72,34.41,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:02:32.418,0.84,0.09,2.08,1.04,0.21,1.68,33.51,0.92,99.08,0.00,100.00,0.00
2025-06-30,22:02:37.419,0.85,0.10,2.10,0.95,0.20,1.69,33.88,0.92,99.08,0.00,100.00,0.00
2025-06-30,22:02:42.418,0.86,0.11,2.10,1.05,0.21,1.72,34.45,0.94,99.06,0.00,100.00,0.00
2025-06-30,22:02:47.419,0.83,0.09,2.06,0.97,0.20,1.67,33.38,0.94,99.06,0.00,100.00,0.00
2025-06-30,22:02:52.419,0.83,0.10,2.07,0.95,0.20,1.67,33.35,0.92,99.08,0.00,100.00,0.00
2025-06-30,22:02:57.420,0.85,0.09,2.09,0.98,0.20,1.70,34.03,0.91,99.09,0.00,100.00,0.00
2025-06-30,22:03:02.419,0.86,0.11,2.15,1.03,0.21,1.72,34.43,0.95,99.05,0.00,100.00,0.00
2025-06-30,22:03:07.420,0.88,0.11,2.18,1.03,0.21,1.77,35.33,0.97,99.03,0.00,100.00,0.00
2025-06-30,22:03:12.420,0.84,0.11,2.14,1.10,0.21,1.68,33.60,0.94,99.06,0.00,100.00,0.00
2025-06-30,22:03:17.420,0.86,0.12,2.14,1.03,0.21,1.73,34.60,0.95,99.05,0.00,100.00,0.00
2025-06-30,22:03:22.421,0.86,0.09,2.03,0.91,0.19,1.72,34.44,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:03:27.420,0.86,0.11,2.16,1.25,0.22,1.71,34.23,0.94,99.06,0.00,100.00,0.00
2025-06-30,22:03:32.420,0.86,0.10,2.04,1.01,0.20,1.72,34.32,0.94,99.05,0.00,100.00,0.00
2025-06-30,22:03:37.421,0.87,0.11,2.05,1.07,0.21,1.74,34.85,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:03:42.420,0.85,0.11,2.08,1.03,0.20,1.70,33.97,0.93,99.06,0.00,100.00,0.00
2025-06-30,22:03:47.420,0.90,0.12,2.16,1.02,0.21,1.80,36.03,0.97,99.03,0.00,100.00,0.00
2025-06-30,22:03:52.421,0.85,0.11,2.07,1.01,0.20,1.70,34.04,0.95,99.05,0.00,100.00,0.00
2025-06-30,22:03:57.421,0.85,0.09,2.06,0.95,0.20,1.71,34.14,0.94,99.06,0.00,100.00,0.00
2025-06-30,22:04:02.422,0.84,0.11,2.12,0.99,0.20,1.68,33.58,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:04:07.421,0.86,0.11,2.11,1.05,0.21,1.71,34.20,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:04:12.421,0.87,0.09,2.04,1.02,0.22,1.74,34.76,0.91,99.09,0.00,100.00,0.00
2025-06-30,22:04:17.422,0.84,0.12,2.11,1.03,0.23,1.68,33.64,0.95,99.05,0.00,100.00,0.00
2025-06-30,22:04:22.421,0.86,0.11,2.11,0.99,0.22,1.73,34.51,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:04:27.421,0.90,0.12,2.14,1.03,0.22,1.80,36.08,0.95,99.05,0.00,100.00,0.00
2025-06-30,22:04:32.422,0.85,0.12,2.07,1.07,0.23,1.70,33.91,0.92,99.08,0.00,100.00,0.00
2025-06-30,22:04:37.422,0.86,0.10,2.08,1.04,0.22,1.71,34.25,0.94,99.06,0.00,100.00,0.00
2025-06-30,22:04:42.423,0.86,0.09,2.10,1.00,0.22,1.72,34.40,0.93,99.07,0.00,100.00,0.00
2025-06-30,22:04:47.422,0.87,0.12,2.16,1.09,0.23,1.75,34.93,0.95,99.05,0.00,100.00,0.00
2025-06-30,22:04:52.423,1.94,0.19,1.19,2.05,0.69,3.88,77.67,1.08,74.00,0.00,95.96,0.13
