System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-05,02:32:28.630,8.37,85.35,0.00,8.37,85.35,0.00,1.60,0.22,0.55,17.50,77.67,0.00,3.21,64.19,1.62,0.22,0.58,16.81,78.34,0.00,3.24,64.88,1.66,0.23,0.55,21.38,73.68,0.00,3.32,66.44,0.59,0.04,0.28,1.68,87.83,0.00,1.18,23.58,0.56,0.04,0.49,1.83,93.34,0.00,1.11,22.30,0.52,0.05,0.84,2.60,92.55,0.00,1.04,20.84,0.53,0.05,0.90,2.62,92.43,0.00,1.05,21.05,0.68,0.03,0.47,2.52,86.99,0.00,1.36,27.16
2025-07-05,02:32:33.630,8.42,90.83,0.00,8.42,90.83,0.00,1.62,0.21,0.49,18.80,79.97,0.00,3.24,64.85,1.64,0.20,0.49,17.94,80.68,0.00,3.27,65.46,1.61,0.21,0.48,17.91,81.78,0.00,3.21,64.23,0.67,0.04,0.37,2.06,97.83,0.00,1.34,26.87,0.55,0.05,0.75,2.39,96.38,0.00,1.10,21.92,0.54,0.06,0.79,2.46,96.15,0.00,1.09,21.73,0.58,0.05,0.96,2.97,96.73,0.00,1.15,23.03,0.68,0.04,0.56,2.79,97.10,0.00,1.35,27.08
2025-07-05,02:32:38.630,8.34,90.94,0.00,8.34,90.94,0.00,1.64,0.20,0.48,18.32,79.70,0.00,3.28,65.59,1.65,0.19,0.46,18.89,80.42,0.00,3.30,65.94,1.61,0.21,0.46,16.67,83.18,0.00,3.22,64.34,0.68,0.04,0.40,2.20,97.73,0.00,1.37,27.37,0.49,0.04,0.64,2.34,95.67,0.00,0.98,19.56,0.56,0.04,0.76,2.41,96.90,0.00,1.12,22.38,0.58,0.05,0.92,2.97,96.88,0.00,1.16,23.25,0.67,0.04,0.59,2.89,97.04,0.00,1.34,26.71
2025-07-05,02:32:43.630,8.37,90.50,0.00,8.37,90.50,0.00,1.64,0.22,0.51,18.44,78.66,0.00,3.29,65.76,1.62,0.21,0.54,17.60,80.90,0.00,3.24,64.81,1.61,0.22,0.50,18.14,81.76,0.00,3.23,64.56,0.67,0.04,0.52,2.54,97.44,0.00,1.34,26.79,0.52,0.05,0.70,2.23,94.86,0.00,1.04,20.78,0.53,0.05,0.65,2.20,96.30,0.00,1.07,21.38,0.57,0.05,0.95,2.94,96.96,0.00,1.14,22.80,0.64,0.05,0.63,2.86,97.12,0.00,1.29,25.72
2025-07-05,02:32:48.630,8.38,90.90,0.00,8.38,90.90,0.00,1.62,0.20,0.45,17.62,81.85,0.00,3.24,64.77,1.67,0.20,0.51,19.29,78.76,0.00,3.34,66.72,1.60,0.21,0.47,17.34,82.41,0.00,3.20,64.07,0.70,0.03,0.41,2.17,97.66,0.00,1.40,27.90,0.57,0.05,0.71,2.34,97.13,0.00,1.15,22.90,0.58,0.05,0.76,2.33,95.72,0.00,1.15,23.10,0.59,0.04,0.95,3.02,96.73,0.00,1.18,23.56,0.69,0.04,0.58,2.91,96.92,0.00,1.38,27.59
2025-07-05,02:32:53.630,8.40,91.05,0.00,8.40,91.05,0.00,1.64,0.20,0.46,18.90,80.51,0.00,3.28,65.56,1.62,0.20,0.49,18.56,80.34,0.00,3.24,64.89,1.58,0.22,0.50,16.92,82.78,0.00,3.17,63.39,0.66,0.04,0.32,1.88,97.91,0.00,1.33,26.56,0.54,0.06,0.99,3.01,96.39,0.00,1.07,21.40,0.56,0.05,0.64,2.12,96.78,0.00,1.12,22.48,0.57,0.04,0.93,2.97,96.73,0.00,1.14,22.71,0.69,0.04,0.55,2.84,96.96,0.00,1.38,27.66
2025-07-05,02:32:58.631,8.37,90.70,0.00,8.37,90.70,0.00,1.65,0.19,0.46,19.48,79.86,0.00,3.31,66.18,1.63,0.19,0.50,18.32,78.99,0.00,3.27,65.34,1.55,0.23,0.54,16.62,83.10,0.00,3.10,62.09,0.67,0.03,0.50,2.39,97.53,0.00,1.34,26.78,0.58,0.05,0.70,2.24,97.09,0.00,1.16,23.25,0.54,0.04,0.59,1.88,95.43,0.00,1.09,21.75,0.57,0.05,0.94,3.09,96.63,0.00,1.14,22.89,0.68,0.03,0.62,2.92,97.01,0.00,1.35,27.02
2025-07-05,02:33:03.630,8.41,90.65,0.00,8.41,90.65,0.00,1.65,0.20,0.46,18.17,81.16,0.00,3.29,65.81,1.60,0.21,0.54,18.04,79.26,0.00,3.20,64.01,1.64,0.20,0.45,18.16,81.55,0.00,3.27,65.44,0.68,0.04,0.56,2.67,97.22,0.00,1.36,27.14,0.50,0.04,0.58,2.26,97.07,0.00,0.99,19.89,0.53,0.05,0.62,2.07,95.23,0.00,1.05,21.03,0.58,0.05,0.98,3.02,96.69,0.00,1.16,23.17,0.67,0.04,0.62,2.90,97.00,0.00,1.33,26.60
2025-07-05,02:33:08.630,8.36,90.80,0.00,8.36,90.80,0.00,1.65,0.21,0.50,18.59,79.98,0.00,3.30,66.02,1.63,0.19,0.48,17.49,81.05,0.00,3.25,65.09,1.60,0.20,0.48,18.08,81.61,0.00,3.21,64.18,0.64,0.04,0.39,2.17,97.68,0.00,1.28,25.67,0.54,0.05,0.94,2.75,95.82,0.00,1.09,21.73,0.58,0.04,0.56,1.96,96.58,0.00,1.16,23.11,0.57,0.05,0.96,3.03,96.67,0.00,1.15,22.91,0.69,0.03,0.57,2.80,97.05,0.00,1.37,27.42
2025-07-05,02:33:13.631,8.48,90.78,0.00,8.48,90.78,0.00,1.62,0.20,0.47,17.23,81.29,0.00,3.24,64.75,1.67,0.20,0.50,19.39,79.45,0.00,3.33,66.61,1.58,0.25,0.55,17.79,82.10,0.00,3.16,63.17,0.72,0.07,0.51,2.57,97.21,0.00,1.44,28.78,0.55,0.08,0.81,2.73,95.78,0.00,1.10,21.92,0.59,0.04,0.63,2.13,96.71,0.00,1.18,23.68,0.57,0.05,0.94,3.00,96.89,0.00,1.15,22.90,0.64,0.05,0.63,2.98,96.81,0.00,1.29,25.78
