System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-05,01:28:52.234,1.25,0.56,9.08,9.09,4.30,2.51,50.16,5.22,87.59,0.00,98.75,0.05
2025-07-05,01:28:57.236,1.22,0.56,10.48,9.63,4.59,2.44,48.87,5.75,94.25,0.00,100.00,0.00
2025-07-05,01:29:02.234,1.24,0.54,10.30,9.62,4.58,2.48,49.55,5.78,94.21,0.00,100.00,0.00
2025-07-05,01:29:07.234,1.23,0.51,10.02,9.46,4.55,2.46,49.22,5.72,94.28,0.00,100.00,0.00
2025-07-05,01:29:12.237,1.23,0.54,10.18,9.51,4.54,2.45,49.06,5.69,94.31,0.00,100.00,0.00
2025-07-05,01:29:17.238,1.23,0.51,10.46,9.51,4.55,2.47,49.36,5.74,94.26,0.00,100.00,0.00
2025-07-05,01:29:22.235,1.23,0.53,10.32,9.63,4.59,2.46,49.12,5.87,94.13,0.00,100.00,0.00
2025-07-05,01:29:27.238,1.23,0.51,10.61,9.59,4.58,2.47,49.31,5.90,94.10,0.00,100.00,0.00
2025-07-05,01:29:32.236,1.23,0.55,10.59,9.62,4.58,2.47,49.31,5.75,94.25,0.00,100.00,0.00
2025-07-05,01:29:37.238,1.23,0.49,10.31,9.44,4.56,2.45,49.06,5.83,94.17,0.00,100.00,0.00
2025-07-05,01:29:42.236,1.23,0.56,10.38,9.60,4.56,2.46,49.26,5.83,94.17,0.00,100.00,0.00
2025-07-05,01:29:47.235,1.24,0.49,10.16,9.49,4.57,2.49,49.71,5.73,94.27,0.00,100.00,0.00
2025-07-05,01:29:52.238,1.26,0.61,10.68,9.87,4.62,2.53,50.54,6.03,93.96,0.00,100.00,0.00
2025-07-05,01:29:57.242,1.24,0.51,10.25,9.59,4.59,2.47,49.44,5.74,94.26,0.00,100.00,0.00
2025-07-05,01:30:02.242,1.23,0.55,10.42,9.65,4.60,2.45,49.01,5.76,94.24,0.00,100.00,0.00
2025-07-05,01:30:07.246,1.23,0.48,10.20,9.45,4.55,2.46,49.13,5.75,94.25,0.00,100.00,0.00
2025-07-05,01:30:12.249,1.23,0.55,10.53,9.63,4.60,2.46,49.13,5.78,94.22,0.00,100.00,0.00
2025-07-05,01:30:17.249,1.21,0.58,10.74,8.20,3.79,2.41,48.23,7.49,92.51,0.00,100.00,0.00
2025-07-05,01:30:22.249,1.26,0.52,10.42,9.53,4.57,2.52,50.42,6.01,93.99,0.00,100.00,0.00
2025-07-05,01:30:27.249,1.23,0.56,10.24,9.69,4.58,2.46,49.24,5.80,94.20,0.00,100.00,0.00
2025-07-05,01:30:32.249,1.22,0.54,10.30,9.60,4.58,2.43,48.65,5.87,94.13,0.00,100.00,0.00
2025-07-05,01:30:37.249,1.23,0.53,10.35,9.58,4.58,2.47,49.34,5.77,94.23,0.00,100.00,0.00
2025-07-05,01:30:42.249,1.24,0.48,10.54,9.53,4.58,2.48,49.59,5.77,94.23,0.00,100.00,0.00
2025-07-05,01:30:47.249,1.23,0.55,10.55,9.62,4.58,2.45,49.05,5.92,94.08,0.00,100.00,0.00
2025-07-05,01:30:52.250,1.26,0.52,10.27,9.56,4.58,2.52,50.46,5.85,94.15,0.00,100.00,0.00
2025-07-05,01:30:57.250,1.24,0.54,10.08,9.65,4.58,2.49,49.79,5.64,94.36,0.00,100.00,0.00
2025-07-05,01:31:02.250,1.22,0.54,10.50,9.55,4.58,2.45,48.96,6.03,93.97,0.00,100.00,0.00
2025-07-05,01:31:07.250,1.24,0.50,10.36,9.52,4.57,2.48,49.51,5.77,94.23,0.00,100.00,0.00
2025-07-05,01:31:12.250,1.23,0.55,10.41,9.59,4.59,2.47,49.33,5.70,94.29,0.00,100.00,0.00
2025-07-05,01:31:17.251,1.23,0.48,10.28,9.50,4.58,2.46,49.15,5.76,94.24,0.00,100.00,0.00
2025-07-05,01:31:22.250,1.26,0.56,10.41,9.68,4.59,2.53,50.55,5.88,94.12,0.00,100.00,0.00
2025-07-05,01:31:27.250,1.23,0.58,10.54,9.72,4.60,2.45,49.04,5.88,94.12,0.00,100.00,0.00
2025-07-05,01:31:32.251,1.25,0.68,10.69,9.95,4.63,2.49,49.85,5.91,94.09,0.00,100.00,0.00
2025-07-05,01:31:37.251,1.24,0.66,10.43,9.91,4.65,2.49,49.70,6.03,93.97,0.00,100.00,0.00
2025-07-05,01:31:42.252,1.25,0.65,10.39,9.91,4.64,2.51,50.17,5.86,94.14,0.00,100.00,0.00
2025-07-05,01:31:47.251,1.23,0.70,10.57,9.89,4.62,2.46,49.15,5.97,94.03,0.00,100.00,0.00
2025-07-05,01:31:52.251,2.10,0.92,5.74,10.70,5.33,4.19,83.87,7.18,75.63,0.00,98.73,0.07
