System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-23,19:27:33.397,2.64,0.03,0.25,1.27,1.10,5.27,105.45,1.12,84.50,0.00,99.96,0.00
2025-07-23,19:27:35.397,2.47,0.04,0.34,1.49,1.30,4.95,98.91,1.23,98.75,0.00,100.00,0.00
2025-07-23,19:27:37.397,2.41,0.05,0.38,1.65,1.38,4.83,96.59,1.24,98.76,0.00,100.00,0.00
2025-07-23,19:27:39.397,2.36,0.06,0.40,1.64,1.36,4.71,94.27,1.31,98.69,0.00,100.00,0.00
2025-07-23,19:27:41.397,2.32,0.07,0.43,1.94,1.45,4.64,92.80,1.33,98.67,0.00,100.00,0.00
2025-07-23,19:27:43.397,2.48,0.04,0.34,1.63,1.36,4.97,99.35,1.22,98.78,0.00,100.00,0.00
2025-07-23,19:27:45.397,2.42,0.05,0.37,1.72,1.39,4.85,96.99,1.26,98.73,0.00,100.00,0.00
2025-07-23,19:27:47.398,2.45,0.05,0.36,1.53,1.30,4.90,98.02,1.22,98.77,0.00,100.00,0.00
2025-07-23,19:27:49.398,2.50,0.04,0.34,1.53,1.31,4.99,99.84,1.20,98.80,0.00,100.00,0.00
2025-07-23,19:27:51.398,2.48,0.04,0.35,1.72,1.35,4.96,99.15,1.20,98.80,0.00,100.00,0.00
2025-07-23,19:27:53.398,2.33,0.05,0.39,1.66,1.41,4.67,93.30,1.16,98.84,0.00,100.00,0.00
2025-07-23,19:27:55.398,1.99,0.04,0.35,1.61,1.42,3.97,79.48,0.96,99.04,0.00,100.00,0.00
2025-07-23,19:27:57.398,2.07,0.04,0.32,1.57,1.38,4.15,82.92,0.94,99.06,0.00,100.00,0.00
2025-07-23,19:27:59.398,1.99,0.04,0.36,1.55,1.39,3.98,79.55,0.96,99.04,0.00,100.00,0.00
2025-07-23,19:28:01.401,2.23,0.04,0.34,1.66,1.39,4.47,89.40,1.06,98.94,0.00,100.00,0.00
2025-07-23,19:28:03.398,2.23,0.05,0.39,1.68,1.42,4.45,89.09,1.14,98.86,0.00,100.00,0.00
2025-07-23,19:28:05.398,2.02,0.04,0.33,1.60,1.41,4.03,80.63,0.92,99.08,0.00,100.00,0.00
2025-07-23,19:28:07.398,1.89,0.06,0.41,1.71,1.44,3.78,75.66,1.02,98.98,0.00,100.00,0.00
2025-07-23,19:28:09.398,2.00,0.04,0.33,1.56,1.39,3.99,79.85,0.95,99.05,0.00,100.00,0.00
2025-07-23,19:28:11.399,1.96,0.06,0.37,1.98,1.55,3.92,78.50,1.10,98.90,0.00,100.00,0.00
2025-07-23,19:28:13.398,2.49,0.04,0.34,1.73,1.40,4.99,99.73,1.19,98.81,0.00,100.00,0.00
2025-07-23,19:28:15.398,2.48,0.04,0.37,1.67,1.36,4.95,99.06,1.21,98.79,0.00,100.00,0.00
2025-07-23,19:28:17.398,2.27,0.05,0.37,1.57,1.34,4.53,90.67,1.08,98.91,0.00,100.00,0.00
2025-07-23,19:28:19.398,2.00,0.04,0.36,1.51,1.37,4.00,80.08,0.99,99.01,0.00,100.00,0.00
2025-07-23,19:28:21.398,2.19,0.04,0.35,1.61,1.37,4.39,87.78,1.13,98.87,0.00,100.00,0.00
2025-07-23,19:28:23.398,2.48,0.04,0.34,1.69,1.41,4.96,99.21,1.20,98.80,0.00,100.00,0.00
2025-07-23,19:28:25.399,2.47,0.05,0.37,1.52,1.29,4.94,98.75,1.21,98.78,0.00,100.00,0.00
2025-07-23,19:28:27.399,2.47,0.05,0.37,1.64,1.37,4.94,98.89,1.21,98.79,0.00,100.00,0.00
2025-07-23,19:28:29.399,2.47,0.04,0.35,1.51,1.32,4.93,98.62,1.19,98.80,0.00,100.00,0.00
2025-07-23,19:28:31.399,2.43,0.05,0.39,1.67,1.36,4.86,97.13,1.24,98.75,0.00,100.00,0.00
2025-07-23,19:28:33.399,2.43,0.05,0.39,1.61,1.35,4.87,97.31,1.25,98.75,0.00,100.00,0.00
2025-07-23,19:28:35.400,2.44,0.04,0.34,1.49,1.29,4.87,97.42,1.25,98.75,0.00,100.00,0.00
2025-07-23,19:28:37.400,2.42,0.05,0.36,1.71,1.38,4.83,96.66,1.27,98.71,0.00,100.00,0.00
2025-07-23,19:28:39.401,2.42,0.04,0.34,1.54,1.33,4.83,96.64,1.33,98.67,0.00,100.00,0.00
2025-07-23,19:28:41.400,2.41,0.05,0.36,1.84,1.42,4.83,96.58,1.24,98.76,0.00,100.00,0.00
2025-07-23,19:28:43.400,2.46,0.05,0.36,1.65,1.35,4.92,98.32,1.21,98.78,0.00,100.00,0.00
2025-07-23,19:28:45.401,2.33,0.07,0.43,1.97,1.54,4.67,93.38,1.32,98.68,0.00,100.00,0.00
2025-07-23,19:28:47.401,2.40,0.05,0.35,1.66,1.37,4.80,96.04,1.23,98.77,0.00,100.00,0.00
2025-07-23,19:28:49.402,2.40,0.04,0.39,1.62,1.36,4.80,95.95,1.31,98.69,0.00,100.00,0.00
2025-07-23,19:28:51.402,2.40,0.04,0.34,1.59,1.33,4.81,96.14,1.35,98.65,0.00,100.00,0.00
2025-07-23,19:28:53.403,2.39,0.05,0.37,1.66,1.37,4.77,95.48,1.26,98.74,0.00,100.00,0.00
2025-07-23,19:28:55.402,2.44,0.04,0.35,1.62,1.37,4.88,97.64,1.24,98.76,0.00,100.00,0.00
2025-07-23,19:28:57.403,2.42,0.04,0.33,1.58,1.34,4.84,96.71,1.33,98.65,0.00,100.00,0.00
2025-07-23,19:28:59.402,2.41,0.04,0.35,1.58,1.34,4.82,96.41,1.24,98.76,0.00,100.00,0.00
2025-07-23,19:29:01.402,2.43,0.04,0.37,1.75,1.40,4.87,97.35,1.25,98.75,0.00,100.00,0.00
