Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
3replicas_scenario51_100rps,3,1_CPU_1_L3,51,100,100.00533580691538,0.285,0.287,0.0,0.392,0.45,0.549,3.451,0
3replicas_scenario52_100rps,3,1_CPU_1_MemBW,52,100,100.00494762422218,0.294,0.288,0.0,0.42,0.487,0.609,1.864,0
3replicas_scenario53_100rps,3,1_CPU_2_MemBW,53,100,100.00519668448571,0.275,0.265,0.0,0.38,0.426,0.531,3.444,0
3replicas_scenario54_100rps,3,2_CPU_1_MemBW,54,100,100.00518653009811,0.262,0.246,0.0,0.39,0.432,0.549,3.731,0
3replicas_scenario55_100rps,3,1_CPU_2_L3,55,100,100.00528665391677,0.411,0.358,0.0,0.741,0.811,0.903,3.409,0
3replicas_scenario56_100rps,3,1_CPU_1_L3_1_MemBW,56,100,100.00497388849446,0.365,0.346,0.0,0.546,0.606,0.673,3.115,0
3replicas_scenario57_100rps,3,2_CPU_1_L3,57,100,100.00519666726169,0.288,0.297,0.0,0.369,0.395,0.461,3.554,0
3replicas_scenario58_100rps,3,1_L3_3_MemBW,58,100,100.00519420756169,0.389,0.352,0.0,0.561,0.617,0.742,3.185,0
3replicas_scenario51_500rps,3,1_CPU_1_L3,51,500,500.00526309706646,0.131,0.127,0.0,0.173,0.197,0.294,3.393,0
3replicas_scenario52_500rps,3,1_CPU_1_MemBW,52,500,500.00468650781517,0.107,0.099,0.0,0.137,0.16,0.223,2.973,0
3replicas_scenario53_500rps,3,1_CPU_2_MemBW,53,500,500.0052513912648,0.117,0.105,0.0,0.169,0.199,0.265,2.752,0
3replicas_scenario54_500rps,3,2_CPU_1_MemBW,54,500,500.0056088684737,0.108,0.1,0.0,0.139,0.162,0.224,2.535,0
3replicas_scenario55_500rps,3,1_CPU_2_L3,55,500,500.0039847789789,0.186,0.147,0.0,0.345,0.475,0.609,3.453,0
3replicas_scenario56_500rps,3,1_CPU_1_L3_1_MemBW,56,500,500.0023440220999,0.15,0.134,0.0,0.245,0.287,0.363,4.073,0
3replicas_scenario57_500rps,3,2_CPU_1_L3,57,500,500.003314027521,0.133,0.129,0.0,0.18,0.203,0.287,3.51,0
3replicas_scenario58_500rps,3,1_L3_3_MemBW,58,500,500.0035431084404,0.193,0.173,0.0,0.304,0.331,0.433,4.517,0
3replicas_scenario51_1000rps,3,1_CPU_1_L3,51,1000,1000.0006825393548,0.125,0.117,0.0,0.169,0.188,0.257,3.281,0
3replicas_scenario52_1000rps,3,1_CPU_1_MemBW,52,1000,1000.0049041907175,0.101,0.096,0.0,0.126,0.139,0.186,3.933,0
3replicas_scenario53_1000rps,3,1_CPU_2_MemBW,53,1000,1000.0042738904883,0.106,0.101,0.0,0.131,0.145,0.195,3.28,0
3replicas_scenario54_1000rps,3,2_CPU_1_MemBW,54,1000,1000.0052371496497,0.114,0.101,0.0,0.17,0.197,0.249,4.163,0
3replicas_scenario55_1000rps,3,1_CPU_2_L3,55,1000,1000.0006465893069,0.249,0.18,0.0,0.518,0.579,0.683,3.967,0
3replicas_scenario56_1000rps,3,1_CPU_1_L3_1_MemBW,56,1000,1000.0041616839862,0.133,0.125,0.0,0.181,0.213,0.303,4.085,0
3replicas_scenario57_1000rps,3,2_CPU_1_L3,57,1000,1000.0017397141378,0.138,0.131,0.0,0.197,0.227,0.3,3.138,0
3replicas_scenario58_1000rps,3,1_L3_3_MemBW,58,1000,1000.0010508511043,0.243,0.218,0.0,0.419,0.472,0.565,4.237,0
3replicas_scenario51_1500rps,3,1_CPU_1_L3,51,1500,1500.00550594704,0.118,0.11,0.0,0.159,0.175,0.244,3.569,0
3replicas_scenario52_1500rps,3,1_CPU_1_MemBW,52,1500,1500.0010428990322,0.098,0.093,0.0,0.12,0.133,0.192,2.943,0
3replicas_scenario53_1500rps,3,1_CPU_2_MemBW,53,1500,1500.0024532373454,0.107,0.098,0.0,0.144,0.174,0.232,4.279,0
3replicas_scenario54_1500rps,3,2_CPU_1_MemBW,54,1500,1500.0032985489202,0.165,0.171,0.0,0.226,0.244,0.301,4.092,0
3replicas_scenario55_1500rps,3,1_CPU_2_L3,55,1500,1500.0035051498573,0.357,0.285,0.0,0.647,0.71,0.865,4.487,0
3replicas_scenario56_1500rps,3,1_CPU_1_L3_1_MemBW,56,1500,1500.006036399292,0.127,0.118,0.0,0.17,0.201,0.288,4.083,0
3replicas_scenario57_1500rps,3,2_CPU_1_L3,57,1500,1500.0041226516173,0.116,0.108,0.0,0.158,0.174,0.244,3.781,0
3replicas_scenario58_1500rps,3,1_L3_3_MemBW,58,1500,1500.0011917748054,0.18,0.141,0.0,0.324,0.463,0.628,4.593,0
