System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-25,05:16:14.116,1.55,85.94,0.00,1.55,85.94,0.00,3.77,0.00,0.03,1.96,90.26,0.00,7.53,150.63,1.79,0.01,0.04,2.28,87.23,0.00,3.58,71.67,1.91,0.01,0.03,3.99,89.78,0.00,3.82,76.48,0.56,0.01,0.07,0.70,73.74,0.00,1.13,22.60,0.58,0.02,0.15,1.26,90.98,0.00,1.16,23.16,0.70,0.01,0.07,0.70,88.80,0.00,1.39,27.88,0.70,0.01,0.07,0.71,93.06,0.00,1.41,28.16,0.68,0.01,0.06,0.78,73.66,0.00,1.35,27.01
2025-07-25,05:16:16.117,2.11,97.89,0.00,2.11,97.89,0.00,3.00,0.01,0.03,1.95,98.05,0.00,6.01,120.13,2.21,0.02,0.04,4.11,95.89,0.00,4.42,88.38,1.62,0.02,0.04,2.73,97.27,0.00,3.24,64.75,0.64,0.01,0.11,1.37,98.63,0.00,1.28,25.59,0.66,0.03,0.28,2.62,97.38,0.00,1.31,26.21,0.73,0.01,0.12,1.26,98.74,0.00,1.45,29.01,0.81,0.01,0.12,1.44,98.56,0.00,1.63,32.51,0.72,0.01,0.11,1.44,98.56,0.00,1.44,28.72
2025-07-25,05:16:18.117,2.09,97.91,0.00,2.09,97.91,0.00,1.74,0.01,0.02,1.16,98.84,0.00,3.47,69.48,3.36,0.01,0.05,4.03,95.97,0.00,6.72,134.44,1.83,0.01,0.03,4.08,95.92,0.00,3.65,73.05,0.67,0.01,0.10,1.23,98.77,0.00,1.35,26.97,0.84,0.02,0.19,2.29,97.71,0.00,1.69,33.73,0.67,0.01,0.13,1.20,98.80,0.00,1.35,26.96,0.83,0.01,0.12,1.41,98.59,0.00,1.65,33.02,0.72,0.01,0.10,1.35,98.65,0.00,1.44,28.85
2025-07-25,05:16:20.117,2.09,97.91,0.00,2.09,97.91,0.00,2.83,0.01,0.02,1.65,98.35,0.00,5.66,113.18,2.68,0.02,0.05,3.30,96.70,0.00,5.37,107.38,1.79,0.02,0.04,3.98,96.02,0.00,3.58,71.54,0.65,0.01,0.11,1.33,98.67,0.00,1.31,26.16,0.72,0.03,0.23,2.35,97.65,0.00,1.44,28.85,0.75,0.01,0.12,1.22,98.78,0.00,1.50,30.01,0.95,0.01,0.11,1.36,98.64,0.00,1.89,37.87,0.77,0.01,0.11,1.50,98.50,0.00,1.53,30.69
2025-07-25,05:16:22.118,2.28,97.72,0.00,2.28,97.72,0.00,2.48,0.01,0.02,1.51,98.49,0.00,4.95,99.05,2.56,0.02,0.06,3.48,96.52,0.00,5.13,102.55,1.70,0.02,0.05,4.35,95.65,0.00,3.41,68.20,0.64,0.02,0.13,1.59,98.41,0.00,1.27,25.45,0.72,0.03,0.25,2.68,97.32,0.00,1.44,28.79,0.71,0.02,0.14,1.47,98.53,0.00,1.42,28.38,0.77,0.01,0.13,1.50,98.50,0.00,1.53,30.63,0.71,0.01,0.12,1.69,98.31,0.00,1.43,28.52
2025-07-25,05:16:24.118,2.03,97.97,0.00,2.03,97.97,0.00,2.12,0.01,0.02,1.56,98.44,0.00,4.25,84.92,3.03,0.01,0.04,3.92,96.08,0.00,6.06,121.27,2.01,0.01,0.03,3.48,96.52,0.00,4.02,80.46,0.65,0.01,0.10,1.17,98.83,0.00,1.29,25.83,0.78,0.02,0.21,2.33,97.67,0.00,1.55,31.03,0.70,0.01,0.12,1.15,98.85,0.00,1.39,27.84,0.85,0.01,0.11,1.24,98.76,0.00,1.70,34.05,0.75,0.01,0.11,1.43,98.57,0.00,1.50,30.01
2025-07-25,05:16:26.118,2.04,97.96,0.00,2.04,97.96,0.00,1.86,0.01,0.02,1.49,98.51,0.00,3.73,74.51,3.37,0.01,0.04,3.89,96.11,0.00,6.74,134.77,1.81,0.01,0.03,3.13,96.87,0.00,3.62,72.38,0.65,0.01,0.10,1.30,98.70,0.00,1.31,26.16,0.79,0.02,0.21,2.48,97.52,0.00,1.58,31.56,0.70,0.01,0.13,1.21,98.79,0.00,1.41,28.10,0.86,0.01,0.10,1.27,98.73,0.00,1.72,34.33,0.77,0.01,0.11,1.52,98.48,0.00,1.54,30.83
2025-07-25,05:16:28.118,2.08,97.92,0.00,2.08,97.92,0.00,1.77,0.01,0.02,1.32,98.68,0.00,3.55,70.96,3.21,0.01,0.04,3.92,96.08,0.00,6.43,128.54,1.88,0.01,0.03,3.76,96.24,0.00,3.77,75.39,0.67,0.01,0.11,1.29,98.71,0.00,1.34,26.71,0.80,0.02,0.19,2.28,97.72,0.00,1.61,32.18,0.71,0.01,0.13,1.29,98.71,0.00,1.41,28.23,0.84,0.01,0.11,1.35,98.65,0.00,1.67,33.47,0.76,0.01,0.11,1.44,98.56,0.00,1.52,30.31
2025-07-25,05:16:30.118,2.06,97.94,0.00,2.06,97.94,0.00,2.99,0.00,0.02,1.77,98.23,0.00,5.97,119.49,2.45,0.02,0.04,2.88,97.12,0.00,4.90,97.94,1.84,0.01,0.03,4.02,95.98,0.00,3.67,73.42,0.64,0.01,0.10,1.32,98.68,0.00,1.29,25.74,0.72,0.02,0.25,2.41,97.59,0.00,1.44,28.77,0.73,0.01,0.11,1.22,98.78,0.00,1.46,29.12,0.81,0.01,0.12,1.43,98.57,0.00,1.62,32.43,0.72,0.01,0.11,1.46,98.54,0.00,1.45,28.91
2025-07-25,05:16:32.118,2.05,97.95,0.00,2.05,97.95,0.00,3.42,0.00,0.02,2.00,98.00,0.00,6.84,136.74,1.67,0.02,0.05,2.56,97.44,0.00,3.35,66.99,1.80,0.02,0.04,3.98,96.02,0.00,3.60,71.92,0.66,0.01,0.10,1.25,98.75,0.00,1.32,26.47,0.67,0.03,0.28,2.60,97.40,0.00,1.33,26.64,0.84,0.01,0.10,1.21,98.79,0.00,1.68,33.66,0.81,0.01,0.11,1.37,98.63,0.00,1.62,32.47,0.76,0.01,0.10,1.42,98.58,0.00,1.51,30.24
