Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
2replicas_scenario0_2500rps,2,Baseline0,0,2500,2500.0019014640047,0.096,0.092,0.0,0.118,0.131,0.197,3.749,0
2replicas_scenario1_2500rps,2,Baseline1,1,2500,2500.001664903886,0.096,0.092,0.0,0.117,0.128,0.164,2.854,0
2replicas_scenario2_2500rps,2,Baseline2,2,2500,2500.003863269859,0.096,0.091,0.0,0.117,0.13,0.203,3.45,0
2replicas_scenario11_2500rps,2,1_iBench_CPU_pod,11,2500,2500.00050754177,0.095,0.092,0.0,0.117,0.128,0.166,2.663,0
2replicas_scenario12_2500rps,2,2_iBench_CPU_pods,12,2500,2500.002715856208,0.099,0.092,0.0,0.122,0.146,0.239,3.0,0
2replicas_scenario13_2500rps,2,3_iBench_CPU_pods,13,2500,2500.012361811125,0.165,0.164,0.0,0.249,0.286,0.382,3.898,0
2replicas_scenario14_2500rps,2,4_iBench_CPU_pods,14,2500,2500.010730851616,0.174,0.174,0.0,0.256,0.29,0.391,3.614,0
2replicas_scenario21_2500rps,2,1_stress-ng_l3_pod,21,2500,2500.013694213901,0.125,0.116,0.0,0.172,0.198,0.3,3.566,0
2replicas_scenario22_2500rps,2,2_stress-ng_l3_pods,22,2500,2499.9967475592202,0.236,0.148,0.0,0.543,0.64,0.827,6.04,0
2replicas_scenario23_2500rps,2,3_stress-ng_l3_pods,23,2500,2500.001501077017,0.411,0.337,0.0,0.731,0.896,1.469,10.143,0
2replicas_scenario24_2500rps,2,4_stress-ng_l3_pods,24,2500,2499.9965971712986,0.455,0.42,0.0,0.782,0.924,1.463,12.752,0
2replicas_scenario31_2500rps,2,1_iBench_memBW_pod,31,2500,2500.00389267614,0.1,0.095,0.0,0.126,0.14,0.191,2.961,0
2replicas_scenario32_2500rps,2,2_iBench_memBW_pods,32,2500,2500.003272949387,0.105,0.099,0.0,0.132,0.147,0.206,4.089,0
2replicas_scenario33_2500rps,2,3_iBench_memBW_pods,33,2500,2500.003116114995,0.138,0.115,0.0,0.216,0.253,0.352,3.536,0
2replicas_scenario34_2500rps,2,4_iBench_memBW_pods,34,2500,2500.0010011692925,0.12,0.107,0.0,0.165,0.194,0.287,2.922,0
2replicas_scenario0_3000rps,2,Baseline0,0,3000,3000.0045378901978,0.096,0.091,0.0,0.122,0.136,0.183,3.423,0
2replicas_scenario1_3000rps,2,Baseline1,1,3000,3000.007581227642,0.097,0.091,0.0,0.122,0.136,0.184,3.349,0
2replicas_scenario2_3000rps,2,Baseline2,2,3000,3000.0047291375863,0.097,0.091,0.0,0.122,0.136,0.183,2.98,0
2replicas_scenario11_3000rps,2,1_iBench_CPU_pod,11,3000,3000.004406523139,0.097,0.091,0.0,0.123,0.137,0.19,2.55,0
2replicas_scenario12_3000rps,2,2_iBench_CPU_pods,12,3000,3000.0023836829446,0.099,0.091,0.0,0.126,0.142,0.228,3.229,0
2replicas_scenario13_3000rps,2,3_iBench_CPU_pods,13,3000,3000.006600504523,0.111,0.094,0.0,0.168,0.212,0.32,3.054,0
2replicas_scenario14_3000rps,2,4_iBench_CPU_pods,14,3000,3000.003238936388,0.132,0.101,0.0,0.224,0.267,0.377,5.029,0
2replicas_scenario21_3000rps,2,1_stress-ng_l3_pod,21,3000,3000.005816927946,0.125,0.114,0.0,0.179,0.208,0.303,3.584,0
2replicas_scenario22_3000rps,2,2_stress-ng_l3_pods,22,3000,3000.005461785728,0.191,0.154,0.0,0.287,0.469,0.748,5.091,0
2replicas_scenario23_3000rps,2,3_stress-ng_l3_pods,23,3000,3000.0056812724606,0.38,0.283,0.0,0.71,0.876,1.593,10.09,0
2replicas_scenario24_3000rps,2,4_stress-ng_l3_pods,24,3000,2999.997491318765,0.441,0.366,0.0,0.79,0.961,1.713,23.577,0
2replicas_scenario31_3000rps,2,1_iBench_memBW_pod,31,3000,3000.005108554795,0.103,0.095,0.0,0.134,0.152,0.231,4.014,0
2replicas_scenario32_3000rps,2,2_iBench_memBW_pods,32,3000,2999.9906473853657,0.135,0.11,0.0,0.218,0.257,0.376,3.836,0
2replicas_scenario33_3000rps,2,3_iBench_memBW_pods,33,3000,3000.0049060378265,0.125,0.109,0.0,0.186,0.216,0.313,4.537,0
2replicas_scenario34_3000rps,2,4_iBench_memBW_pods,34,3000,3000.004176743507,0.125,0.11,0.0,0.183,0.214,0.306,3.802,0
2replicas_scenario0_3500rps,2,Baseline0,0,3500,3499.9876245824476,0.104,0.092,0.0,0.138,0.17,0.307,3.004,0
2replicas_scenario1_3500rps,2,Baseline1,1,3500,3500.0051906800145,0.098,0.091,0.0,0.128,0.145,0.212,2.603,0
2replicas_scenario2_3500rps,2,Baseline2,2,3500,3500.00305597004,0.101,0.091,0.0,0.132,0.153,0.262,3.992,0
