System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-23,09:12:09.722,1.91,83.79,0.00,1.91,83.79,0.00,1.54,0.02,0.06,4.63,87.38,0.00,3.08,61.66,1.53,0.02,0.08,3.53,85.78,0.00,3.06,61.12,1.52,0.02,0.07,4.37,84.90,0.00,3.04,60.77,0.63,0.00,0.12,0.67,71.54,0.00,1.26,25.24,0.81,0.00,0.05,0.34,91.67,0.00,1.62,32.32,0.80,0.00,0.09,0.63,88.69,0.00,1.60,31.94,0.86,0.00,0.09,0.73,88.54,0.00,1.72,34.34,0.74,0.00,0.06,0.40,71.81,0.00,1.49,29.77
2025-07-23,09:12:11.727,2.19,97.80,0.00,2.19,97.80,0.00,1.51,0.01,0.04,3.17,96.80,0.00,3.03,60.58,1.54,0.01,0.03,3.11,96.89,0.00,3.07,61.45,1.54,0.01,0.03,5.81,94.19,0.00,3.08,61.56,0.68,0.02,0.25,1.37,98.63,0.00,1.37,27.30,0.85,0.00,0.09,0.64,99.33,0.00,1.70,34.07,0.93,0.00,0.16,1.25,98.75,0.00,1.86,37.20,0.91,0.01,0.17,1.45,98.55,0.00,1.82,36.45,0.79,0.00,0.11,0.75,99.25,0.00,1.57,31.46
2025-07-23,09:12:13.727,2.14,97.86,0.00,2.14,97.86,0.00,1.51,0.01,0.03,3.01,96.98,0.00,3.02,60.35,1.52,0.01,0.03,3.06,96.92,0.00,3.03,60.63,1.55,0.00,0.02,5.56,94.44,0.00,3.09,61.87,0.80,0.01,0.20,1.48,98.52,0.00,1.61,32.14,0.92,0.00,0.07,0.62,99.37,0.00,1.84,36.87,0.92,0.00,0.13,1.19,98.79,0.00,1.83,36.64,0.91,0.00,0.16,1.39,98.61,0.00,1.82,36.40,0.77,0.00,0.11,0.78,99.22,0.00,1.54,30.74
2025-07-23,09:12:15.723,2.20,97.80,0.00,2.20,97.80,0.00,1.50,0.02,0.05,3.95,96.04,0.00,2.99,59.80,1.51,0.01,0.04,4.02,95.98,0.00,3.03,60.50,1.49,0.01,0.05,4.31,95.69,0.00,2.99,59.76,0.69,0.00,0.19,1.29,98.71,0.00,1.39,27.73,0.86,0.00,0.07,0.62,99.37,0.00,1.72,34.42,0.89,0.00,0.13,1.19,98.81,0.00,1.78,35.57,0.92,0.00,0.17,1.41,98.59,0.00,1.85,36.95,0.79,0.00,0.11,0.78,99.22,0.00,1.57,31.46
2025-07-23,09:12:17.727,2.15,97.84,0.00,2.15,97.84,0.00,1.56,0.00,0.02,5.70,94.29,0.00,3.13,62.54,1.53,0.01,0.04,3.33,96.65,0.00,3.06,61.22,1.50,0.01,0.04,2.98,97.02,0.00,3.01,60.10,0.73,0.00,0.20,1.29,98.71,0.00,1.47,29.30,0.85,0.00,0.07,0.62,99.38,0.00,1.69,33.90,0.91,0.00,0.15,1.23,98.75,0.00,1.82,36.45,0.97,0.01,0.16,1.35,98.65,0.00,1.94,38.84,0.76,0.00,0.10,0.72,99.28,0.00,1.52,30.41
2025-07-23,09:12:19.730,2.19,97.81,0.00,2.19,97.81,0.00,1.54,0.01,0.03,5.73,94.26,0.00,3.08,61.61,1.54,0.01,0.04,3.20,96.80,0.00,3.08,61.63,1.51,0.01,0.04,3.25,96.75,0.00,3.02,60.45,0.77,0.01,0.18,1.32,98.68,0.00,1.54,30.75,0.85,0.00,0.07,0.65,99.34,0.00,1.70,34.08,0.90,0.01,0.14,1.29,98.71,0.00,1.80,35.93,0.96,0.00,0.15,1.29,98.71,0.00,1.92,38.35,0.74,0.00,0.11,0.78,99.22,0.00,1.48,29.63
2025-07-23,09:12:21.731,2.11,97.88,0.00,2.11,97.88,0.00,1.55,0.01,0.02,5.67,94.31,0.00,3.10,62.05,1.53,0.01,0.03,3.11,96.87,0.00,3.05,61.05,1.53,0.01,0.04,3.06,96.94,0.00,3.06,61.13,0.70,0.00,0.20,1.20,98.80,0.00,1.40,28.01,0.85,0.00,0.07,0.61,99.38,0.00,1.69,33.84,0.89,0.01,0.15,1.18,98.80,0.00,1.78,35.54,0.99,0.00,0.16,1.30,98.70,0.00,1.97,39.47,0.76,0.00,0.11,0.74,99.26,0.00,1.53,30.56
2025-07-23,09:12:23.730,2.14,97.85,0.00,2.14,97.85,0.00,1.55,0.00,0.02,5.65,94.33,0.00,3.09,61.83,1.49,0.02,0.04,3.14,96.86,0.00,2.98,59.60,1.50,0.01,0.04,3.05,96.95,0.00,3.00,59.94,0.70,0.01,0.20,1.30,98.70,0.00,1.40,28.07,0.85,0.00,0.07,0.65,99.33,0.00,1.70,33.98,0.91,0.00,0.14,1.23,98.77,0.00,1.83,36.57,0.98,0.00,0.15,1.30,98.70,0.00,1.96,39.16,0.75,0.00,0.11,0.80,99.20,0.00,1.50,30.05
2025-07-23,09:12:25.731,2.16,97.83,0.00,2.16,97.83,0.00,1.55,0.01,0.04,3.76,96.22,0.00,3.11,62.17,1.55,0.00,0.02,5.21,94.79,0.00,3.10,61.97,1.52,0.01,0.05,3.12,96.88,0.00,3.04,60.89,0.71,0.00,0.19,1.26,98.74,0.00,1.41,28.26,0.90,0.00,0.08,0.64,99.34,0.00,1.79,35.82,0.85,0.00,0.14,1.21,98.79,0.00,1.70,34.05,0.96,0.00,0.16,1.37,98.63,0.00,1.92,38.33,0.77,0.00,0.10,0.75,99.25,0.00,1.53,30.64
2025-07-23,09:12:27.730,2.07,97.91,0.00,2.07,97.91,0.00,1.51,0.01,0.03,3.19,96.74,0.00,3.02,60.44,1.55,0.00,0.02,5.54,94.45,0.00,3.11,62.17,1.50,0.01,0.04,3.04,96.96,0.00,3.01,60.11,0.69,0.00,0.17,1.11,98.89,0.00,1.39,27.77,0.91,0.00,0.08,0.62,99.32,0.00,1.81,36.28,0.87,0.00,0.12,1.04,98.95,0.00,1.74,34.71,0.98,0.01,0.16,1.25,98.75,0.00,1.96,39.27,0.77,0.00,0.11,0.74,99.26,0.00,1.55,30.93
