System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-23,10:41:49.984,1.37,0.05,0.63,12.14,5.89,2.75,54.92,1.20,83.91,0.00,99.36,0.03
2025-07-23,10:41:51.984,1.20,0.06,1.11,12.56,6.03,2.39,47.83,1.53,98.46,0.00,100.00,0.00
2025-07-23,10:41:53.988,1.22,0.07,1.02,12.62,6.07,2.44,48.83,1.58,98.42,0.00,100.00,0.00
2025-07-23,10:41:55.987,1.25,0.05,1.00,12.40,5.95,2.49,49.87,1.52,98.48,0.00,100.00,0.00
2025-07-23,10:41:57.987,1.22,0.06,1.01,12.46,5.99,2.43,48.68,1.52,98.48,0.00,100.00,0.00
2025-07-23,10:41:59.988,1.20,0.08,1.14,12.65,6.04,2.39,47.82,1.60,98.39,0.00,100.00,0.00
2025-07-23,10:42:01.990,1.21,0.07,1.04,12.63,6.07,2.41,48.29,1.57,98.42,0.00,100.00,0.00
2025-07-23,10:42:03.991,1.22,0.06,0.96,12.20,5.90,2.45,48.97,1.52,98.48,0.00,100.00,0.00
2025-07-23,10:42:05.991,1.23,0.06,1.00,12.17,5.87,2.46,49.24,1.54,98.46,0.00,100.00,0.00
2025-07-23,10:42:07.992,1.20,0.06,1.03,12.33,5.91,2.41,48.14,1.52,98.47,0.00,100.00,0.00
2025-07-23,10:42:09.993,1.21,0.07,0.99,12.40,5.95,2.42,48.42,1.53,98.47,0.00,100.00,0.00
2025-07-23,10:42:11.991,1.19,0.07,1.04,12.45,5.98,2.38,47.65,1.56,98.44,0.00,100.00,0.00
2025-07-23,10:42:13.991,1.23,0.06,0.93,12.22,5.86,2.46,49.18,1.51,98.49,0.00,100.00,0.00
2025-07-23,10:42:15.991,1.18,0.06,0.98,12.07,5.83,2.36,47.21,1.57,98.43,0.00,100.00,0.00
2025-07-23,10:42:17.993,1.15,0.07,1.05,12.25,5.84,2.31,46.11,1.59,98.40,0.00,100.00,0.00
2025-07-23,10:42:19.992,1.20,0.06,1.00,12.39,5.96,2.40,48.02,1.54,98.46,0.00,100.00,0.00
2025-07-23,10:42:21.991,1.18,0.07,1.11,12.21,5.81,2.36,47.29,1.59,98.41,0.00,100.00,0.00
2025-07-23,10:42:23.992,1.22,0.06,1.03,12.09,5.79,2.45,48.94,1.55,98.45,0.00,100.00,0.00
2025-07-23,10:42:25.991,1.21,0.06,1.02,12.10,5.84,2.41,48.22,1.54,98.45,0.00,100.00,0.00
2025-07-23,10:42:27.991,1.20,0.07,1.00,12.47,5.99,2.40,48.02,1.55,98.45,0.00,100.00,0.00
2025-07-23,10:42:29.992,1.17,0.08,1.08,12.46,5.94,2.34,46.79,1.64,98.36,0.00,100.00,0.00
2025-07-23,10:42:31.993,1.21,0.06,1.01,12.37,5.96,2.42,48.49,1.56,98.42,0.00,100.00,0.00
2025-07-23,10:42:33.991,1.21,0.06,1.02,12.36,5.94,2.43,48.51,1.50,98.50,0.00,100.00,0.00
2025-07-23,10:42:35.991,1.23,0.05,0.92,12.12,5.86,2.45,49.08,1.48,98.52,0.00,100.00,0.00
2025-07-23,10:42:37.992,1.21,0.06,0.98,11.88,5.72,2.41,48.22,1.55,98.45,0.00,100.00,0.00
2025-07-23,10:42:39.992,1.20,0.06,0.99,12.13,5.83,2.39,47.86,1.54,98.46,0.00,100.00,0.00
2025-07-23,10:42:41.992,1.21,0.06,1.01,12.15,5.82,2.43,48.58,1.55,98.45,0.00,100.00,0.00
2025-07-23,10:42:43.992,1.22,0.06,1.02,12.21,5.89,2.45,49.00,1.51,98.48,0.00,100.00,0.00
2025-07-23,10:42:45.997,1.23,0.05,0.93,12.15,5.87,2.47,49.34,1.49,98.51,0.00,100.00,0.00
2025-07-23,10:42:47.996,1.20,0.06,1.01,12.38,5.97,2.41,48.11,1.52,98.48,0.00,100.00,0.00
2025-07-23,10:42:49.997,1.19,0.06,1.01,12.36,5.90,2.38,47.57,1.52,98.48,0.00,100.00,0.00
2025-07-23,10:42:51.997,1.19,0.08,1.02,12.26,5.89,2.38,47.69,1.60,98.39,0.00,100.00,0.00
2025-07-23,10:42:53.998,1.16,0.07,0.98,12.40,5.95,2.32,46.37,1.57,98.43,0.00,100.00,0.00
2025-07-23,10:42:56.001,1.22,0.05,1.02,12.48,6.03,2.43,48.62,1.51,98.48,0.00,100.00,0.00
2025-07-23,10:42:58.001,1.19,0.08,1.10,12.36,5.93,2.38,47.61,1.58,98.42,0.00,100.00,0.00
