Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
4replicas_scenario0_100rps,4,Baseline0,0,100,100.00551355453163,0.323,0.341,0.0,0.46,0.573,0.656,3.091,0
4replicas_scenario1_100rps,4,Baseline1,1,100,100.00492392243818,0.326,0.341,0.0,0.47,0.576,0.646,2.945,0
4replicas_scenario2_100rps,4,Baseline2,2,100,100.00526426544364,0.328,0.342,0.0,0.482,0.588,0.659,4.489,0
4replicas_scenario11_100rps,4,1_iBench_CPU_pod,11,100,100.00510326875356,0.333,0.346,0.0,0.456,0.573,0.65,1.223,0
4replicas_scenario12_100rps,4,2_iBench_CPU_pods,12,100,100.00501798456683,0.31,0.315,0.0,0.432,0.521,0.629,2.465,0
4replicas_scenario13_100rps,4,3_iBench_CPU_pods,13,100,100.00507231004802,0.255,0.225,0.0,0.386,0.419,0.559,1.388,0
4replicas_scenario14_100rps,4,4_iBench_CPU_pods,14,100,100.00536518394765,0.24,0.208,0.0,0.37,0.404,0.524,3.842,0
4replicas_scenario21_100rps,4,1_stress-ng_l3_pod,21,100,100.00488858452647,0.345,0.339,0.0,0.457,0.525,0.622,2.523,0
4replicas_scenario22_100rps,4,2_stress-ng_l3_pods,22,100,100.00467440626831,0.508,0.406,0.0,0.906,0.954,1.034,2.846,0
4replicas_scenario23_100rps,4,3_stress-ng_l3_pods,23,100,100.00489805545327,0.719,0.495,0.0,1.455,1.548,1.679,5.795,0
4replicas_scenario24_100rps,4,4_stress-ng_l3_pods,24,100,100.00480328903811,1.0,0.926,0.0,1.56,1.649,1.827,4.201,0
4replicas_scenario31_100rps,4,1_iBench_memBW_pod,31,100,100.00531384513226,0.321,0.32,0.0,0.445,0.5,0.636,3.009,0
4replicas_scenario32_100rps,4,2_iBench_memBW_pods,32,100,100.00499175027437,0.37,0.367,0.0,0.548,0.603,0.724,2.055,0
4replicas_scenario33_100rps,4,3_iBench_memBW_pods,33,100,100.00518688235687,0.418,0.379,0.0,0.682,0.858,1.076,3.621,0
4replicas_scenario34_100rps,4,4_iBench_memBW_pods,34,100,100.00536736529286,0.365,0.342,0.0,0.546,0.602,0.7,1.543,0
4replicas_scenario0_500rps,4,Baseline0,0,500,500.0049868886265,0.098,0.093,0.0,0.116,0.13,0.191,2.943,0
4replicas_scenario1_500rps,4,Baseline1,1,500,500.0031669089474,0.099,0.094,0.0,0.116,0.13,0.191,2.255,0
4replicas_scenario2_500rps,4,Baseline2,2,500,500.0029716648837,0.098,0.093,0.0,0.115,0.128,0.191,3.97,0
4replicas_scenario11_500rps,4,1_iBench_CPU_pod,11,500,500.00397495382254,0.1,0.094,0.0,0.12,0.145,0.211,3.623,0
4replicas_scenario12_500rps,4,2_iBench_CPU_pods,12,500,500.0052477995227,0.101,0.095,0.0,0.12,0.144,0.208,3.272,0
4replicas_scenario13_500rps,4,3_iBench_CPU_pods,13,500,500.0045861503985,0.108,0.097,0.0,0.152,0.181,0.234,3.58,0
4replicas_scenario14_500rps,4,4_iBench_CPU_pods,14,500,500.00349710779267,0.114,0.099,0.0,0.176,0.197,0.252,2.812,0
4replicas_scenario21_500rps,4,1_stress-ng_l3_pod,21,500,500.0043304152825,0.136,0.133,0.0,0.184,0.208,0.309,3.495,0
4replicas_scenario22_500rps,4,2_stress-ng_l3_pods,22,500,500.00343399858457,0.302,0.179,0.0,0.626,0.689,0.786,3.82,0
4replicas_scenario23_500rps,4,3_stress-ng_l3_pods,23,500,500.0040242907229,0.421,0.312,0.0,0.899,1.008,1.182,3.77,0
4replicas_scenario24_500rps,4,4_stress-ng_l3_pods,24,500,500.0041832711104,0.567,0.547,0.0,0.972,1.08,1.375,4.58,0
4replicas_scenario31_500rps,4,1_iBench_memBW_pod,31,500,500.00295654248214,0.109,0.101,0.0,0.139,0.155,0.236,2.545,0
4replicas_scenario32_500rps,4,2_iBench_memBW_pods,32,500,500.0029277615879,0.121,0.109,0.0,0.167,0.207,0.286,2.786,0
4replicas_scenario33_500rps,4,3_iBench_memBW_pods,33,500,500.0029285393748,0.134,0.121,0.0,0.193,0.228,0.326,3.877,0
4replicas_scenario34_500rps,4,4_iBench_memBW_pods,34,500,500.00560754899965,0.152,0.134,0.0,0.231,0.27,0.369,3.897,0
4replicas_scenario0_1000rps,4,Baseline0,0,1000,1000.0061128762559,0.098,0.094,0.0,0.117,0.13,0.171,3.274,0
4replicas_scenario1_1000rps,4,Baseline1,1,1000,1000.0016322359975,0.095,0.091,0.0,0.112,0.123,0.166,2.846,0
4replicas_scenario2_1000rps,4,Baseline2,2,1000,1000.0027739854728,0.096,0.092,0.0,0.113,0.123,0.166,3.665,0
4replicas_scenario11_1000rps,4,1_iBench_CPU_pod,11,1000,1000.0020323485749,0.099,0.094,0.0,0.119,0.132,0.181,3.638,0
4replicas_scenario12_1000rps,4,2_iBench_CPU_pods,12,1000,1000.0021493323974,0.105,0.094,0.0,0.149,0.189,0.239,3.932,0
4replicas_scenario13_1000rps,4,3_iBench_CPU_pods,13,1000,1000.0038081311684,0.15,0.137,0.0,0.227,0.249,0.301,3.445,0
4replicas_scenario14_1000rps,4,4_iBench_CPU_pods,14,1000,1000.0002010500405,0.12,0.097,0.0,0.197,0.217,0.262,3.379,0
4replicas_scenario21_1000rps,4,1_stress-ng_l3_pod,21,1000,1000.0033903059385,0.13,0.122,0.0,0.182,0.204,0.299,3.079,0
4replicas_scenario22_1000rps,4,2_stress-ng_l3_pods,22,1000,1000.0049974527523,0.2,0.157,0.0,0.411,0.505,0.633,3.71,0
4replicas_scenario23_1000rps,4,3_stress-ng_l3_pods,23,1000,1000.0003003056457,0.373,0.372,0.0,0.647,0.726,0.943,6.017,0
4replicas_scenario24_1000rps,4,4_stress-ng_l3_pods,24,1000,1000.0005183891577,0.488,0.464,0.0,0.867,0.956,1.145,4.843,0
4replicas_scenario31_1000rps,4,1_iBench_memBW_pod,31,1000,1000.003465906457,0.103,0.098,0.0,0.129,0.142,0.188,5.58,0
4replicas_scenario32_1000rps,4,2_iBench_memBW_pods,32,1000,1000.004909129655,0.118,0.102,0.0,0.18,0.209,0.268,3.806,0
4replicas_scenario33_1000rps,4,3_iBench_memBW_pods,33,1000,1000.0039748491326,0.123,0.11,0.0,0.18,0.204,0.266,2.727,0
