System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-22,00:52:08.318,0.71,92.69,0.00,0.71,92.69,0.00,1.74,0.01,0.04,2.04,94.46,0.00,3.47,69.41,1.94,0.01,0.02,1.01,97.08,0.00,3.89,77.73,1.36,0.00,0.01,0.90,95.57,0.00,2.73,54.59,0.22,0.00,0.01,0.17,82.41,0.00,0.43,8.61,0.19,0.01,0.03,0.30,96.19,0.00,0.37,7.49,0.20,0.01,0.03,0.33,97.75,0.00,0.41,8.12,0.23,0.01,0.02,0.46,96.01,0.00,0.46,9.14,0.23,0.01,0.03,0.52,82.06,0.00,0.45,9.09
2025-07-22,00:52:10.319,0.97,99.03,0.00,0.97,99.03,0.00,1.33,0.01,0.03,2.00,98.00,0.00,2.66,53.27,1.27,0.00,0.01,1.03,98.97,0.00,2.54,50.82,1.36,0.00,0.01,1.02,98.98,0.00,2.71,54.25,0.23,0.01,0.02,0.39,99.61,0.00,0.46,9.19,0.17,0.02,0.04,0.73,99.27,0.00,0.33,6.67,0.16,0.01,0.04,0.75,99.25,0.00,0.32,6.38,0.18,0.02,0.07,0.98,99.02,0.00,0.37,7.37,0.31,0.01,0.05,0.88,99.12,0.00,0.62,12.47
2025-07-22,00:52:12.320,0.90,99.10,0.00,0.90,99.10,0.00,1.68,0.01,0.03,2.22,97.78,0.00,3.35,67.07,1.11,0.00,0.01,0.98,99.01,0.00,2.21,44.26,0.85,0.00,0.01,0.82,99.18,0.00,1.69,33.82,0.29,0.01,0.02,0.26,99.74,0.00,0.58,11.51,0.16,0.01,0.04,0.64,99.36,0.00,0.32,6.45,0.17,0.01,0.04,0.66,99.34,0.00,0.33,6.68,0.22,0.01,0.05,0.85,99.15,0.00,0.44,8.72,0.30,0.01,0.05,0.74,99.26,0.00,0.61,12.14
2025-07-22,00:52:14.321,0.90,99.10,0.00,0.90,99.10,0.00,1.57,0.01,0.02,2.04,97.96,0.00,3.14,62.87,1.37,0.00,0.01,0.94,99.04,0.00,2.74,54.81,1.18,0.00,0.01,0.99,99.01,0.00,2.35,47.01,0.25,0.01,0.02,0.29,99.71,0.00,0.49,9.88,0.16,0.01,0.05,0.64,99.36,0.00,0.33,6.51,0.16,0.01,0.03,0.56,99.42,0.00,0.32,6.31,0.20,0.01,0.06,0.93,99.07,0.00,0.40,7.97,0.29,0.01,0.04,0.79,99.21,0.00,0.58,11.63
2025-07-22,00:52:16.320,0.88,99.12,0.00,0.88,99.12,0.00,1.50,0.01,0.02,2.01,97.99,0.00,2.99,59.84,1.31,0.00,0.01,1.03,98.97,0.00,2.62,52.46,1.13,0.00,0.01,0.83,99.17,0.00,2.25,45.06,0.28,0.01,0.02,0.31,99.69,0.00,0.55,11.05,0.16,0.01,0.04,0.61,99.39,0.00,0.32,6.46,0.18,0.01,0.04,0.64,99.36,0.00,0.37,7.35,0.23,0.01,0.05,0.82,99.18,0.00,0.46,9.19,0.32,0.01,0.05,0.80,99.20,0.00,0.63,12.60
2025-07-22,00:52:18.321,0.86,99.14,0.00,0.86,99.14,0.00,1.41,0.01,0.02,1.97,98.03,0.00,2.81,56.27,1.60,0.00,0.01,0.85,99.15,0.00,3.20,63.98,1.27,0.00,0.01,0.95,99.05,0.00,2.54,50.83,0.29,0.01,0.02,0.33,99.67,0.00,0.58,11.54,0.17,0.01,0.04,0.61,99.39,0.00,0.34,6.83,0.19,0.01,0.04,0.59,99.41,0.00,0.38,7.56,0.22,0.01,0.06,0.88,99.12,0.00,0.44,8.89,0.36,0.01,0.05,0.72,99.28,0.00,0.71,14.21
2025-07-22,00:52:20.321,0.97,99.02,0.00,0.97,99.02,0.00,1.64,0.01,0.03,2.32,97.67,0.00,3.28,65.69,1.13,0.00,0.01,0.96,99.04,0.00,2.27,45.31,1.09,0.00,0.01,0.93,99.07,0.00,2.17,43.42,0.28,0.01,0.03,0.37,99.63,0.00,0.56,11.19,0.19,0.01,0.05,0.70,99.29,0.00,0.38,7.62,0.18,0.01,0.04,0.78,99.22,0.00,0.36,7.13,0.21,0.01,0.06,0.98,99.02,0.00,0.42,8.41,0.29,0.01,0.05,0.75,99.25,0.00,0.57,11.47
2025-07-22,00:52:22.322,0.93,99.07,0.00,0.93,99.07,0.00,1.73,0.00,0.02,1.87,98.13,0.00,3.46,69.16,1.04,0.00,0.01,0.95,99.05,0.00,2.08,41.54,1.41,0.00,0.01,1.02,98.98,0.00,2.82,56.48,0.23,0.01,0.02,0.38,99.62,0.00,0.47,9.34,0.26,0.01,0.04,0.60,99.40,0.00,0.53,10.53,0.16,0.02,0.04,0.77,99.23,0.00,0.33,6.53,0.19,0.02,0.07,0.98,99.02,0.00,0.38,7.67,0.30,0.01,0.05,0.84,99.16,0.00,0.61,12.15
2025-07-22,00:52:24.322,0.93,99.07,0.00,0.93,99.07,0.00,1.33,0.01,0.02,2.10,97.90,0.00,2.66,53.28,1.31,0.00,0.01,0.94,99.05,0.00,2.63,52.58,1.45,0.00,0.01,1.00,99.00,0.00,2.90,58.01,0.25,0.01,0.02,0.29,99.71,0.00,0.51,10.18,0.16,0.01,0.04,0.67,99.33,0.00,0.31,6.23,0.16,0.01,0.04,0.66,99.33,0.00,0.33,6.51,0.21,0.01,0.07,0.94,99.06,0.00,0.42,8.37,0.30,0.01,0.05,0.80,99.20,0.00,0.60,12.04
2025-07-22,00:52:26.321,0.90,99.08,0.00,0.90,99.08,0.00,1.24,0.01,0.03,2.02,97.91,0.00,2.47,49.48,1.38,0.00,0.01,0.99,99.00,0.00,2.76,55.19,1.24,0.00,0.01,0.99,99.01,0.00,2.49,49.73,0.24,0.01,0.02,0.32,99.68,0.00,0.48,9.63,0.16,0.01,0.04,0.59,99.33,0.00,0.32,6.34,0.17,0.01,0.04,0.65,99.34,0.00,0.33,6.62,0.20,0.01,0.05,0.88,99.12,0.00,0.39,7.87,0.33,0.01,0.05,0.76,99.24,0.00,0.66,13.21
