System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-22,06:14:26.116,1.17,0.01,0.16,0.89,0.16,2.34,46.75,0.24,84.55,0.00,98.53,0.08
2025-07-22,06:14:28.115,1.18,0.02,0.30,1.00,0.21,2.37,47.38,0.33,99.67,0.00,100.00,0.00
2025-07-22,06:14:30.115,1.10,0.02,0.28,1.06,0.21,2.20,43.96,0.30,99.70,0.00,100.00,0.00
2025-07-22,06:14:32.116,1.11,0.01,0.30,1.02,0.21,2.23,44.59,0.31,99.69,0.00,100.00,0.00
2025-07-22,06:14:34.116,1.12,0.02,0.32,1.01,0.21,2.25,45.00,0.33,99.67,0.00,100.00,0.00
2025-07-22,06:14:36.117,1.03,0.03,0.32,1.40,0.29,2.07,41.31,0.31,99.69,0.00,100.00,0.00
2025-07-22,06:14:38.117,1.00,0.01,0.29,0.91,0.20,2.01,40.12,0.25,99.75,0.00,100.00,0.00
2025-07-22,06:14:40.117,0.98,0.02,0.31,1.07,0.22,1.96,39.17,0.26,99.74,0.00,100.00,0.00
2025-07-22,06:14:42.118,1.05,0.02,0.34,0.95,0.20,2.09,41.82,0.29,99.71,0.00,100.00,0.00
2025-07-22,06:14:44.117,1.00,0.01,0.27,1.01,0.21,1.99,39.83,0.24,99.76,0.00,100.00,0.00
2025-07-22,06:14:46.117,1.10,0.01,0.30,1.10,0.22,2.21,44.11,0.29,99.71,0.00,100.00,0.00
2025-07-22,06:14:48.118,1.09,0.03,0.38,1.09,0.23,2.18,43.70,0.37,99.63,0.00,100.00,0.00
2025-07-22,06:14:50.117,1.16,0.02,0.28,1.17,0.23,2.32,46.45,0.31,99.68,0.00,100.00,0.00
2025-07-22,06:14:52.118,1.12,0.02,0.31,0.96,0.20,2.23,44.62,0.33,99.67,0.00,100.00,0.00
2025-07-22,06:14:54.117,1.12,0.01,0.29,1.08,0.23,2.23,44.69,0.32,99.67,0.00,100.00,0.00
2025-07-22,06:14:56.118,1.16,0.02,0.30,1.14,0.24,2.32,46.37,0.32,99.68,0.00,100.00,0.00
2025-07-22,06:14:58.118,1.07,0.01,0.31,0.97,0.21,2.13,42.69,0.29,99.71,0.00,100.00,0.00
2025-07-22,06:15:00.119,1.07,0.02,0.35,1.12,0.23,2.14,42.76,0.35,99.65,0.00,100.00,0.00
2025-07-22,06:15:02.118,1.12,0.02,0.32,1.01,0.22,2.25,44.99,0.33,99.67,0.00,100.00,0.00
2025-07-22,06:15:04.119,1.12,0.01,0.29,0.98,0.21,2.24,44.88,0.32,99.67,0.00,100.00,0.00
2025-07-22,06:15:06.118,1.05,0.02,0.35,1.45,0.30,2.09,41.89,0.33,99.66,0.00,100.00,0.00
