System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-07,23:28:40.453,5.18,88.51,0.00,5.18,88.51,0.00,0.90,0.04,0.31,1.29,93.86,0.00,1.80,35.90,0.84,0.05,0.35,1.30,92.83,0.00,1.68,33.65,0.86,0.08,0.90,2.87,90.38,0.00,1.71,34.30,1.49,0.02,0.55,14.70,77.52,0.00,2.98,59.59,1.51,0.03,0.46,14.19,80.95,0.00,3.01,60.28,0.86,0.03,0.43,1.64,92.50,0.00,1.72,34.50,0.83,0.03,1.17,3.68,89.57,0.00,1.67,33.38,0.78,0.01,0.54,1.76,90.46,0.00,1.55,31.09
2025-07-07,23:28:45.453,5.23,94.77,0.00,5.23,94.77,0.00,0.86,0.03,0.27,1.12,98.87,0.00,1.72,34.33,0.91,0.04,0.29,1.17,98.83,0.00,1.83,36.59,0.80,0.07,0.78,2.46,97.54,0.00,1.60,32.08,1.45,0.02,0.74,13.59,86.41,0.00,2.89,57.87,1.51,0.02,0.49,14.46,85.54,0.00,3.02,60.32,1.17,0.02,0.45,2.69,97.31,0.00,2.34,46.77,0.88,0.03,1.31,4.22,95.78,0.00,1.77,35.32,0.78,0.01,0.66,2.11,97.89,0.00,1.56,31.21
2025-07-07,23:28:50.453,4.75,95.24,0.00,4.75,95.24,0.00,0.89,0.04,0.38,1.55,98.42,0.00,1.78,35.69,0.95,0.04,0.38,1.57,98.43,0.00,1.90,37.97,0.87,0.07,1.10,3.47,96.53,0.00,1.75,34.91,0.66,0.03,1.05,3.33,96.67,0.00,1.31,26.28,1.53,0.02,0.32,13.82,86.15,0.00,3.05,61.05,1.54,0.01,0.14,7.53,92.47,0.00,3.08,61.64,0.84,0.02,1.45,4.50,95.50,0.00,1.67,33.41,0.81,0.01,0.74,2.26,97.74,0.00,1.63,32.51
2025-07-07,23:28:55.453,4.63,95.37,0.00,4.63,95.37,0.00,0.95,0.03,0.46,1.98,98.02,0.00,1.91,38.12,0.94,0.03,0.46,1.93,98.07,0.00,1.88,37.54,0.79,0.08,1.42,4.21,95.79,0.00,1.58,31.50,1.16,0.05,0.39,2.25,97.75,0.00,2.31,46.23,1.55,0.02,0.15,13.02,86.98,0.00,3.10,62.04,1.55,0.01,0.08,6.76,93.24,0.00,3.11,62.19,0.77,0.02,1.49,4.59,95.41,0.00,1.54,30.88,0.96,0.01,0.63,2.28,97.72,0.00,1.92,38.45
2025-07-07,23:29:00.453,4.93,95.07,0.00,4.93,95.07,0.00,0.93,0.04,0.38,1.57,98.43,0.00,1.86,37.26,1.01,0.03,0.36,1.49,98.51,0.00,2.03,40.59,0.81,0.07,1.12,3.37,96.63,0.00,1.62,32.38,1.40,0.03,0.60,7.63,92.37,0.00,2.79,55.88,1.52,0.01,0.36,13.86,86.14,0.00,3.04,60.79,1.45,0.01,0.28,4.77,95.23,0.00,2.90,58.07,0.82,0.02,1.40,4.42,95.58,0.00,1.65,32.99,0.86,0.02,0.68,2.30,97.70,0.00,1.73,34.54
2025-07-07,23:29:05.450,4.62,95.38,0.00,4.62,95.38,0.00,0.87,0.05,0.37,1.43,98.57,0.00,1.74,34.74,0.95,0.03,0.37,1.49,98.51,0.00,1.90,38.09,0.83,0.08,0.92,2.92,97.08,0.00,1.67,33.35,1.29,0.03,1.02,7.83,92.17,0.00,2.57,51.43,1.44,0.04,0.59,9.78,90.22,0.00,2.89,57.71,1.50,0.01,0.26,6.83,93.17,0.00,3.01,60.11,0.87,0.03,1.36,4.39,95.61,0.00,1.74,34.72,0.79,0.01,0.76,2.32,97.68,0.00,1.57,31.43
2025-07-07,23:29:10.453,4.67,95.33,0.00,4.67,95.33,0.00,0.87,0.04,0.38,1.55,98.43,0.00,1.74,34.85,1.00,0.04,0.33,1.48,98.52,0.00,1.99,39.87,0.82,0.08,1.08,3.33,96.67,0.00,1.64,32.73,0.73,0.04,1.19,3.31,96.69,0.00,1.46,29.22,1.53,0.04,0.37,14.47,85.51,0.00,3.06,61.21,1.52,0.01,0.19,6.32,93.68,0.00,3.04,60.84,0.85,0.03,1.41,4.50,95.50,0.00,1.70,33.99,0.82,0.01,0.77,2.36,97.64,0.00,1.64,32.76
2025-07-07,23:29:15.453,4.60,95.39,0.00,4.60,95.39,0.00,0.88,0.04,0.36,1.57,98.39,0.00,1.76,35.25,0.93,0.04,0.39,1.68,98.31,0.00,1.85,37.04,0.81,0.08,1.01,3.37,96.63,0.00,1.61,32.22,0.64,0.03,0.89,2.87,97.13,0.00,1.27,25.43,1.54,0.02,0.28,14.18,85.79,0.00,3.07,61.50,1.53,0.01,0.15,6.18,93.81,0.00,3.05,61.02,0.84,0.02,1.41,4.54,95.46,0.00,1.67,33.43,0.84,0.02,0.71,2.39,97.61,0.00,1.69,33.74
2025-07-07,23:29:20.453,4.76,95.24,0.00,4.76,95.24,0.00,1.06,0.03,0.31,1.38,98.62,0.00,2.13,42.55,0.92,0.03,0.36,1.46,98.53,0.00,1.84,36.77,0.83,0.08,0.99,3.04,96.96,0.00,1.65,33.04,1.20,0.04,0.88,5.37,94.63,0.00,2.40,48.01,1.53,0.02,0.38,14.64,85.35,0.00,3.06,61.14,1.47,0.01,0.25,5.35,94.65,0.00,2.95,58.98,0.84,0.03,1.37,4.42,95.58,0.00,1.68,33.62,0.86,0.02,0.72,2.39,97.61,0.00,1.71,34.26
2025-07-07,23:29:25.449,5.08,94.92,0.00,5.08,94.92,0.00,0.86,0.04,0.39,1.57,98.43,0.00,1.72,34.44,0.86,0.05,0.41,1.61,98.39,0.00,1.73,34.51,0.85,0.10,1.17,3.52,96.48,0.00,1.71,34.16,1.43,0.02,0.74,11.67,88.33,0.00,2.86,57.15,1.44,0.02,0.58,10.25,89.75,0.00,2.89,57.78,1.45,0.01,0.29,5.30,94.70,0.00,2.91,58.17,0.83,0.03,1.50,4.46,95.54,0.00,1.66,33.28,0.80,0.01,0.74,2.30,97.70,0.00,1.60,32.10
