System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-08,05:25:17.030,2.52,90.08,0.00,2.52,90.08,0.00,0.77,0.10,0.53,2.21,91.82,0.00,1.55,30.90,0.82,0.04,0.24,1.09,92.54,0.00,1.64,32.86,0.76,0.09,0.56,2.11,90.96,0.00,1.52,30.48,0.71,0.03,0.93,2.95,86.70,0.00,1.43,28.56,0.85,0.03,0.69,2.92,91.11,0.00,1.70,33.90,0.85,0.01,0.33,1.44,92.19,0.00,1.70,34.01,0.89,0.03,1.03,3.59,89.47,0.00,1.78,35.56,0.78,0.03,1.15,3.82,85.83,0.00,1.55,31.10
2025-07-08,05:25:22.031,2.74,97.26,0.00,2.74,97.26,0.00,0.99,0.08,0.53,2.36,97.64,0.00,1.98,39.68,0.79,0.05,0.28,1.32,98.68,0.00,1.58,31.53,0.82,0.09,0.70,2.33,97.67,0.00,1.64,32.76,0.71,0.03,0.92,2.95,97.05,0.00,1.42,28.42,0.89,0.02,0.65,2.81,97.19,0.00,1.78,35.62,0.87,0.01,0.36,1.54,98.46,0.00,1.74,34.84,0.89,0.02,1.22,4.21,95.79,0.00,1.77,35.49,0.80,0.03,1.28,4.41,95.59,0.00,1.59,31.87
2025-07-08,05:25:27.030,2.84,97.16,0.00,2.84,97.16,0.00,0.85,0.08,0.64,2.61,97.39,0.00,1.71,34.17,0.88,0.04,0.30,1.25,98.75,0.00,1.75,35.08,0.81,0.08,0.67,2.38,97.62,0.00,1.62,32.38,0.71,0.05,1.11,3.25,96.75,0.00,1.43,28.53,0.87,0.04,0.75,3.12,96.88,0.00,1.74,34.78,0.91,0.02,0.37,1.58,98.42,0.00,1.82,36.31,0.88,0.03,1.24,4.19,95.81,0.00,1.76,35.29,0.77,0.03,1.37,4.37,95.63,0.00,1.54,30.88
2025-07-08,05:25:32.031,2.71,97.29,0.00,2.71,97.29,0.00,0.82,0.08,0.33,1.46,98.54,0.00,1.64,32.80,1.02,0.04,0.16,0.72,99.28,0.00,2.04,40.77,0.85,0.07,0.37,1.43,98.57,0.00,1.69,33.83,0.71,0.04,1.31,3.97,96.03,0.00,1.43,28.56,0.89,0.03,0.90,3.64,96.36,0.00,1.78,35.65,0.90,0.01,0.48,1.94,98.06,0.00,1.81,36.18,0.96,0.03,1.10,4.06,95.94,0.00,1.92,38.46,0.72,0.03,1.40,4.42,95.58,0.00,1.45,28.91
2025-07-08,05:25:37.031,2.78,97.22,0.00,2.78,97.22,0.00,0.83,0.08,0.46,1.93,98.07,0.00,1.66,33.11,0.82,0.03,0.21,0.95,99.05,0.00,1.63,32.64,0.81,0.08,0.65,2.09,97.91,0.00,1.63,32.59,0.68,0.03,1.21,3.46,96.54,0.00,1.36,27.26,0.88,0.03,0.87,3.47,96.53,0.00,1.76,35.16,0.89,0.01,0.44,1.74,98.26,0.00,1.78,35.63,0.90,0.03,1.22,4.17,95.83,0.00,1.81,36.13,0.75,0.02,1.37,4.39,95.61,0.00,1.51,30.14
2025-07-08,05:25:42.030,2.80,97.20,0.00,2.80,97.20,0.00,0.93,0.09,0.66,2.86,97.14,0.00,1.86,37.27,0.91,0.04,0.30,1.27,98.73,0.00,1.81,36.26,0.78,0.08,0.91,2.89,97.11,0.00,1.56,31.13,0.69,0.03,0.88,2.70,97.30,0.00,1.39,27.79,0.89,0.02,0.61,2.58,97.42,0.00,1.78,35.58,0.88,0.02,0.32,1.34,98.66,0.00,1.76,35.16,0.84,0.03,1.32,4.31,95.69,0.00,1.69,33.78,0.83,0.03,1.31,4.42,95.58,0.00,1.65,33.08
2025-07-08,05:25:47.031,2.74,97.26,0.00,2.74,97.26,0.00,0.83,0.10,0.37,1.57,98.43,0.00,1.65,33.09,0.67,0.04,0.18,0.90,99.10,0.00,1.33,26.64,0.88,0.08,0.40,1.50,98.50,0.00,1.75,35.05,0.71,0.03,1.29,3.78,96.22,0.00,1.42,28.48,0.92,0.02,0.92,3.71,96.29,0.00,1.83,36.69,0.91,0.02,0.50,1.99,98.01,0.00,1.81,36.29,0.95,0.03,1.09,4.06,95.94,0.00,1.90,38.05,0.73,0.02,1.37,4.41,95.59,0.00,1.45,29.02
2025-07-08,05:25:52.031,2.83,97.17,0.00,2.83,97.17,0.00,0.89,0.08,0.48,2.25,97.75,0.00,1.77,35.43,0.90,0.05,0.36,1.37,98.63,0.00,1.79,35.83,0.80,0.07,0.73,2.42,97.58,0.00,1.61,32.12,0.69,0.03,1.04,3.17,96.83,0.00,1.38,27.57,0.90,0.03,0.69,3.06,96.94,0.00,1.80,35.96,0.82,0.01,0.40,1.63,98.37,0.00,1.64,32.79,0.88,0.02,1.26,4.28,95.72,0.00,1.77,35.31,0.78,0.03,1.38,4.49,95.51,0.00,1.57,31.37
2025-07-08,05:25:57.030,2.80,97.20,0.00,2.80,97.20,0.00,0.81,0.08,0.54,2.32,97.68,0.00,1.63,32.54,0.92,0.03,0.25,1.13,98.87,0.00,1.84,36.79,0.77,0.07,0.75,2.46,97.54,0.00,1.55,30.95,0.69,0.03,1.06,3.17,96.83,0.00,1.37,27.43,0.86,0.02,0.71,3.03,96.97,0.00,1.73,34.54,0.87,0.01,0.37,1.60,98.40,0.00,1.74,34.72,0.88,0.03,1.26,4.24,95.76,0.00,1.77,35.34,0.78,0.02,1.37,4.48,95.52,0.00,1.57,31.39
2025-07-08,05:26:02.031,2.82,97.18,0.00,2.82,97.18,0.00,0.94,0.07,0.45,2.00,98.00,0.00,1.89,37.78,0.93,0.04,0.25,1.03,98.97,0.00,1.86,37.28,0.91,0.09,0.76,2.45,97.55,0.00,1.81,36.30,0.68,0.03,1.19,3.45,96.55,0.00,1.36,27.12,0.89,0.03,0.79,3.30,96.70,0.00,1.78,35.54,0.87,0.01,0.43,1.73,98.27,0.00,1.74,34.75,0.89,0.03,1.25,4.19,95.81,0.00,1.78,35.54,0.76,0.02,1.39,4.43,95.57,0.00,1.52,30.50
