System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-08,01:27:28.958,1.17,0.34,5.38,0.97,0.17,2.34,46.89,3.97,88.99,0.00,99.40,0.02
2025-07-08,01:27:33.958,1.13,0.27,6.27,0.79,0.15,2.27,45.30,4.31,95.69,0.00,100.00,0.00
2025-07-08,01:27:38.957,1.13,0.37,6.89,0.99,0.17,2.26,45.29,4.45,95.55,0.00,100.00,0.00
2025-07-08,01:27:43.959,1.16,0.27,5.89,0.80,0.15,2.31,46.26,4.14,95.86,0.00,100.00,0.00
2025-07-08,01:27:48.958,1.15,0.33,6.46,0.93,0.17,2.30,45.94,4.30,95.70,0.00,100.00,0.00
2025-07-08,01:27:53.959,1.02,0.30,6.23,0.82,0.15,2.03,40.63,3.66,96.33,0.00,100.00,0.00
2025-07-08,01:27:58.958,1.07,0.37,6.42,1.07,0.18,2.14,42.78,3.63,96.37,0.00,100.00,0.00
2025-07-08,01:28:03.958,1.05,0.29,5.95,0.85,0.15,2.10,41.91,3.54,96.46,0.00,100.00,0.00
2025-07-08,01:28:08.957,1.14,0.32,6.55,0.89,0.17,2.28,45.57,4.31,95.68,0.00,100.00,0.00
2025-07-08,01:28:13.958,1.16,0.32,6.48,0.91,0.16,2.32,46.33,4.29,95.71,0.00,100.00,0.00
2025-07-08,01:28:18.961,1.14,0.34,6.37,0.97,0.17,2.28,45.54,4.43,95.57,0.00,100.00,0.00
2025-07-08,01:28:23.962,1.16,0.33,6.57,0.93,0.17,2.31,46.24,4.37,95.63,0.00,100.00,0.00
2025-07-08,01:28:28.960,1.15,0.34,6.72,0.98,0.18,2.30,46.00,4.44,95.56,0.00,100.00,0.00
2025-07-08,01:28:33.961,1.15,0.28,6.21,0.86,0.16,2.30,46.04,4.28,95.72,0.00,100.00,0.00
2025-07-08,01:28:38.961,1.12,0.37,6.50,1.00,0.18,2.23,44.63,4.28,95.72,0.00,100.00,0.00
2025-07-08,01:28:43.961,1.10,0.29,6.22,0.86,0.16,2.20,44.10,3.85,96.15,0.00,100.00,0.00
2025-07-08,01:28:48.961,1.09,0.33,6.71,0.93,0.17,2.19,43.73,4.05,95.95,0.00,100.00,0.00
2025-07-08,01:28:53.961,1.09,0.31,6.56,0.91,0.16,2.19,43.75,4.00,96.00,0.00,100.00,0.00
2025-07-08,01:28:58.961,1.08,0.35,6.79,0.96,0.17,2.17,43.37,4.08,95.92,0.00,100.00,0.00
2025-07-08,01:29:03.961,1.09,0.32,6.73,0.93,0.16,2.18,43.55,4.07,95.93,0.00,100.00,0.00
2025-07-08,01:29:08.961,1.09,0.32,6.63,0.91,0.17,2.18,43.50,4.04,95.96,0.00,100.00,0.00
2025-07-08,01:29:13.961,1.09,0.39,6.44,1.10,0.17,2.19,43.72,4.00,96.00,0.00,100.00,0.00
2025-07-08,01:29:18.961,1.11,0.33,6.30,0.88,0.16,2.21,44.28,3.86,96.14,0.00,100.00,0.00
2025-07-08,01:29:23.962,1.10,0.31,6.33,0.95,0.17,2.21,44.14,3.92,96.08,0.00,100.00,0.00
2025-07-08,01:29:28.962,1.12,0.37,6.90,1.05,0.19,2.24,44.84,4.31,95.69,0.00,100.00,0.00
2025-07-08,01:29:33.963,1.15,0.28,6.31,0.85,0.17,2.30,45.94,4.21,95.79,0.00,100.00,0.00
2025-07-08,01:29:38.963,1.11,0.35,6.78,0.98,0.19,2.22,44.48,4.28,95.72,0.00,100.00,0.00
2025-07-08,01:29:43.963,1.12,0.29,6.20,0.89,0.17,2.24,44.75,4.02,95.98,0.00,100.00,0.00
2025-07-08,01:29:48.963,1.11,0.38,6.56,1.02,0.19,2.21,44.29,4.25,95.75,0.00,100.00,0.00
2025-07-08,01:29:53.963,1.12,0.35,6.70,1.02,0.19,2.24,44.74,4.25,95.75,0.00,100.00,0.00
2025-07-08,01:29:58.963,1.11,0.38,6.86,1.05,0.20,2.23,44.54,4.31,95.69,0.00,100.00,0.00
2025-07-08,01:30:03.963,1.12,0.33,6.70,0.97,0.19,2.24,44.72,4.18,95.82,0.00,100.00,0.00
2025-07-08,01:30:08.963,1.11,0.36,6.90,1.02,0.19,2.22,44.38,4.31,95.69,0.00,100.00,0.00
2025-07-08,01:30:13.963,1.10,0.35,6.25,0.94,0.18,2.21,44.12,4.18,95.82,0.00,100.00,0.00
2025-07-08,01:30:18.963,1.12,0.35,6.76,1.02,0.20,2.23,44.64,4.27,95.72,0.00,100.00,0.00
2025-07-08,01:30:23.963,1.13,0.38,6.59,1.01,0.19,2.26,45.29,4.24,95.76,0.00,100.00,0.00
2025-07-08,01:30:28.964,1.79,0.52,3.66,1.71,0.53,3.58,71.58,4.46,72.43,0.00,96.72,0.14
