System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-08,08:17:38.586,1.53,0.52,5.63,23.34,11.36,3.06,61.11,6.21,87.56,0.00,99.43,0.03
2025-07-08,08:17:43.585,1.47,0.59,6.80,24.42,11.81,2.95,58.91,6.64,93.35,0.00,100.00,0.00
2025-07-08,08:17:48.588,1.46,0.55,6.52,24.37,11.87,2.93,58.59,6.35,93.64,0.00,100.00,0.00
2025-07-08,08:17:53.586,1.49,0.51,6.30,24.29,11.83,2.99,59.78,6.23,93.77,0.00,100.00,0.00
2025-07-08,08:17:58.585,1.48,0.53,6.47,23.81,11.54,2.97,59.35,6.63,93.37,0.00,100.00,0.00
2025-07-08,08:18:03.586,1.50,0.53,6.05,24.51,11.92,3.00,60.00,6.20,93.79,0.00,100.00,0.00
2025-07-08,08:18:08.587,1.52,0.53,6.03,23.97,11.66,3.05,61.00,6.69,93.30,0.00,100.00,0.00
2025-07-08,08:18:13.586,1.49,0.53,6.48,24.08,11.71,2.99,59.79,6.44,93.55,0.00,100.00,0.00
2025-07-08,08:18:18.587,1.42,0.50,6.56,23.91,11.65,2.84,56.73,5.83,94.15,0.00,100.00,0.00
2025-07-08,08:18:23.587,1.47,0.54,6.65,24.50,11.90,2.94,58.82,6.29,93.71,0.00,100.00,0.00
2025-07-08,08:18:28.586,1.51,0.59,6.46,24.55,11.83,3.03,60.51,6.65,93.35,0.00,100.00,0.00
2025-07-08,08:18:33.587,1.52,0.51,5.98,24.20,11.78,3.04,60.78,6.32,93.68,0.00,100.00,0.00
2025-07-08,08:18:38.587,1.51,0.50,6.36,24.27,11.84,3.02,60.31,6.37,93.63,0.00,100.00,0.00
2025-07-08,08:18:43.587,1.49,0.53,6.22,24.40,11.87,2.98,59.58,6.18,93.81,0.00,100.00,0.00
2025-07-08,08:18:48.588,1.49,0.52,6.29,24.30,11.83,2.98,59.55,6.15,93.85,0.00,100.00,0.00
2025-07-08,08:18:53.587,1.48,0.54,6.42,24.44,11.88,2.95,59.00,6.08,93.92,0.00,100.00,0.00
2025-07-08,08:18:58.588,1.53,0.51,5.90,24.25,11.80,3.05,61.08,6.17,93.83,0.00,100.00,0.00
2025-07-08,08:19:03.588,1.44,0.52,6.33,24.44,11.90,2.88,57.58,5.86,94.14,0.00,100.00,0.00
2025-07-08,08:19:08.588,1.49,0.51,6.37,24.32,11.85,2.98,59.54,6.25,93.74,0.00,100.00,0.00
2025-07-08,08:19:13.589,1.51,0.54,6.17,24.46,11.90,3.02,60.35,6.27,93.72,0.00,100.00,0.00
2025-07-08,08:19:18.589,1.45,0.52,6.19,24.29,11.83,2.90,58.07,5.73,94.26,0.00,100.00,0.00
2025-07-08,08:19:23.590,1.40,0.53,6.58,24.41,11.86,2.79,55.87,5.69,94.31,0.00,100.00,0.00
2025-07-08,08:19:28.590,1.41,0.57,6.52,24.47,11.87,2.83,56.55,5.82,94.18,0.00,100.00,0.00
2025-07-08,08:19:33.589,1.46,0.57,6.64,24.48,11.87,2.92,58.35,6.22,93.78,0.00,100.00,0.00
2025-07-08,08:19:38.590,1.53,0.56,6.37,24.38,11.84,3.06,61.24,6.97,93.02,0.00,100.00,0.00
2025-07-08,08:19:43.590,1.49,0.53,6.35,24.33,11.84,2.98,59.54,6.51,93.49,0.00,100.00,0.00
2025-07-08,08:19:48.589,1.43,0.54,6.42,24.50,11.93,2.85,57.01,5.74,94.24,0.00,100.00,0.00
2025-07-08,08:19:53.590,1.40,0.57,6.84,24.45,11.87,2.80,55.95,5.75,94.24,0.00,100.00,0.00
2025-07-08,08:19:58.590,1.44,0.55,6.72,24.40,11.85,2.88,57.57,6.17,93.83,0.00,100.00,0.00
2025-07-08,08:20:03.590,1.47,0.57,6.57,24.41,11.84,2.93,58.65,6.54,93.45,0.00,100.00,0.00
2025-07-08,08:20:08.590,1.44,0.60,6.81,24.53,11.84,2.88,57.55,6.18,93.82,0.00,100.00,0.00
2025-07-08,08:20:13.590,1.47,0.53,6.14,24.29,11.82,2.93,58.68,6.03,93.97,0.00,100.00,0.00
2025-07-08,08:20:18.590,1.52,0.50,5.87,24.28,11.80,3.04,60.84,6.45,93.55,0.00,100.00,0.00
2025-07-08,08:20:23.590,1.54,0.53,5.95,24.40,11.89,3.07,61.44,6.61,93.39,0.00,100.00,0.00
2025-07-08,08:20:28.590,1.50,0.64,6.63,24.64,11.86,3.00,60.07,6.65,93.35,0.00,100.00,0.00
2025-07-08,08:20:33.591,1.46,0.54,6.49,24.35,11.82,2.91,58.24,6.30,93.70,0.00,100.00,0.00
2025-07-08,08:20:38.591,1.82,0.50,3.16,21.54,10.78,3.64,72.74,6.20,72.70,0.00,98.29,0.05
