System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-08,18:22:42.761,10.78,86.15,0.00,10.78,86.15,0.00,0.22,0.20,0.71,4.61,93.23,0.00,0.43,8.61,0.23,0.19,0.67,4.54,93.14,0.00,0.46,9.12,0.33,0.19,0.69,4.13,89.84,0.00,0.66,13.10,1.35,0.04,0.26,11.41,86.82,0.00,2.71,54.14,1.35,0.08,0.47,21.90,75.94,0.00,2.71,54.18,1.20,0.07,0.43,21.44,76.24,0.00,2.40,47.92,0.32,0.32,1.32,8.37,85.60,0.00,0.63,12.63,0.23,0.27,1.63,9.83,88.39,0.00,0.46,9.16
2025-07-08,18:22:47.762,11.60,88.39,0.00,11.60,88.39,0.00,0.21,0.20,0.77,4.95,95.04,0.00,0.43,8.54,0.21,0.20,0.79,4.93,95.04,0.00,0.43,8.54,0.31,0.19,0.77,4.39,95.61,0.00,0.63,12.54,0.97,0.05,0.24,10.98,89.02,0.00,1.94,38.76,1.26,0.10,0.50,22.43,77.56,0.00,2.52,50.44,1.32,0.08,0.48,22.54,77.44,0.00,2.65,52.93,0.33,0.39,1.66,10.32,89.68,0.00,0.65,13.07,0.23,0.31,1.76,12.26,87.74,0.00,0.46,9.10
2025-07-08,18:22:52.762,11.48,88.51,0.00,11.48,88.51,0.00,0.22,0.22,0.83,5.16,94.82,0.00,0.45,8.94,0.22,0.21,0.78,5.04,94.96,0.00,0.44,8.88,0.34,0.21,0.79,4.69,95.31,0.00,0.67,13.45,1.18,0.05,0.25,11.47,88.53,0.00,2.36,47.25,1.23,0.09,0.44,20.92,79.06,0.00,2.46,49.25,1.32,0.07,0.47,22.10,77.90,0.00,2.64,52.84,0.32,0.41,1.66,10.31,89.69,0.00,0.65,12.94,0.22,0.33,1.92,12.17,87.83,0.00,0.45,9.00
2025-07-08,18:22:57.762,11.67,88.33,0.00,11.67,88.33,0.00,0.21,0.22,0.84,5.38,94.62,0.00,0.42,8.47,0.21,0.22,0.79,5.31,94.69,0.00,0.42,8.34,0.32,0.24,0.83,5.00,95.00,0.00,0.64,12.80,1.22,0.04,0.23,10.75,89.25,0.00,2.44,48.72,1.16,0.09,0.47,22.39,77.61,0.00,2.33,46.59,1.30,0.07,0.47,22.41,77.59,0.00,2.59,51.89,0.32,0.40,1.63,10.24,89.76,0.00,0.63,12.61,0.23,0.34,1.96,11.89,88.11,0.00,0.45,9.05
2025-07-08,18:23:02.765,11.48,88.52,0.00,11.48,88.52,0.00,0.23,0.22,0.78,5.27,94.73,0.00,0.46,9.25,0.22,0.21,0.77,4.81,95.19,0.00,0.44,8.74,0.33,0.22,0.80,4.74,95.26,0.00,0.65,13.07,1.08,0.05,0.24,10.95,89.05,0.00,2.17,43.39,1.24,0.09,0.47,22.21,77.79,0.00,2.49,49.72,1.46,0.07,0.47,21.96,78.04,0.00,2.91,58.22,0.32,0.41,1.63,10.20,89.80,0.00,0.64,12.82,0.23,0.33,1.80,11.72,88.28,0.00,0.45,9.05
2025-07-08,18:23:07.764,11.42,88.57,0.00,11.42,88.57,0.00,0.21,0.21,0.76,5.01,94.98,0.00,0.42,8.40,0.20,0.21,0.74,4.91,95.09,0.00,0.41,8.17,0.32,0.21,0.80,4.58,95.42,0.00,0.63,12.64,1.24,0.05,0.24,11.17,88.83,0.00,2.48,49.58,1.19,0.08,0.43,21.43,78.57,0.00,2.38,47.67,1.28,0.07,0.44,22.23,77.77,0.00,2.55,51.03,0.32,0.39,1.62,10.10,89.90,0.00,0.65,12.96,0.22,0.34,1.98,11.97,88.03,0.00,0.45,8.99
2025-07-08,18:23:12.764,11.50,88.49,0.00,11.50,88.49,0.00,0.24,0.21,0.76,5.04,94.95,0.00,0.48,9.52,0.23,0.21,0.77,4.76,95.23,0.00,0.46,9.15,0.35,0.20,0.78,4.56,95.44,0.00,0.70,13.91,1.23,0.04,0.23,10.57,89.43,0.00,2.46,49.13,1.22,0.09,0.45,22.22,77.76,0.00,2.45,48.97,1.34,0.07,0.46,22.48,77.52,0.00,2.68,53.65,0.32,0.39,1.61,10.27,89.73,0.00,0.64,12.86,0.23,0.33,1.97,12.14,87.86,0.00,0.47,9.34
2025-07-08,18:23:17.766,11.47,88.53,0.00,11.47,88.53,0.00,0.21,0.20,0.77,5.00,94.99,0.00,0.42,8.39,0.22,0.19,0.67,4.73,95.27,0.00,0.44,8.83,0.33,0.18,0.73,4.19,95.81,0.00,0.67,13.39,1.32,0.04,0.24,10.97,89.03,0.00,2.64,52.90,1.20,0.08,0.45,22.58,77.42,0.00,2.40,48.07,1.18,0.08,0.44,22.09,77.91,0.00,2.36,47.16,0.33,0.38,1.60,10.13,89.87,0.00,0.66,13.14,0.23,0.33,1.99,12.06,87.94,0.00,0.47,9.36
2025-07-08,18:23:22.766,11.58,88.40,0.00,11.58,88.40,0.00,0.23,0.22,0.82,5.36,94.63,0.00,0.46,9.18,0.22,0.20,0.75,5.08,94.88,0.00,0.45,8.96,0.34,0.20,0.79,4.53,95.47,0.00,0.67,13.48,1.24,0.04,0.25,10.75,89.24,0.00,2.48,49.62,1.28,0.08,0.46,22.40,77.59,0.00,2.55,51.05,1.23,0.08,0.48,22.26,77.70,0.00,2.46,49.21,0.33,0.39,1.60,10.16,89.84,0.00,0.66,13.27,0.24,0.32,1.96,12.13,87.86,0.00,0.48,9.51
2025-07-08,18:23:27.767,11.56,88.44,0.00,11.56,88.44,0.00,0.22,0.21,0.75,5.33,94.67,0.00,0.43,8.70,0.22,0.22,0.81,5.24,94.75,0.00,0.43,8.60,0.31,0.22,0.82,4.85,95.15,0.00,0.63,12.56,1.31,0.05,0.25,11.21,88.79,0.00,2.61,52.28,1.06,0.08,0.40,20.96,79.03,0.00,2.12,42.42,1.30,0.07,0.45,22.37,77.63,0.00,2.60,52.09,0.33,0.40,1.65,10.44,89.56,0.00,0.65,13.03,0.23,0.33,2.01,12.07,87.93,0.00,0.46,9.16
