System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-08,18:39:15.088,1.27,0.38,5.22,29.37,14.41,2.55,50.96,3.93,90.28,0.00,99.75,0.01
2025-07-08,18:39:20.089,1.23,0.44,6.04,29.66,14.45,2.46,49.30,4.26,95.73,0.00,100.00,0.00
2025-07-08,18:39:25.089,1.21,0.44,6.20,29.40,14.37,2.43,48.56,4.31,95.69,0.00,100.00,0.00
2025-07-08,18:39:30.090,1.21,0.47,6.21,29.34,14.30,2.41,48.27,4.35,95.65,0.00,100.00,0.00
2025-07-08,18:39:35.089,1.21,0.48,6.48,29.65,14.45,2.41,48.28,4.30,95.70,0.00,100.00,0.00
2025-07-08,18:39:40.089,1.23,0.47,6.25,30.02,14.61,2.45,49.06,4.30,95.70,0.00,100.00,0.00
2025-07-08,18:39:45.090,1.22,0.43,6.14,29.30,14.32,2.43,48.66,4.28,95.72,0.00,100.00,0.00
2025-07-08,18:39:50.089,1.23,0.43,6.09,29.72,14.48,2.45,49.08,4.22,95.78,0.00,100.00,0.00
2025-07-08,18:39:55.089,1.23,0.43,6.03,29.93,14.64,2.45,49.09,4.28,95.71,0.00,100.00,0.00
2025-07-08,18:40:00.090,1.23,0.49,6.40,30.22,14.73,2.45,49.04,4.35,95.65,0.00,100.00,0.00
2025-07-08,18:40:05.089,1.22,0.49,6.61,30.44,14.81,2.45,48.97,4.42,95.58,0.00,100.00,0.00
2025-07-08,18:40:10.090,1.24,0.47,6.15,30.30,14.80,2.49,49.76,4.28,95.71,0.00,100.00,0.00
2025-07-08,18:40:15.090,1.23,0.44,6.36,30.06,14.67,2.47,49.36,4.32,95.68,0.00,100.00,0.00
2025-07-08,18:40:20.090,1.24,0.46,6.24,30.32,14.80,2.48,49.70,4.30,95.70,0.00,100.00,0.00
2025-07-08,18:40:25.091,1.24,0.44,6.27,30.11,14.69,2.48,49.57,4.33,95.67,0.00,100.00,0.00
2025-07-08,18:40:30.090,1.24,0.47,6.15,30.41,14.81,2.48,49.52,4.30,95.70,0.00,100.00,0.00
2025-07-08,18:40:35.090,1.24,0.44,6.08,30.16,14.75,2.49,49.74,4.25,95.74,0.00,100.00,0.00
2025-07-08,18:40:40.091,1.21,0.50,6.25,29.91,14.55,2.41,48.25,4.38,95.62,0.00,100.00,0.00
2025-07-08,18:40:45.090,1.22,0.51,6.38,30.03,14.56,2.45,48.98,4.37,95.63,0.00,100.00,0.00
2025-07-08,18:40:50.091,1.24,0.45,6.18,30.25,14.77,2.48,49.51,4.31,95.67,0.00,100.00,0.00
2025-07-08,18:40:55.091,1.23,0.47,5.99,29.99,14.63,2.47,49.34,4.29,95.71,0.00,100.00,0.00
2025-07-08,18:41:00.090,1.25,0.43,5.86,30.44,14.86,2.50,49.98,4.26,95.74,0.00,100.00,0.00
2025-07-08,18:41:05.091,1.24,0.45,6.27,30.48,14.88,2.49,49.76,4.31,95.69,0.00,100.00,0.00
2025-07-08,18:41:10.091,1.24,0.48,6.21,30.50,14.88,2.49,49.73,4.27,95.73,0.00,100.00,0.00
2025-07-08,18:41:15.090,1.27,0.41,5.72,30.46,14.92,2.53,50.67,4.16,95.83,0.00,100.00,0.00
2025-07-08,18:41:20.091,1.23,0.45,5.78,29.47,14.39,2.47,49.36,4.33,95.67,0.00,100.00,0.00
2025-07-08,18:41:25.091,1.21,0.45,5.89,29.55,14.42,2.42,48.45,4.28,95.72,0.00,100.00,0.00
2025-07-08,18:41:30.091,1.20,0.48,6.38,29.54,14.39,2.40,47.98,4.35,95.64,0.00,100.00,0.00
2025-07-08,18:41:35.091,1.22,0.47,6.28,29.69,14.48,2.43,48.67,4.28,95.71,0.00,100.00,0.00
2025-07-08,18:41:40.090,1.21,0.47,6.31,29.42,14.34,2.42,48.42,4.46,95.54,0.00,100.00,0.00
2025-07-08,18:41:45.091,1.22,0.47,6.52,30.01,14.59,2.44,48.89,4.38,95.62,0.00,100.00,0.00
2025-07-08,18:41:50.091,1.22,0.45,5.99,29.50,14.40,2.43,48.69,4.34,95.65,0.00,100.00,0.00
2025-07-08,18:41:55.091,1.22,0.44,6.13,29.62,14.49,2.44,48.87,4.32,95.68,0.00,100.00,0.00
2025-07-08,18:42:00.091,1.22,0.49,6.51,29.86,14.51,2.43,48.67,4.38,95.61,0.00,100.00,0.00
2025-07-08,18:42:05.092,1.22,0.42,6.01,29.47,14.42,2.44,48.71,4.23,95.76,0.00,100.00,0.00
2025-07-08,18:42:10.092,1.20,0.51,6.24,29.57,14.38,2.40,47.91,4.35,95.65,0.00,100.00,0.00
2025-07-08,18:42:15.091,1.67,0.43,2.85,28.92,14.46,3.33,66.61,4.14,76.70,0.00,98.94,0.02
